rank,municipality_name,state,grid_lat,grid_lon,thr_hs_abs,hat_m,compound_count_total,Hazard_Index_mun,Risk_Hazard
25,Duque de Caxias,RJ,-23.0,-43.0,1.63,0.643499,56,0.626878,0.385615
26,Laguna,SC,-28.6,-48.8,1.91,0.441854,79,0.75754,0.38399
27,Cabo Frio,RJ,-23.0,-42.0,2.01,0.677808,39,0.47852,0.382092
28,Raposa,MA,-2.4,-44.2,0.69,2.614275,1,0.123701,0.373527
29,Ubatuba,SP,-23.6,-45.0,1.56,0.649852,66,0.552033,0.372571
30,Maracanã,PA,-0.4,-47.6,1.28,2.835506,5,0.102253,0.371047
31,Imbituba,SC,-28.2,-48.6,1.7,0.449557,68,0.612734,0.371014
32,Icatu,MA,-2.4,-44.0,0.9,3.150891,1,0.107251,0.368353
33,Marapanim,PA,-0.4,-47.6,1.28,2.835506,5,0.102253,0.365189
34,Itapemirim,ES,-21.0,-40.8,1.22,0.951343,25,0.243513,0.365047
35,Ilhabela,SP,-23.8,-45.4,0.95,0.679261,74,0.635087,0.36105
36,Tavares,RS,-31.2,-50.8,1.93,0.380958,88,0.786094,0.3607
37,Cidreira,RS,-30.2,-50.0,1.93,0.423298,83,0.662642,0.360356
38,Cajapió,MA,-2.4,-44.2,0.69,2.614275,1,0.123701,0.35798
39,Paranaguá,PR,-25.6,-48.2,1.29,1.007499,38,0.368919,0.35772
40,Marataízes,ES,-21.0,-40.8,1.22,0.951343,25,0.243513,0.356014
41,Cedral,MA,-1.8,-44.4,0.93,2.786406,1,0.114101,0.356003
42,São Vicente,SP,-24.0,-46.4,1.36,0.774999,72,0.635736,0.355414
43,Balneário Rincão,SC,-29.0,-49.2,1.99,0.447561,79,0.70364,0.353047
44,Cananéia,SP,-25.2,-47.8,1.45,0.953431,50,0.439025,0.35142
45,Jaguaruna,SC,-28.8,-49.0,1.94,0.445228,80,0.73274,0.350641
46,Armação dos Búzios,RJ,-22.8,-41.8,1.7,0.739432,36,0.347968,0.350561
47,Anchieta,ES,-21.0,-40.8,1.22,0.951343,25,0.243513,0.349391
48,São Gonçalo,RJ,-23.0,-43.0,1.63,0.643499,56,0.626878,0.347431
49,Salinópolis,PA,-0.6,-47.2,0.97,2.959708,4,0.080302,0.346147
50,Xangri-lá,RS,-30.0,-50.0,1.69,0.431692,71,0.592786,0.342145
51,Itanhaém,SP,-24.2,-46.6,1.65,0.800581,68,0.589134,0.34147
52,Chaves,PA,0.0,-50.4,0.2,2.19094,7,0.071304,0.339802
53,Guapimirim,RJ,-23.0,-43.0,1.63,0.643499,56,0.626878,0.337326
54,Garopaba,SC,-28.0,-48.4,1.92,0.46389,72,0.630186,0.337077
55,Macaé,RJ,-22.4,-41.6,1.42,0.796984,34,0.367767,0.336096
56,Ilha Comprida,SP,-25.0,-47.8,1.01,0.960678,48,0.400424,0.335069
57,São João da Barra,RJ,-21.8,-40.8,1.63,0.903909,25,0.258613,0.334953
58,Mongaguá,SP,-24.2,-46.6,1.65,0.800581,68,0.589134,0.333962
59,Peruíbe,SP,-24.4,-46.8,1.66,0.818604,58,0.543729,0.325475
60,Itaguaí,RJ,-23.0,-44.0,0.78,0.752706,64,0.502832,0.325045
61,Imbé,RS,-30.0,-50.0,1.69,0.431692,71,0.592786,0.323694
62,Curuçá,PA,-0.4,-47.8,1.2,2.774426,4,0.109402,0.32354
63,Itapoá,SC,-26.2,-48.4,1.03,0.868401,40,0.34807,0.323122
64,Palhoça,SC,-27.8,-48.4,1.75,0.476086,70,0.586185,0.321724
65,Governador Celso Ramos,SC,-27.4,-48.4,1.18,0.537301,56,0.446328,0.321647
66,São João de Pirabas,PA,-0.6,-47.2,0.97,2.959708,4,0.080302,0.320293
67,Araruama,RJ,-23.0,-42.4,1.86,0.648192,43,0.571022,0.32018
68,Porto Rico do Maranhão,MA,-1.8,-44.4,0.93,2.786406,1,0.114101,0.318293
69,São Francisco do Sul,SC,-26.4,-48.4,1.26,0.786422,43,0.370422,0.317983
70,Alcobaça,BA,-17.6,-39.0,0.99,1.633249,2,0.103751,0.315952
71,Nova Viçosa,BA,-18.0,-39.4,1.02,1.905866,4,0.147502,0.315626
72,Prado,BA,-17.2,-39.0,1.29,1.474319,2,0.098301,0.314029
73,Rio das Ostras,RJ,-22.6,-41.8,1.5,0.776155,33,0.299417,0.31141
74,São José de Ribamar,MA,-2.4,-44.2,0.69,2.614275,1,0.123701,0.310467
75,Primeira Cruz,MA,-2.2,-43.4,1.63,2.197052,1,0.092901,0.308729
76,Torres,RS,-29.4,-49.6,1.89,0.44899,78,0.672289,0.307212
77,Axixá,MA,-2.4,-44.0,0.9,3.150891,1,0.107251,0.306858
78,Biguaçu,SC,-27.4,-48.4,1.18,0.537301,56,0.446328,0.306858
79,Tramandaí,RS,-30.0,-50.0,1.69,0.431692,71,0.592786,0.305599
80,Guaratuba,PR,-26.0,-48.4,0.99,0.940288,37,0.333419,0.304095
81,Santa Cruz Cabrália,BA,-16.2,-38.8,1.23,1.355504,1,0.116201,0.302006
82,Quatipuru,PA,-0.6,-47.0,1.27,2.972664,4,0.100552,0.301001
83,Caraguatatuba,SP,-23.6,-45.2,1.1,0.657104,67,0.499184,0.299897
84,Pontal do Paraná,PR,-25.6,-48.4,1.03,1.065991,37,0.351469,0.298846
85,Capão da Canoa,RS,-29.6,-49.8,1.71,0.444409,80,0.65379,0.297574
86,Paulo Lopes,SC,-28.0,-48.4,1.92,0.46389,72,0.630186,0.296219
87,Praia Grande,SP,-24.0,-46.4,1.36,0.774999,72,0.635736,0.294167
88,Balneário Barra do Sul,SC,-26.6,-48.6,1.32,0.750584,35,0.317118,0.287834
89,Ituberá,BA,-13.8,-38.8,1.37,1.3407,1,0.063301,0.287083
90,Piúma,ES,-21.0,-40.8,1.22,0.951343,25,0.243513,0.28702
91,Casimiro de Abreu,RJ,-22.6,-41.8,1.5,0.776155,33,0.299417,0.286142
92,Guarapari,ES,-20.6,-40.4,1.3,0.91261,20,0.19746,0.285058
93,Carapebus,RJ,-22.4,-41.6,1.42,0.796984,34,0.367767,0.281632
94,São Luís,MA,-2.4,-44.2,0.69,2.614275,1,0.123701,0.280474
95,Mucuri,BA,-18.2,-39.4,1.28,1.862386,3,0.129002,0.280322
96,Porto Belo,SC,-27.2,-48.4,1.29,0.582978,37,0.349469,0.280167
97,Barra Velha,SC,-26.6,-48.6,1.32,0.750584,35,0.317118,0.279626
98,Niterói,RJ,-23.0,-43.0,1.63,0.643499,56,0.626878,0.279088
99,Nilo Peçanha,BA,-13.8,-38.8,1.37,1.3407,1,0.063301,0.274842
100,Rio de Janeiro,RJ,-23.0,-43.4,1.32,0.637959,63,0.623782,0.274833
101,Bombinhas,SC,-27.2,-48.4,1.29,0.582978,37,0.349469,0.273927
102,Bequimão,MA,-2.4,-44.2,0.69,2.614275,1,0.123701,0.269085
103,Paço do Lumiar,MA,-2.4,-44.2,0.69,2.614275,1,0.123701,0.269005
104,Jaguaripe,BA,-13.2,-38.6,1.544,1.351313,1,0.058201,0.26884
105,Vera Cruz,BA,-13.2,-38.6,1.544,1.351313,1,0.058201,0.26839
106,Araranguá,SC,-29.0,-49.2,1.99,0.447561,79,0.70364,0.267738
107,Bacurituba,MA,-2.4,-44.2,0.69,2.614275,1,0.123701,0.264216
108,Magalhães Barata,PA,-0.4,-47.6,1.28,2.835506,5,0.102253,0.263611
109,Florianópolis,SC,-27.8,-48.4,1.75,0.476086,70,0.586185,0.261843
110,Santos,SP,-24.0,-46.4,1.36,0.774999,72,0.635736,0.261002
111,Cururupu,MA,-1.4,-44.8,0.9,2.990314,1,0.069201,0.258674
112,Quissamã,RJ,-22.2,-41.4,1.08,0.813512,37,0.371019,0.258615
113,Tutóia,MA,-2.6,-42.4,1.3,1.975753,1,0.036901,0.258183
114,Porto Seguro,BA,-16.6,-39.0,1.02,1.357535,2,0.107401,0.255039
115,Presidente Kennedy,ES,-21.2,-40.8,1.39,0.95555,23,0.220462,0.254609
116,Bragança,PA,-0.8,-46.6,1.09,3.11249,3,0.051352,0.254169
117,Matinhos,PR,-26.0,-48.4,0.99,0.940288,37,0.333419,0.253096
118,Itaboraí,RJ,-23.0,-43.0,1.63,0.643499,56,0.626878,0.252394
119,Tijucas,SC,-27.2,-48.4,1.29,0.582978,37,0.349469,0.250529
120,Belmonte,BA,-16.0,-38.8,1.17,1.351447,2,0.079651,0.249754
121,Baía Formosa,RN,-6.4,-34.8,1.77,1.497272,1,0.038151,0.249045
122,São José,SC,-27.8,-48.4,1.75,0.476086,70,0.586185,0.248551
123,Canavieiras,BA,-15.6,-38.8,1.32,1.3051,1,0.067551,0.248111
124,Conceição da Barra,ES,-18.6,-39.6,1.1,1.739896,3,0.067102,0.245541
125,Caravelas,BA,-17.8,-39.0,1.31,1.712443,3,0.113202,0.24388
126,Rosário,MA,-2.4,-44.0,0.9,3.150891,1,0.107251,0.239519
127,Turiaçu,MA,-1.4,-45.2,0.76,4.057414,2,0.032151,0.238291
128,Maraú,BA,-14.0,-38.8,1.42,1.330248,1,0.033801,0.237973
129,Igrapiúna,BA,-13.8,-38.8,1.37,1.3407,1,0.063301,0.236491
130,Araquari,SC,-26.6,-48.6,1.32,0.750584,35,0.317118,0.23612
131,Santa Vitória do Palmar,RS,-33.6,-53.0,1.26,0.677149,96,0.798648,0.234787
132,Balneário Piçarras,SC,-26.8,-48.4,1.51,0.677386,37,0.355519,0.234542
133,Fundão,ES,-20.0,-40.0,1.61,0.927341,15,0.158658,0.234379
134,Camamu,BA,-13.8,-38.8,1.37,1.3407,1,0.063301,0.233191
135,Terra de Areia,RS,-29.6,-49.8,1.71,0.444409,80,0.65379,0.231011
136,Penha,SC,-26.8,-48.4,1.51,0.677386,37,0.355519,0.229737
137,Cairu,BA,-13.6,-38.8,1.36,1.343764,1,0.041301,0.22785
138,Humberto de Campos,MA,-2.2,-43.6,1.55,2.320195,1,0.043551,0.227714
139,Itapema,SC,-27.2,-48.4,1.29,0.582978,37,0.349469,0.226699
140,Valença,BA,-13.4,-38.8,1.35,1.34829,1,0.040151,0.223137
141,Augusto Corrêa,PA,-0.8,-46.4,1.14,3.022545,3,0.055002,0.222441
142,Aracruz,ES,-19.8,-40.0,1.34,0.935606,18,0.208709,0.221748
143,Baía da Traição,PB,-6.8,-34.8,1.24,1.525076,1,0.019751,0.217754
144,Soure,PA,-0.2,-48.4,0.74,2.767483,1,0.020651,0.217272
145,Pitimbu,PB,-7.4,-34.6,1.63,1.500972,1,0.022201,0.216984
146,Serra,ES,-20.4,-40.2,1.36,0.917585,16,0.158258,0.216402
147,Lauro de Freitas,BA,-13.0,-38.2,1.66,1.348924,1,0.087101,0.2145
148,Vila Velha,ES,-20.4,-40.2,1.36,0.917585,16,0.158258,0.213452
149,Navegantes,SC,-27.0,-48.4,1.44,0.629906,32,0.325266,0.213029
150,Amapá,AP,1.4,-49.8,1.15,2.427619,1,0.029551,0.204642
151,Paulino Neves,MA,-2.6,-42.4,1.3,1.975753,1,0.036901,0.201468
152,Senador Georgino Avelino,RN,-6.2,-35.0,1.28,1.519458,1,0.028351,0.200653
153,Amontada,CE,-2.8,-39.6,1.69,1.832702,1,0.029601,0.200118
154,Tibau do Sul,RN,-6.2,-35.0,1.28,1.519458,1,0.028351,0.200063
155,Serrano do Maranhão,MA,-1.4,-44.8,0.9,2.990314,1,0.069201,0.199824
156,Osório,RS,-30.0,-50.0,1.69,0.431692,71,0.592786,0.197916
157,Salvador,BA,-13.0,-38.4,1.52,1.348136,1,0.057701,0.196715
158,Extremoz,RN,-5.6,-35.0,1.78,1.513292,1,0.046701,0.193027
159,Campos dos Goytacazes,RJ,-22.0,-40.8,1.88,0.854338,26,0.327813,0.191218
160,Itarema,CE,-2.8,-39.8,1.6,1.899586,1,0.017101,0.191149
161,Nísia Floresta,RN,-6.2,-35.0,1.28,1.519458,1,0.028351,0.189369
162,Bacabeira,MA,-2.4,-44.0,0.9,3.150891,1,0.107251,0.18871
163,Tracuateua,PA,-0.6,-46.8,1.31,2.976737,4,0.091402,0.188675
164,Luís Correia,PI,-2.8,-41.6,0.9,2.004612,1,0.016351,0.188008
165,Marcação,PB,-6.8,-34.8,1.24,1.525076,1,0.019751,0.184029
166,Bacuri,MA,-1.4,-45.2,0.76,4.057414,2,0.032151,0.182223
167,Cajueiro da Praia,PI,-2.8,-41.4,1.02,2.015229,1,0.011651,0.181598
168,Conde,PB,-7.4,-34.6,1.63,1.500972,1,0.022201,0.180449
169,Macapá,AP,0.8,-50.2,0.44,3.48617,1,0.017401,0.178303
170,Araioses,MA,-2.6,-41.8,1.28,1.928852,1,0.024301,0.177877
171,Vitória,ES,-20.4,-40.2,1.36,0.917585,16,0.158258,0.175936
172,Apicum-Açu,MA,-1.4,-45.0,0.77,4.085818,1,0.021901,0.175136
173,São Mateus,ES,-18.8,-39.6,1.1,1.620159,3,0.066102,0.173327
174,Vigia,PA,-1.4,-48.6,0.14,3.063851,2,0.010101,0.171897
175,Itajaí,SC,-27.0,-48.4,1.44,0.629906,32,0.325266,0.170952
176,Colares,PA,-1.4,-48.6,0.14,3.063851,2,0.010101,0.162545
177,Ceará-Mirim,RN,-5.6,-35.0,1.78,1.513292,1,0.046701,0.16213
178,Cândido Mendes,MA,-1.4,-45.2,0.76,4.057414,2,0.032151,0.161167
179,Goiana,PE,-7.6,-34.8,1.18,1.57282,1,0.017801,0.157852
180,Mataraca,PB,-6.6,-34.8,1.62,1.505313,1,0.032001,0.157728
181,São João Batista,MA,-2.4,-44.2,0.69,2.614275,1,0.123701,0.155519
182,Itacaré,BA,-14.4,-38.8,1.54,1.316916,1,0.012601,0.148018
183,Barreirinhas,MA,-2.4,-42.8,1.49,1.955848,1,0.046101,0.141982
184,Natal,RN,-5.8,-35.0,1.67,1.509022,1,0.043051,0.141256
185,Santo Amaro do Maranhão,MA,-2.4,-42.8,1.49,1.955848,1,0.046101,0.134754
186,Balneário Camboriú,SC,-27.0,-48.4,1.44,0.629906,32,0.325266,0.130837
187,Camaçari,BA,-12.8,-38.0,1.67,1.34956,1,0.022801,0.130631
188,Linhares,ES,-19.4,-39.6,1.39,1.115143,14,0.135157,0.129568
189,Ilha Grande,PI,-2.8,-41.6,0.9,2.004612,1,0.016351,0.127285
190,Canguaretama,RN,-6.2,-35.0,1.28,1.519458,1,0.028351,0.12689
191,Rio Tinto,PB,-6.8,-34.8,1.24,1.525076,1,0.019751,0.122854
192,João Pessoa,PB,-7.6,-34.8,1.18,1.57282,1,0.017801,0.121934
193,Parnaíba,PI,-2.8,-41.6,0.9,2.004612,1,0.016351,0.118977
194,Parnamirim,RN,-5.8,-35.0,1.67,1.509022,1,0.043051,0.11765
195,Uruçuca,BA,-14.4,-38.8,1.54,1.316916,1,0.012601,0.108079
196,Oiapoque,AP,4.2,-51.2,0.8,1.998946,2,0.039801,0.071752
197,Barra de Santo Antônio,AL,-9.6,-35.6,1.31,1.525435,0,0.0,0.0
198,Barra de São Miguel,AL,-10.0,-35.8,1.64,1.405856,0,0.0,0.0
199,Roteiro,AL,-10.0,-35.8,1.64,1.405856,0,0.0,0.0
200,Feliz Deserto,AL,-10.4,-36.2,1.56,1.416001,0,0.0,0.0
201,Brejo Grande,SE,-10.6,-36.6,1.5,1.422749,0,0.0,0.0
202,Carutapera,MA,-1.0,-45.8,1.18,2.968626,0,0.0,0.0
203,Maxaranguape,RN,-5.4,-35.2,1.78,1.60568,0,0.0,0.0
204,Touros,RN,-5.2,-35.4,1.65,1.73851,0,0.0,0.0
205,Macau,RN,-5.0,-36.6,1.26,1.840329,0,0.0,0.0
206,Galinhos,RN,-5.0,-36.2,1.21,1.97077,0,0.0,0.0
207,São Miguel do Gostoso,RN,-5.0,-35.6,1.56,1.6972,0,0.0,0.0
208,Grossos,RN,-4.8,-37.2,1.57,2.560722,0,0.0,0.0
209,Areia Branca,RN,-4.8,-37.0,1.6,1.806893,0,0.0,0.0
210,Porto do Mangue,RN,-4.8,-36.8,1.67,1.73733,0,0.0,0.0
211,Ilhéus,BA,-15.0,-38.8,1.5,1.297176,0,0.0,0.0
212,Una,BA,-15.2,-38.8,1.41,1.295797,0,0.0,0.0
213,São Bento do Norte,RN,-4.8,-36.0,1.74,1.610028,0,0.0,0.0
214,Pedra Grande,RN,-4.8,-35.8,1.78,1.612341,0,0.0,0.0
215,Aracati,CE,-4.4,-37.6,1.55,1.858766,0,0.0,0.0
216,Paripueira,AL,-9.6,-35.6,1.31,1.525435,0,0.0,0.0
217,Caiçara do Norte,RN,-5.0,-36.2,1.21,1.97077,0,0.0,0.0
218,Lucena,PB,-7.0,-34.8,1.19,1.546305,0,0.0,0.0
219,Guamaré,RN,-5.0,-36.2,1.21,1.97077,0,0.0,0.0
220,Tibau,RN,-4.8,-37.2,1.57,2.560722,0,0.0,0.0
221,Fortim,CE,-4.4,-37.6,1.55,1.858766,0,0.0,0.0
222,Fortaleza,CE,-3.8,-38.2,1.56,1.806007,0,0.0,0.0
223,São Gonçalo do Amarante,CE,-3.8,-38.2,1.56,1.806007,0,0.0,0.0
224,Santa Rita,PB,-7.0,-34.8,1.19,1.546305,0,0.0,0.0
225,Paracuru,CE,-3.8,-38.2,1.56,1.806007,0,0.0,0.0
226,Icapuí,CE,-4.6,-37.4,1.36,1.853448,0,0.0,0.0
227,Ilha de Itamaracá,PE,-7.8,-34.8,1.46,1.506723,0,0.0,0.0
228,Paulista,PE,-8.0,-34.8,1.6,1.481607,0,0.0,0.0
229,Jaboatão dos Guararapes,PE,-8.2,-34.8,1.72,1.464965,0,0.0,0.0
230,Ipojuca,PE,-8.8,-35.0,1.61,1.461161,0,0.0,0.0
231,Sirinhaém,PE,-8.8,-35.0,1.61,1.461161,0,0.0,0.0
232,Tamandaré,PE,-8.8,-35.0,1.61,1.461161,0,0.0,0.0
233,São José da Coroa Grande,PE,-9.0,-35.0,1.74,1.441883,0,0.0,0.0
234,Japaratinga,AL,-9.2,-35.2,1.51,1.488888,0,0.0,0.0
235,São Miguel dos Milagres,AL,-9.6,-35.6,1.31,1.525435,0,0.0,0.0
236,Passo de Camaragibe,AL,-9.6,-35.6,1.31,1.525435,0,0.0,0.0
237,Santa Rita,MA,-2.4,-44.0,0.9,3.150891,1,0.107251,0.0
238,Porto de Pedras,AL,-9.2,-35.2,1.51,1.488888,0,0.0,0.0
239,Maceió,AL,-9.6,-35.6,1.31,1.525435,0,0.0,0.0
240,Marechal Deodoro,AL,-9.8,-35.8,1.74,1.436392,0,0.0,0.0
241,Jequiá da Praia,AL,-10.0,-35.8,1.64,1.405856,0,0.0,0.0
242,Coruripe,AL,-10.2,-36.0,1.64,1.411976,0,0.0,0.0
243,Piaçabuçu,AL,-10.4,-36.2,1.56,1.416001,0,0.0,0.0
244,Pacatuba,SE,-10.6,-36.6,1.5,1.422749,0,0.0,0.0
245,Pirambu,SE,-10.8,-36.6,1.71,1.394202,0,0.0,0.0
246,Barra dos Coqueiros,SE,-10.8,-36.8,1.35,1.392731,0,0.0,0.0
247,Rio do Fogo,RN,-5.4,-35.2,1.78,1.60568,0,0.0,0.0
248,Itaporanga d'Ajuda,SE,-11.2,-37.0,1.62,1.376672,0,0.0,0.0
249,Estância,SE,-11.4,-37.2,1.5,1.388061,0,0.0,0.0
250,Jandaíra,BA,-11.6,-37.4,1.49,1.602126,0,0.0,0.0
251,Conde,BA,-12.0,-37.4,1.71,1.359817,0,0.0,0.0
252,Esplanada,BA,-12.2,-37.6,1.59,1.360619,0,0.0,0.0
253,Entre Rios,BA,-12.4,-37.8,1.43,1.373806,0,0.0,0.0
254,Mata de São João,BA,-12.6,-37.8,1.69,1.349527,0,0.0,0.0
255,Salvaterra,PA,-0.8,-48.4,0.61,3.195137,0,0.0,0.0
256,São Caetano de Odivelas,PA,-0.6,-48.0,0.67,3.23461,0,0.0,0.0
257,Calçoene,AP,2.6,-50.8,1.01,4.752028,0,0.0,0.0
258,Aracaju,SE,-11.0,-37.0,1.18,1.390123,0,0.0,0.0
259,Beberibe,CE,-4.2,-37.8,1.44,1.854103,0,0.0,0.0
260,Cascavel,CE,-4.0,-38.0,1.52,1.836123,0,0.0,0.0
261,Aquiraz,CE,-3.8,-38.2,1.56,1.806007,0,0.0,0.0
262,Caucaia,CE,-3.6,-38.6,1.45,1.784805,0,0.0,0.0
263,Trairi,CE,-3.2,-39.2,1.35,1.774932,0,0.0,0.0
264,Paraipaba,CE,-3.2,-39.0,1.63,1.737566,0,0.0,0.0
265,Itapipoca,CE,-3.0,-39.4,1.51,1.803254,0,0.0,0.0
266,Barroquinha,CE,-2.8,-41.2,1.29,2.013555,0,0.0,0.0
267,Camocim,CE,-2.8,-40.8,1.15,1.997641,0,0.0,0.0
268,Jijoca de Jericoacoara,CE,-2.8,-40.6,1.15,1.984487,0,0.0,0.0
269,Maragogi,AL,-9.0,-35.0,1.74,1.441883,0,0.0,0.0
270,Acaraú,CE,-2.8,-40.2,1.42,1.943465,0,0.0,0.0
271,Godofredo Viana,MA,-1.2,-45.6,0.86,4.560236,0,0.0,0.0
272,Cabedelo,PB,-7.0,-34.8,1.19,1.546305,0,0.0,0.0
273,Viseu,PA,-1.0,-46.0,0.99,3.031009,0,0.0,0.0
274,Luís Domingues,MA,-1.0,-45.8,1.18,2.968626,0,0.0,0.0
275,Igarassu,PE,-7.8,-34.8,1.46,1.506723,0,0.0,0.0
276,Olinda,PE,-8.0,-34.8,1.6,1.481607,0,0.0,0.0
277,Recife,PE,-8.2,-34.8,1.72,1.464965,0,0.0,0.0
278,Cabo de Santo Agostinho,PE,-8.4,-34.8,1.63,1.448603,0,0.0,0.0
279,Barreiros,PE,-8.8,-35.0,1.61,1.461161,0,0.0,0.0
280,Cruz,CE,-2.8,-40.4,1.3,1.956,0,0.0,0.0
