band,n_points,min,q25,median,q75,max,n_below_1m,n_below_1.5m,n_below_2m
RS (-35..-29),90.0,1.2,1.71,1.99,2.1175,2.4,0.0,9.0,48.0
SC/PR (-29..-25.3),47.0,0.99,1.48,1.77,2.03,2.38,1.0,13.0,34.0
SP/RJ (-25.3..-21),122.0,0.57,1.6349999999999998,1.86,2.02,2.34,3.0,20.0,86.0
ES/BA-S (-21..-18),64.0,1.02,1.495,1.815,2.32,2.33,0.0,16.0,39.0
BA-N (-18..-12),67.0,0.99,1.415,1.544,1.652,1.81,1.0,26.0,67.0
NE (-12..-5),95.0,1.18,1.63,1.79,1.892,2.05,0.0,12.0,90.0
N equatorial (-5..0),195.0,0.14,1.23,1.48,1.8,2.15,34.0,100.0,177.0
AP (0..7),123.0,0.3,1.145,1.51,1.7349999999999999,2.04,17.0,60.0,104.0
