state,n_municipalities,min,q25,median,q75,max,n_below_1m,n_below_1.5m,n_below_2m
MA,33.0,0.69,0.69,0.9,1.18,1.63,24.0,31.0,33.0
PI,4.0,0.9,0.9,0.9,0.93,1.02,3.0,4.0,4.0
AP,4.0,0.44,0.7100000000000001,0.905,1.045,1.15,2.0,4.0,4.0
PA,17.0,0.14,0.67,0.99,1.27,1.31,9.0,17.0,17.0
PR,5.0,0.99,0.99,1.03,1.29,1.47,2.0,5.0,5.0
PB,10.0,1.18,1.19,1.24,1.5250000000000001,1.63,0.0,7.0,10.0
ES,14.0,1.1,1.22,1.32,1.36,1.61,0.0,13.0,14.0
SP,15.0,0.95,1.275,1.36,1.56,1.66,1.0,10.0,15.0
BA,30.0,0.99,1.3125,1.3900000000000001,1.54,1.71,1.0,19.0,30.0
SE,7.0,1.18,1.425,1.5,1.56,1.71,0.0,2.0,7.0
SC,29.0,1.03,1.29,1.51,1.89,1.99,0.0,14.0,29.0
CE,20.0,1.15,1.3575000000000002,1.5150000000000001,1.56,1.69,0.0,9.0,20.0
AL,15.0,1.31,1.31,1.56,1.64,1.74,0.0,5.0,15.0
RN,23.0,1.21,1.28,1.6,1.755,1.78,0.0,8.0,23.0
PE,13.0,1.18,1.6,1.61,1.63,1.74,0.0,3.0,13.0
RJ,25.0,0.78,1.42,1.63,1.7,2.01,2.0,7.0,24.0
RS,16.0,1.2,1.69,1.705,1.9,1.93,0.0,3.0,16.0
