point_id,grid_lat,grid_lon,nearest_municipality,state,latitude_band,distance_to_polygon_km,n_municipalities,stratum,stratum_size,stratum_surge_over_swing_min,stratum_surge_over_swing_max,distance_to_centroid_z,surge_q99_over_swing,hat_m,thr_hs_abs,Hazard_Frequency,Hazard_Severity,surge_q99_anomaly_cm,springneap_swing_cm,compound_count_total,mean_integrated_severity,Hazard_Index
p01,-29.0,-49.4,Balneário Arroio do Silva,SC,SC/PR,1.69,1,8,13,0.97857659600115,1.331989319820912,0.14703048595746152,1.0959884935024382,0.449269,1.71,0.7857142857142857,0.5971738901191606,47.24122245157394,43.10375768691301,77,0.5663,0.705849173081655
p02,-24.6,-47.2,Iguape,SP,SP/RJ,4.213,1,6,13,0.5548049373961657,0.6233338394692723,0.3733343768676621,0.5683567114656038,0.864213,1.56,0.6020408163265306,0.4728461457344722,44.30134215442462,77.94636934995651,59,0.4484,0.5486402202186369
p03,-24.0,-46.2,Guarujá,SP,SP/RJ,0.089,1,7,14,0.6304333077607575,0.9770922539351048,0.5134649765066365,0.6304333077607575,0.749386,1.46,0.7142857142857143,0.5769271327638933,43.17100661195104,68.4783086180687,70,0.5471,0.6590565573482372
p04,-22.4,-41.6,Macaé,RJ,SP/RJ,8.779,2,5,14,0.4533941301949097,0.5316159672329477,0.22480112623714285,0.461632663419911,0.796984,1.42,0.3469387755102041,0.4134767478645998,31.509620602952964,68.25691312551498,34,0.3921,0.38812875672255615
p05,-19.8,-40.0,Aracruz,ES,ES/BA-S,3.62,1,4,13,0.1768202021846799,0.4489020950128168,0.16513962462460785,0.3166967828576779,0.935606,1.34,0.1836734693877551,0.24844458504692607,25.11331531810741,79.29766476154327,18,0.2356,0.2205602569510352
p06,-16.0,-38.8,Belmonte,BA,ES/BA-S,11.74,1,3,14,0.1317017983740884,0.1742620255310427,0.24128510367931644,0.1730571920817196,1.351447,1.17,0.02040816326530612,0.1466835389644627,19.39155423809866,112.05286532640456,2,0.1391,0.08528638967977784
p07,-2.4,-42.8,Barreirinhas,MA,N_equatorial,15.792,2,1,14,0.0758684545608147,0.0835959855527451,0.27918429365535524,0.0815671397425674,1.955848,1.49,0.01020408163265306,0.08657597806601287,11.61457311234256,142.39279627799988,1,0.0821,0.04939815547119407
p08,-0.8,-46.4,Augusto Corrêa,PA,N_equatorial,7.872,1,0,14,0.0312805162141333,0.0752281068463873,0.37215669079532215,0.0717996688286611,3.022545,1.14,0.030612244897959183,0.08404513339660444,14.671645252225138,204.3414056301117,3,0.0797,0.058523036837850186
p09,1.4,-49.8,Amapá,AP,AP,8.714,1,2,13,0.0836780026349237,0.1289893403566402,0.40101824859851104,0.0953165487842492,2.427619,1.15,0.01020408163265306,0.05167141200042181,15.50248057751708,162.64206767082214,1,0.049,0.03158228320854863
