municipality_name,state,Risk_Hazard,hazard_z_log,exposure_z_log,vulnerability_z_log,rank
Jaguaripe,BA,0.26884,-0.7982320188822073,-0.3949477875715811,1.1388085086089192,104
Vera Cruz,BA,0.26839,-0.7982320188822073,0.47901566577356686,0.5230463843621973,105
Araranguá,SC,0.267738,1.1881021838538197,-1.1732804916949642,-0.9590916989186373,106
Bacurituba,MA,0.264216,-0.1973463024782795,-1.6709839374342896,1.1800528050112409,107
Magalhães Barata,PA,0.263611,-0.349102709495029,-1.0750071101697394,0.9573447902912021,108
Florianópolis,SC,0.261843,1.0425508144157452,0.7196229624253084,-2.1591239122521673,109
Santos,SP,0.261002,1.1072231152761496,0.8162509364578489,-2.322382873915208,110
Cururupu,MA,0.258674,-0.6602667038712688,-0.7597547685895683,1.0890928107234965,111
Quissamã,RJ,0.258615,0.6780319399880825,-1.4834690909761366,-0.17712645192165075,112
Tutóia,MA,0.258183,-1.1613814798876605,0.02052550193731735,1.2011901216898837,113
Porto Seguro,BA,0.255039,-0.30995616050589186,-0.17232830028715002,0.17042200762904666,114
Presidente Kennedy,ES,0.254609,0.2631879221753881,-1.3699544351179676,0.24315889198611895,115
Bragança,PA,0.254169,-0.8980113182087914,-0.41414307799544553,1.1067130912267615,116
Matinhos,PR,0.253096,0.5928732832131804,0.4748203477807068,-1.5005417586275902,117
Itaboraí,RJ,0.252394,1.0960405101164141,-2.9218052939588905,0.19733632073302834,118
Tijucas,SC,0.250529,0.6303426481646577,0.07997699735689696,-1.3065863849369663,119
Belmonte,BA,0.249754,-0.5481817229652772,-0.38945627415302875,0.5710743156563441,120
Baía Formosa,RN,0.249045,-1.1348318363269059,0.4236582530515165,0.7704561510531276,121
São José,SC,0.248551,1.0425508144157452,0.23481554862699286,-1.985311725075302,122
Canavieiras,BA,0.248111,-0.6794994865331373,-0.27326885255444955,0.6428177869368759,123
Conceição da Barra,ES,0.245541,-0.684814479658368,-0.05079086500114879,0.46151410740296794,124
Caravelas,BA,0.24388,-0.2680321931395968,-1.2914368430965366,0.7550844390006018,125
Rosário,MA,0.239519,-0.31107001171497156,-1.7865475827551667,1.10077627902673,126
Turiaçu,MA,0.238291,-1.2711997398035912,-0.16713397975835248,1.2239311152844874,127
Maraú,BA,0.237973,-1.231314023247173,0.16075425196262913,0.9378893354972029,128
Igrapiúna,BA,0.236491,-0.7312878443048347,-1.0353673600029198,1.091914258145749,129
Araquari,SC,0.23612,0.552924463155435,-1.047019320605814,-0.6043438365421018,130
Santa Vitória do Palmar,RS,0.234787,1.2890408988903976,-1.6398298766182953,-1.1823207448403332,131
Balneário Piçarras,SC,0.234542,0.6440216718586735,0.0037695159643199366,-1.480086303322276,132
Fundão,ES,0.234379,0.0010059047309057966,-0.6398094273601522,-0.1818277210815846,133
Camamu,BA,0.233191,-0.7312878443048347,-0.8650164492565936,0.9284599660283719,134
Terra de Areia,RS,0.231011,1.1295404590670093,-2.891956585035832,-0.14792755079457237,135
Penha,SC,0.229737,0.6440216718586735,0.048828257885755295,-1.577061268019085,136
Cairu,BA,0.22785,-1.0716045978414828,0.5508607430102685,0.3165118990165669,137
Humberto de Campos,MA,0.227714,-1.0293286799475847,-0.8496928023337981,1.2369736271749574,138
Itapema,SC,0.226699,0.6303426481646577,0.47657868342904103,-1.899849855399472,139
Valença,BA,0.223137,-1.094110464306397,0.10956944417360805,0.5884166878810605,140
Augusto Corrêa,PA,0.222441,-0.8432869924022348,-1.283053882722822,1.2193426534027776,141
Aracruz,ES,0.221748,0.21952651173653398,-0.7271183924444401,-0.5852937004095629,142
Baía da Traição,PB,0.217754,-1.6595138950993475,0.28509238320999136,1.13676181591538,143
Soure,PA,0.217272,-1.6240013100509394,0.4087623612386585,0.9963662729882411,144
Pitimbu,PB,0.216984,-1.5663218878181486,0.2947277117163911,0.9955023182316617,145
Serra,ES,0.216402,-0.0010059047309059735,0.07138603287010387,-0.9284309952584952,146
Lauro de Freitas,BA,0.2145,-0.4769218212719131,0.013100660223250111,-0.28585655932358484,147
Vila Velha,ES,0.213452,-0.0010059047309059735,0.7244311367633617,-1.4279997145947272,148
Navegantes,SC,0.213029,0.5731430308822939,-0.09895571687931229,-1.618930083687067,149
Amapá,AP,0.204642,-1.3384048257737826,-0.5298459417642344,1.0845682139211585,150
Paulino Neves,MA,0.201468,-1.1613814798876605,-1.161433802778439,1.2420074775649816,151
Senador Georgino Avelino,RN,0.200653,-1.3714433516094342,-0.2720153698941578,0.8859079847186695,152
Amontada,CE,0.200118,-1.3370575035769772,-0.7045558074553571,1.1340793645047782,153
Tibau do Sul,RN,0.200063,-1.3714433516094342,0.4501982204104409,0.372128390932399,154
Serrano do Maranhão,MA,0.199824,-0.6602667038712688,-2.124843351329066,1.2258787488311087,155
Osório,RS,0.197916,1.051475274235163,-1.8809079789604592,-1.2400600291786024,156
Salvador,BA,0.196715,-0.8051082831407198,0.5748769128414255,-0.5178110720203647,157
Extremoz,RN,0.193027,-0.9736740947285188,-0.8729002724289697,0.6566455922324062,158
Campos dos Goytacazes,RJ,0.191218,0.5793593917510664,-2.4777929552402913,-0.3072985197918086,159
Itarema,CE,0.191149,-1.7743308051005193,-0.0432152532307468,1.1057129240115615,160
Nísia Floresta,RN,0.189369,-1.3714433516094342,-0.5552456606424824,0.9006161553622907,161
Bacabeira,MA,0.18871,-0.31107001171497156,-2.687443444343245,0.9757054505169594,162
Tracuateua,PA,0.188675,-0.4385087723599446,-2.7800318258939027,1.2084251266210355,163
Luís Correia,PI,0.188008,-1.8100731259865848,-0.10880454201880677,1.1464099738419073,164
Marcação,PB,0.184029,-1.6595138950993475,-0.5744878518452073,1.2047666159824777,165
Bacuri,MA,0.182223,-1.2711997398035912,-1.333741322165944,1.1900313632743602,166
Cajueiro da Praia,PI,0.181598,-2.0801631700356364,0.21332093585017894,1.1690680520068137,167
Conde,PB,0.180449,-1.5663218878181486,-0.536405065652854,0.9926807382197074,168
Macapá,AP,0.178303,-1.7604709490568318,0.05806814548512173,0.7965264304854406,169
Araioses,MA,0.177877,-1.4942918002250205,-1.0603403496188082,1.2179184382681605,170
Vitória,ES,0.175936,-0.0010059047309059735,0.6422860873354973,-1.9822056372879246,171
Apicum-Açu,MA,0.175136,-1.5771646631439926,-0.9153438547107561,1.1771670929604041,172
São Mateus,ES,0.173327,-0.6967808291483064,-0.9917090126976419,0.03261611736809998,173
Vigia,PA,0.171897,-2.193936373146365,0.47474326045736637,0.9633213681654431,174
Itajaí,SC,0.170952,0.5731430308822939,-0.7452648476506457,-1.8637123739852557,175
Colares,PA,0.162545,-2.193936373146365,0.09860267116604297,1.0490725103933027,176
Ceará-Mirim,RN,0.16213,-0.9736740947285188,-1.9365246086657442,0.8476907873000116,177
Cândido Mendes,MA,0.161167,-1.2711997398035912,-1.915355807184208,1.2077872704446109,178
Goiana,PE,0.157852,-1.742358293195271,-0.3857996482457925,0.6971309192514241,179
Mataraca,PB,0.157728,-1.2749266818557474,-1.4888781522099652,0.8465914503717998,180
São João Batista,MA,0.155519,-0.1973463024782795,-4.109858834163287,1.2066989239758323,181
Itacaré,BA,0.148018,-2.0176935135485654,0.03052403014780973,0.5671814191278723,182
Barreirinhas,MA,0.141982,-0.9839796347949311,-3.058875709474495,1.2254343904259346,183
Natal,RN,0.141256,-1.038531431518328,-0.3446986027060082,-0.6144264904201455,184
Santo Amaro do Maranhão,MA,0.134754,-0.9839796347949311,-3.3250947021172457,1.246062838167281,185
Balneário Camboriú,SC,0.130837,0.5731430308822939,0.2200081936366793,-3.384119791457873,186
Camaçari,BA,0.130631,-1.5450690973304293,-0.6730400980772103,0.03781524523750086,187
Linhares,ES,0.129568,-0.12675909854211015,-2.513299213125903,-0.579511815543964,188
Ilha Grande,PI,0.127285,-1.8100731259865848,-1.6903016178279586,1.016958038388796,189
Canguaretama,RN,0.12689,-1.3714433516094342,-2.4164204620921903,0.9338683444235258,190
Rio Tinto,PB,0.122854,-1.6595138950993475,-1.8959831117584602,0.8492808479436388,191
João Pessoa,PB,0.121934,-1.742358293195271,0.3064173864817179,-0.6032390643625927,192
Parnaíba,PI,0.118977,-1.8100731259865848,-1.2435133706441361,0.49131176668819326,193
Parnamirim,RN,0.11765,-1.038531431518328,-1.4126580907837574,-0.44701614149762925,194
Uruçuca,BA,0.108079,-2.0176935135485654,-1.0385823085107824,0.3189668132155853,195
Oiapoque,AP,0.071752,-1.1010881640377512,-5.808792659279793,1.1418823216203076,196
