municipality_name,state,Risk_Hazard,hazard_z_log,exposure_z_log,vulnerability_z_log,rank
São José do Norte,RS,0.566342,1.263745160550568,0.5482239773390156,0.10873105176644211,1
Guaraqueçaba,PR,0.505445,0.7643745920305445,0.016191102857473133,0.7812621975975668,2
Magé,RJ,0.468027,1.0960405101164141,-0.1632438784685774,0.22434667139441625,3
Mangaratiba,RJ,0.444282,0.9203124287638836,0.6260466629556889,-0.25916430066216484,4
Paraty,RJ,0.440631,1.0777878435691917,0.21188062106557382,-0.20436812677491512,5
Guarujá,SP,0.438005,1.09630363166555,0.7953432038219053,-0.6553347213690035,6
Balneário Gaivota,SC,0.434647,1.1718542508594874,0.41152636573396784,-0.5115606695347369,7
São Sebastião,SP,0.432443,1.1998489656025386,0.4354607459943196,-0.5814194775636217,8
Saquarema,RJ,0.430434,1.0398802003160232,0.01389770787857888,-0.08998885879034056,9
Passo de Torres,SC,0.429505,1.151777542196571,0.29190498612476284,-0.43909349423276794,10
Maricá,RJ,0.426837,1.090362922928815,-0.003769515964319769,-0.17101198020968733,11
Rio Grande,RS,0.421935,1.1317936338385106,0.7257546409658544,-0.7719558418093869,12
Palmares do Sul,RS,0.418606,1.0898634035104742,-0.19391798319154419,-0.09914388427401034,13
Arroio do Sal,RS,0.41496,1.1295404590670093,0.1717736462908244,-0.43475733065762523,14
Iguape,SP,0.408137,0.9504029358548268,0.4205216006400737,-0.42390841231469645,15
Bertioga,SP,0.406928,1.2055217700863274,0.3303771606481222,-0.7079352934937425,16
Arraial do Cabo,RJ,0.406446,0.975332185260207,0.577562897814432,-0.5797289700490643,17
Mostardas,RS,0.402897,1.1924509451756113,-0.6567674162554396,-0.03261611736809998,18
Angra dos Reis,RJ,0.401956,1.1020616034949444,0.6201339732277127,-0.8123146600927611,19
Balneário Arroio do Silva,SC,0.395732,1.1514811235229918,0.4890231974481798,-0.8355074841955701,20
Guimarães,MA,0.393606,-0.06307151280229768,0.0325006204788881,1.073588813316335,21
Alcântara,MA,0.393562,-0.1973463024782795,0.1575238889837637,1.1635919618592485,22
Balneário Pinhal,RS,0.392858,1.140258620909565,0.11158659567089774,-0.5800789241601809,23
São Francisco de Itabapoana,RJ,0.386642,0.2584708888010796,-0.26289670618841743,0.7979340898657395,24
Duque de Caxias,RJ,0.385615,1.0960405101164141,-0.33213407705985637,-0.27050065095272524,25
Laguna,SC,0.38399,1.2469259650416864,0.6173370671798503,-1.146737294627474,26
Cabo Frio,RJ,0.382092,0.880816208294484,0.5227512637298342,-0.6118672334867342,27
Raposa,MA,0.373527,-0.1973463024782795,0.26333929949730256,0.924369461649443,28
Ubatuba,SP,0.372571,0.9947107381268409,0.008127315298872083,-0.482958363238757,29
Maracanã,PA,0.371047,-0.349102709495029,0.19370516922334005,1.1527544890538313,30
Imbituba,SC,0.371014,1.0778528799760736,0.043561179551911015,-0.6309835909336624,31
Icatu,MA,0.368353,-0.31107001171497156,-0.04090370157419551,1.2432442541508735,32
Marapanim,PA,0.365189,-0.349102709495029,0.2780035488769709,1.0435237371686004,33
Itapemirim,ES,0.365047,0.34244237647969883,0.11815034878926335,0.23880928687321562,34
Ilhabela,SP,0.36105,1.1064091039298674,0.5027175928034192,-1.0756260809941443,35
Tavares,RS,0.3607,1.2764138043706368,-1.4563766427614813,0.06476016648221639,36
Cidreira,RS,0.360356,1.140258620909565,0.3358036166771123,-1.0099149606879432,37
Cajapió,MA,0.35798,-0.1973463024782795,-0.35706565751005787,1.2232119690066434,38
Paranaguá,PR,0.35772,0.6735082178674877,0.44541112421391416,-0.49204563417505587,39
Marataízes,ES,0.356014,0.34244237647969883,0.6174938474394703,-0.18925862819413383,40
Cedral,MA,0.356003,-0.2617280280341783,-0.10129153437849031,1.112234717178872,41
São Vicente,SP,0.355414,1.1072231152761496,0.6568943995170459,-1.2341754202700406,42
Balneário Rincão,SC,0.353047,1.1881021838538197,-0.047342692484426255,-0.8704392533780273,43
Cananéia,SP,0.35142,0.8121640853027873,0.1940055697405522,-0.556147357564803,44
Jaguaruna,SC,0.350641,1.2203985646659776,-0.33885789702965163,-0.7311886895573054,45
Armação dos Búzios,RJ,0.350561,0.6269122291623913,0.5224459367927031,-0.5481546738619419,46
Anchieta,ES,0.349391,0.34244237647969883,0.4387151691828922,-0.1237977621825283,47
São Gonçalo,RJ,0.347431,1.0960405101164141,0.021955300177087234,-0.847749044229974,48
Salinópolis,PA,0.346147,-0.54169445575574,0.6574067755400159,0.8639435098242529,49
Xangri-lá,RS,0.342145,1.051475274235163,0.3123723773217304,-1.0401330444972643,50
Itanhaém,SP,0.34147,1.0465501764282998,0.09349209037337344,-0.8869876308365231,51
Chaves,PA,0.339802,-0.6364077873538813,0.19457070688856798,1.2540295416575944,52
Guapimirim,RJ,0.337326,1.0960405101164141,-1.219542567358323,-0.07395091725915837,53
Garopaba,SC,0.337077,1.1002350072736438,-0.14048623621169568,-0.8355613045980987,54
Macaé,RJ,0.336096,0.6710156832041816,0.7545462320719061,-0.9019639919293336,55
Ilha Comprida,SP,0.335069,0.7388172438622961,0.5934870180485216,-0.8888622397389293,56
São João da Barra,RJ,0.334953,0.3903898794586794,0.18816710578597945,-0.145762583023104,57
Mongaguá,SP,0.333962,1.0465501764282998,0.11162985266237165,-0.9699877082727332,58
Peruíbe,SP,0.325475,0.982631203324862,0.12602307832860832,-0.9769102713180411,59
Itaguaí,RJ,0.325045,0.9203124287638836,-0.4877894576940897,-0.46987478481313216,60
Imbé,RS,0.323694,1.051475274235163,0.18322757739461942,-1.1253300678780398,61
Curuçá,PA,0.32354,-0.2952443906067591,-0.35901790071938494,1.0340789420220786,62
Itapoá,SC,0.323122,0.6271458104319724,0.377478023856062,-0.7050847217514057,63
Palhoça,SC,0.321724,1.0425508144157452,0.04877715105331468,-1.03892023111141,64
Governador Celso Ramos,SC,0.321647,0.8253122603630338,0.2340259680465793,-0.881592521112165,65
São João de Pirabas,PA,0.320293,-0.54169445575574,0.02625489825792941,1.0591845084882676,66
Araruama,RJ,0.32018,1.0216641191818416,-1.2992057598035998,-0.08493896093910547,67
Porto Rico do Maranhão,MA,0.318293,-0.2617280280341783,-0.5388255165983686,1.0635866951698552,68
São Francisco do Sul,SC,0.317983,0.676748520536121,0.4727784730470389,-0.8880214857427626,69
Alcobaça,BA,0.315952,-0.3375118776483834,-0.2348613687930377,0.92819863685378,70
Nova Viçosa,BA,0.315626,-0.05710038836911105,-0.570957798233259,0.7886244515907006,71
Prado,BA,0.314029,-0.38051594136328765,-0.12562992950508087,0.8894927094996187,72
Rio das Ostras,RJ,0.31141,0.5071492656198833,0.6624088689394902,-0.8621116059140884,73
São José de Ribamar,MA,0.310467,-0.1973463024782795,-0.033221872147396976,0.5464620650196701,74
Primeira Cruz,MA,0.308729,-0.4255444567499403,-0.6226598540121916,1.242403103744967,75
Torres,RS,0.307212,1.151777542196571,0.3633918067070469,-1.5492576338385493,76
Biguaçu,SC,0.306858,0.8253122603630338,0.28127767038415113,-1.0635314131708176,77
Axixá,MA,0.306858,-0.31107001171497156,-0.7811780501917263,1.1824088085557034,77
Tramandaí,RS,0.305599,1.051475274235163,0.06223647248392826,-1.2228256551444627,79
Guaratuba,PR,0.304095,0.5928732832131804,0.37383181821038725,-0.8492045703930937,80
Santa Cruz Cabrália,BA,0.302006,-0.24719338358054235,-0.126345482053542,0.5900535659532962,81
Quatipuru,PA,0.301001,-0.3624719467360004,-0.6667446299372503,1.109519467073198,82
Caraguatatuba,SP,0.299897,0.9145094245982665,0.5356763579666092,-1.4318496804610457,83
Pontal do Paraná,PR,0.298846,0.6348906680972282,0.6969337994078549,-1.1855730758285081,84
Capão da Canoa,RS,0.297574,1.1295404590670093,-0.010639513058348506,-1.3594200116032193,85
Paulo Lopes,SC,0.296219,1.1002350072736438,-1.6615663057816,-0.18191045941107925,86
Praia Grande,SP,0.294167,1.1072231152761496,0.45282075740655436,-1.6900523522612745,87
Balneário Barra do Sul,SC,0.287834,0.552924463155435,0.4644554152864054,-1.0335168689564116,88
Ituberá,BA,0.287083,-0.7312878443048347,0.41265606765836216,0.6938360090810641,89
Piúma,ES,0.28702,0.34244237647969883,0.5572973462813428,-0.8287861916016191,90
Casimiro de Abreu,RJ,0.286142,0.5071492656198833,-0.1198504517147088,-0.5834577239633296,91
Guarapari,ES,0.285058,0.17537058443540154,0.5864537531542037,-0.6497692568718051,92
Carapebus,RJ,0.281632,0.6710156832041816,-1.6404831427946893,0.2115933541195672,93
São Luís,MA,0.280474,-0.1973463024782795,0.1614463715352125,0.08904222358769656,94
Mucuri,BA,0.280322,-0.1639050979875821,-0.579119367993201,0.560353524506467,95
Porto Belo,SC,0.280167,0.6303426481646577,0.6175474790543911,-1.328320561910765,96
Barra Velha,SC,0.279626,0.552924463155435,0.4928410408650173,-1.1448799655743078,97
Niterói,RJ,0.279088,1.0960405101164141,0.6729761557774859,-1.9955163454226885,98
Nilo Peçanha,BA,0.274842,-0.7312878443048347,-0.2918805681400661,1.048085729958023,99
Rio de Janeiro,RJ,0.274833,1.0920947255537596,-0.042451794409253146,-1.5391859286775889,100
Bombinhas,SC,0.273927,0.6303426481646577,0.4742126115099586,-1.2994599593629037,101
Bequimão,MA,0.269085,-0.1973463024782795,-1.5928801350060877,1.1832776330591321,102
Paço do Lumiar,MA,0.269005,-0.1973463024782795,-0.7542235066228354,0.5965382170703751,103
