band,grid_points,hat_m_mean,thr_hs_abs_mean,points_without_accepted_event,accepted_events_mean,candidates_rejected_by_hat
"(-35.0, -28.0]",104,0.4908522403846154,1.9407115384615385,0,84.04807692307692,195
"(-28.0, -23.0]",123,0.7080491544715447,1.7420487804878049,0,49.26829268292683,2456
"(-23.0, -15.0]",127,1.0892019291338582,1.7283307086614172,13,8.32283464566929,3898
"(-15.0, -8.0]",91,1.3867286483516483,1.6886593406593406,63,0.3076923076923077,1743
"(-8.0, -2.0]",163,1.7715378588957056,1.6992147239263802,91,0.4785276073619632,3035
"(-2.0, 7.0]",195,2.610630682051282,1.2790153846153844,41,1.6666666666666667,4530
