grid_lat,grid_lon,springneap_swing_m,datum_q90_permissive_m,excess_q90_permissive_m,pct_events_above_datum_q90_permissive,datum_q95_MHWS_proxy_m,excess_q95_MHWS_proxy_m,pct_events_above_datum_q95_MHWS_proxy,datum_q99_high_springs_m,excess_q99_high_springs_m,pct_events_above_datum_q99_high_springs,datum_max_HAT_estimate_m,excess_max_HAT_estimate_m,pct_events_above_datum_max_HAT_estimate,latitude_band,abs_lat
-35.0,-54.8,0.30098847299814224,0.24781339168548586,1.0678642057460677,100.0,0.2729856789112091,1.0426919185203445,100.0,0.30742042183876034,1.0082571755927932,100.0,0.340698778629303,0.9749788188022506,100.0,RS,35.0
-35.0,-54.6,0.3354601636528969,0.28592841029167176,1.0560219214011946,100.0,0.31354097127914426,1.0284093604137219,100.0,0.3519737684726714,0.989976563220195,100.0,0.38758009672164917,0.954370234971217,100.0,RS,35.0
-35.0,-54.4,0.36422547698020935,0.31561542153358474,1.0327629013571589,100.0,0.3470272600650787,1.001351062825665,100.0,0.38761180043220517,0.9607665224585386,100.0,0.42457711696624756,0.9238012059244961,100.0,RS,35.0
-35.0,-54.2,0.38768020272254944,0.3389636874198915,1.0048592682905357,100.0,0.3717179596424102,0.9721049960680171,100.0,0.41522707462310793,0.9285958810873195,100.0,0.45700153708457947,0.886821418625848,100.0,RS,35.0
-35.0,-54.0,0.40945547819137573,0.35677606463432315,0.9785835259680049,100.0,0.3899345457553863,0.9454250448469418,100.0,0.4350277352333068,0.9003318553690215,100.0,0.4811762869358063,0.8541833036665217,100.0,RS,35.0
-34.8,-54.4,0.3560515306890011,0.3109937369823456,1.0721578913932877,100.0,0.3403979659080505,1.0427536624675828,100.0,0.3796225547790527,1.0035290735965805,100.0,0.41424933075904846,0.9689022976165848,100.0,RS,34.8
-34.8,-54.2,0.38500498980283737,0.3358013451099396,1.0749343294109786,100.0,0.3684027373790741,1.042332937141844,100.0,0.4098321902751922,1.0009034842457258,100.0,0.45069000124931335,0.9600456732716046,100.0,RS,34.8
-34.8,-54.0,0.4111306890845299,0.3585924088954926,1.0441731911849688,100.0,0.3908030807971954,1.011962519283266,100.0,0.4354991888999939,0.9672664111804675,100.0,0.48047950863838196,0.9222860914420794,100.0,RS,34.8
-34.8,-53.8,0.4278350919485092,0.37471405863761903,1.0060245209576664,100.0,0.4071682751178741,0.9735703044774111,100.0,0.4557218301296233,0.9250167494656619,100.0,0.5025527477264404,0.8781858318688449,100.0,RS,34.8
-34.8,-53.6,0.43983428180217743,0.3806963741779328,0.9817273168616993,100.0,0.4143212616443634,0.9481024293952687,100.0,0.4632328116893768,0.8991908793502552,100.0,0.5130663514137268,0.8493573396259053,100.0,RS,34.8
