municipality_code,municipality_name,state,assigned_lat,assigned_lon,assigned_resolved,distance_assigned_km,assigned_compound_count,assigned_thr_hs,nearest_lat,nearest_lon,distance_nearest_km,assigned_is_nearest,assigned_is_maxcount_30km,n_candidates_30km,assigned_is_maxcount_50km,n_candidates_50km
4317301,Santa Vitória do Palmar,RS,-33.6,-53.0,True,11.073408847914159,298.0,1.63,-33.8,-53.4,5.435531391361635,False,True,14,True,26
4315602,Rio Grande,RS,-32.4,-52.2,True,10.909442528017706,180.0,1.88,-32.2,-52.0,10.10525544636458,False,False,8,False,15
4318507,São José do Norte,RS,-32.0,-51.8,True,8.768802980500903,268.0,1.52,-31.6,-51.2,6.142625587985792,False,True,11,True,19
4321352,Tavares,RS,-31.2,-50.8,True,4.165455780129597,229.0,2.41,-31.2,-50.8,4.165455780129597,True,False,5,False,13
4312500,Mostardas,RS,-31.0,-50.6,True,7.676463354052371,206.0,2.4,-30.6,-50.4,0.24948562868660765,False,False,10,False,19
4313656,Palmares do Sul,RS,-30.4,-50.2,True,8.062759116584372,157.0,2.1,-30.4,-50.2,8.062759116584372,True,False,5,False,11
4305454,Cidreira,RS,-30.2,-50.0,True,19.181619373936133,172.0,2.4,-30.4,-50.2,18.328442339560237,False,False,4,False,11
4321600,Tramandaí,RS,-30.0,-50.0,True,11.754081378588056,129.0,2.1,-30.0,-50.0,11.754081378588056,True,False,2,False,8
4301057,Arroio do Sal,RS,-29.6,-49.8,True,9.704640359084364,172.0,2.14,-29.6,-49.8,9.704640359084364,True,False,4,False,10
4321501,Torres,RS,-29.4,-49.6,True,11.640336750249485,198.0,2.348,-29.4,-49.6,11.640336750249485,True,False,3,False,10
4202073,Balneário Gaivota,SC,-29.2,-49.4,True,16.041608714531836,221.0,2.47,-29.0,-49.4,15.574908528103268,False,False,4,False,10
4201950,Balneário Arroio do Silva,SC,-29.0,-49.4,True,1.689662466765886,202.0,2.12,-29.0,-49.4,1.689662466765886,True,False,3,False,10
4201406,Araranguá,SC,-29.0,-49.2,True,15.446815573194208,249.0,2.48,-29.0,-49.4,5.334787772942189,False,False,4,False,11
4208807,Jaguaruna,SC,-28.8,-49.0,True,10.472516732060162,261.0,2.468,-28.6,-48.8,5.933867748879642,False,False,6,False,16
4209409,Laguna,SC,-28.6,-48.8,True,1.1914366521386788,278.0,2.45,-28.6,-48.8,1.1914366521386788,True,True,7,True,15
4207304,Imbituba,SC,-28.2,-48.6,True,5.601691937576054,203.0,2.14,-28.4,-48.6,5.276214124595375,False,False,6,False,12
4205704,Garopaba,SC,-28.0,-48.4,True,19.737139301419486,243.0,2.46,-28.2,-48.6,10.212076795888692,False,False,4,False,10
4211900,Palhoça,SC,-27.8,-48.4,True,17.672933848539284,227.0,2.23,-27.8,-48.4,17.672933848539284,True,False,3,False,11
