longitude,latitude,compound_event_count_total,compound_event_rate_per_year
-29.2,-20.6,49,1.4848484848484849
-29.0,-20.6,46,1.393939393939394
-28.8,-20.6,48,1.4545454545454546
-28.6,-20.6,46,1.393939393939394
-40.2,-20.4,114,3.4545454545454546
-40.0,-20.4,102,3.090909090909091
-39.8,-20.4,80,2.4242424242424243
-29.6,-20.4,53,1.606060606060606
-29.4,-20.4,52,1.5757575757575757
-29.2,-20.4,47,1.4242424242424243
-29.0,-20.4,46,1.393939393939394
-28.8,-20.4,49,1.4848484848484849
-28.6,-20.4,46,1.393939393939394
-40.0,-20.2,105,3.1818181818181817
-39.8,-20.2,88,2.6666666666666665
-29.6,-20.2,51,1.5454545454545454
-29.4,-20.2,52,1.5757575757575757
-29.2,-20.2,47,1.4242424242424243
-29.0,-20.2,48,1.4545454545454546
-28.8,-20.2,46,1.393939393939394
-28.6,-20.2,46,1.393939393939394
-40.0,-20.0,112,3.393939393939394
-39.8,-20.0,100,3.0303030303030303
-39.6,-20.0,73,2.212121212121212
-40.0,-19.8,125,3.787878787878788
-39.8,-19.8,118,3.5757575757575757
-39.6,-19.8,97,2.9393939393939394
-39.4,-19.8,77,2.3333333333333335
-39.6,-19.6,108,3.272727272727273
-39.4,-19.6,90,2.727272727272727
-39.6,-19.4,106,3.212121212121212
-39.4,-19.4,89,2.696969696969697
-39.6,-19.2,94,2.8484848484848486
-39.4,-19.2,92,2.787878787878788
-39.6,-19.0,90,2.727272727272727
-39.4,-19.0,93,2.8181818181818183
-39.6,-18.8,94,2.8484848484848486
-39.4,-18.8,89,2.696969696969697
-39.6,-18.6,98,2.9696969696969697
-39.4,-18.6,92,2.787878787878788
-39.6,-18.4,98,2.9696969696969697
-39.4,-18.4,98,2.9696969696969697
-39.4,-18.2,104,3.1515151515151514
-39.2,-18.2,97,2.9393939393939394
-39.0,-18.2,91,2.757575757575758
-39.4,-18.0,108,3.272727272727273
-39.2,-18.0,106,3.212121212121212
-39.0,-18.0,103,3.121212121212121
-38.8,-18.0,99,3.0
-39.0,-17.8,104,3.1515151515151514
-38.8,-17.8,87,2.6363636363636362
-39.0,-17.6,92,2.787878787878788
-38.8,-17.6,72,2.1818181818181817
-39.0,-17.4,74,2.242424242424242
-38.8,-17.4,66,2.0
-39.0,-17.2,76,2.303030303030303
-38.8,-17.2,69,2.090909090909091
-39.0,-17.0,76,2.303030303030303
-38.8,-17.0,69,2.090909090909091
-39.0,-16.8,76,2.303030303030303
-38.8,-16.8,70,2.121212121212121
-39.0,-16.6,82,2.484848484848485
-38.8,-16.6,72,2.1818181818181817
-38.8,-16.4,77,2.3333333333333335
-38.6,-16.4,67,2.0303030303030303
-38.8,-16.2,80,2.4242424242424243
-38.6,-16.2,73,2.212121212121212
-38.8,-16.0,83,2.515151515151515
-38.6,-16.0,71,2.1515151515151514
-38.8,-15.8,73,2.212121212121212
-38.6,-15.8,61,1.8484848484848484
-38.4,-15.8,53,1.606060606060606
-38.8,-15.6,67,2.0303030303030303
-38.6,-15.6,57,1.7272727272727273
-38.8,-15.4,62,1.878787878787879
-38.6,-15.4,54,1.6363636363636365
-38.8,-15.2,60,1.8181818181818181
-38.6,-15.2,53,1.606060606060606
-38.8,-15.0,61,1.8484848484848484
-38.6,-15.0,53,1.606060606060606
-38.8,-14.8,60,1.8181818181818181
-38.6,-14.8,53,1.606060606060606
-38.8,-14.6,58,1.7575757575757576
-38.6,-14.6,53,1.606060606060606
-38.8,-14.4,58,1.7575757575757576
-38.6,-14.4,50,1.5151515151515151
-38.8,-14.2,60,1.8181818181818181
-38.6,-14.2,48,1.4545454545454546
-38.8,-14.0,65,1.9696969696969697
-38.6,-14.0,55,1.6666666666666667
-38.8,-13.8,63,1.9090909090909092
-38.6,-13.8,59,1.7878787878787878
-38.8,-13.6,64,1.9393939393939394
-38.6,-13.6,60,1.8181818181818181
-38.8,-13.4,66,2.0
-38.6,-13.4,64,1.9393939393939394
-38.4,-13.4,57,1.7272727272727273
-38.6,-13.2,67,2.0303030303030303
-38.4,-13.2,62,1.878787878787879
-38.2,-13.2,55,1.6666666666666667
-38.0,-13.2,49,1.4848484848484849
-38.4,-13.0,66,2.0
-38.2,-13.0,63,1.9090909090909092
-38.0,-13.0,56,1.696969696969697
-37.8,-13.0,48,1.4545454545454546
-38.0,-12.8,61,1.8484848484848484
-37.8,-12.8,53,1.606060606060606
-37.8,-12.6,60,1.8181818181818181
-37.6,-12.6,54,1.6363636363636365
-37.8,-12.4,63,1.9090909090909092
-37.6,-12.4,58,1.7575757575757576
-37.4,-12.4,52,1.5757575757575757
-37.6,-12.2,61,1.8484848484848484
-37.4,-12.2,54,1.6363636363636365
-37.4,-12.0,59,1.7878787878787878
-37.2,-12.0,51,1.5454545454545454
-37.4,-11.8,58,1.7575757575757576
-37.2,-11.8,55,1.6666666666666667
-37.4,-11.6,64,1.9393939393939394
-37.2,-11.6,56,1.696969696969697
-37.0,-11.6,50,1.5151515151515151
-37.2,-11.4,58,1.7575757575757576
-37.0,-11.4,54,1.6363636363636365
-36.8,-11.4,46,1.393939393939394
-37.0,-11.2,54,1.6363636363636365
-36.8,-11.2,49,1.4848484848484849
-37.0,-11.0,53,1.606060606060606
-36.8,-11.0,53,1.606060606060606
-36.6,-11.0,47,1.4242424242424243
-36.8,-10.8,56,1.696969696969697
-36.6,-10.8,51,1.5454545454545454
-36.4,-10.8,46,1.393939393939394
-36.2,-10.8,43,1.303030303030303
-36.6,-10.6,52,1.5757575757575757
-36.4,-10.6,52,1.5757575757575757
-36.2,-10.6,51,1.5454545454545454
-36.0,-10.6,47,1.4242424242424243
-36.2,-10.4,53,1.606060606060606
-36.0,-10.4,50,1.5151515151515151
-35.8,-10.4,47,1.4242424242424243
-36.0,-10.2,56,1.696969696969697
-35.8,-10.2,51,1.5454545454545454
-35.6,-10.2,47,1.4242424242424243
-35.8,-10.0,55,1.6666666666666667
-35.6,-10.0,49,1.4848484848484849
-35.4,-10.0,46,1.393939393939394
-35.8,-9.8,54,1.6363636363636365
-35.6,-9.8,51,1.5454545454545454
-35.4,-9.8,48,1.4545454545454546
-35.6,-9.6,51,1.5454545454545454
-35.4,-9.6,49,1.4848484848484849
-35.2,-9.6,48,1.4545454545454546
-35.4,-9.4,51,1.5454545454545454
-35.2,-9.4,49,1.4848484848484849
-35.0,-9.4,47,1.4242424242424243
-35.2,-9.2,54,1.6363636363636365
-35.0,-9.2,51,1.5454545454545454
-34.8,-9.2,49,1.4848484848484849
-35.0,-9.0,53,1.606060606060606
-34.8,-9.0,53,1.606060606060606
-35.0,-8.8,55,1.6666666666666667
-34.8,-8.8,54,1.6363636363636365
-34.8,-8.6,55,1.6666666666666667
-34.6,-8.6,52,1.5757575757575757
-34.8,-8.4,61,1.8484848484848484
-34.6,-8.4,54,1.6363636363636365
-34.8,-8.2,62,1.878787878787879
-34.6,-8.2,61,1.8484848484848484
-34.8,-8.0,65,1.9696969696969697
-34.6,-8.0,64,1.9393939393939394
-34.4,-8.0,61,1.8484848484848484
-34.8,-7.8,69,2.090909090909091
-34.6,-7.8,66,2.0
-34.4,-7.8,63,1.9090909090909092
-34.8,-7.6,63,1.9090909090909092
-34.6,-7.6,66,2.0
-34.4,-7.6,64,1.9393939393939394
-34.6,-7.4,64,1.9393939393939394
-34.4,-7.4,67,2.0303030303030303
-34.6,-7.2,63,1.9090909090909092
-34.4,-7.2,62,1.878787878787879
-34.8,-7.0,67,2.0303030303030303
-34.6,-7.0,60,1.8181818181818181
-34.4,-7.0,63,1.9090909090909092
-34.8,-6.8,61,1.8484848484848484
-34.6,-6.8,61,1.8484848484848484
-34.8,-6.6,60,1.8181818181818181
-34.6,-6.6,59,1.7878787878787878
-34.8,-6.4,57,1.7272727272727273
-34.6,-6.4,58,1.7575757575757576
-35.0,-6.2,66,2.0
-34.8,-6.2,59,1.7878787878787878
-34.6,-6.2,65,1.9696969696969697
-35.0,-6.0,66,2.0
-34.8,-6.0,67,2.0303030303030303
-35.0,-5.8,72,2.1818181818181817
-34.8,-5.8,64,1.9393939393939394
-35.0,-5.6,69,2.090909090909091
-34.8,-5.6,61,1.8484848484848484
-35.2,-5.4,71,2.1515151515151514
-35.0,-5.4,69,2.090909090909091
-34.8,-5.4,60,1.8181818181818181
-35.4,-5.2,69,2.090909090909091
-35.2,-5.2,70,2.121212121212121
-35.0,-5.2,73,2.212121212121212
-36.6,-5.0,66,2.0
-36.2,-5.0,74,2.242424242424242
-35.6,-5.0,76,2.303030303030303
-35.4,-5.0,71,2.1515151515151514
-35.2,-5.0,66,2.0
-35.0,-5.0,65,1.9696969696969697
-37.2,-4.8,88,2.6666666666666665
-37.0,-4.8,82,2.484848484848485
-36.8,-4.8,81,2.4545454545454546
-36.6,-4.8,79,2.393939393939394
-36.4,-4.8,72,2.1818181818181817
-36.2,-4.8,74,2.242424242424242
-36.0,-4.8,72,2.1818181818181817
-35.8,-4.8,74,2.242424242424242
-35.6,-4.8,65,1.9696969696969697
-35.4,-4.8,62,1.878787878787879
-37.4,-4.6,89,2.696969696969697
-37.2,-4.6,83,2.515151515151515
-37.0,-4.6,80,2.4242424242424243
-36.8,-4.6,75,2.272727272727273
-36.6,-4.6,75,2.272727272727273
-36.0,-4.6,72,2.1818181818181817
-37.6,-4.4,83,2.515151515151515
-37.4,-4.4,86,2.606060606060606
-37.2,-4.4,83,2.515151515151515
-37.0,-4.4,78,2.3636363636363638
-37.8,-4.2,85,2.5757575757575757
-37.6,-4.2,83,2.515151515151515
-37.4,-4.2,82,2.484848484848485
-32.6,-4.2,61,1.8484848484848484
-32.4,-4.2,59,1.7878787878787878
-32.2,-4.2,62,1.878787878787879
-38.0,-4.0,83,2.515151515151515
-37.8,-4.0,84,2.5454545454545454
-37.6,-4.0,83,2.515151515151515
-32.8,-4.0,60,1.8181818181818181
-32.6,-4.0,60,1.8181818181818181
-32.4,-4.0,60,1.8181818181818181
-32.2,-4.0,62,1.878787878787879
-32.0,-4.0,64,1.9393939393939394
-38.2,-3.8,88,2.6666666666666665
-38.0,-3.8,89,2.696969696969697
-32.8,-3.8,61,1.8484848484848484
-32.6,-3.8,60,1.8181818181818181
-32.4,-3.8,64,1.9393939393939394
-32.2,-3.8,65,1.9696969696969697
-32.0,-3.8,64,1.9393939393939394
-38.6,-3.6,85,2.5757575757575757
-38.4,-3.6,88,2.6666666666666665
-38.2,-3.6,84,2.5454545454545454
-38.0,-3.6,88,2.6666666666666665
-32.8,-3.6,63,1.9090909090909092
-32.6,-3.6,58,1.7575757575757576
-32.4,-3.6,62,1.878787878787879
-32.2,-3.6,63,1.9090909090909092
-32.0,-3.6,59,1.7878787878787878
-38.8,-3.4,88,2.6666666666666665
-38.6,-3.4,85,2.5757575757575757
-38.4,-3.4,87,2.6363636363636362
-38.2,-3.4,85,2.5757575757575757
-32.4,-3.4,58,1.7575757575757576
-39.2,-3.2,94,2.8484848484848486
-39.0,-3.2,84,2.5454545454545454
-38.8,-3.2,86,2.606060606060606
-38.6,-3.2,85,2.5757575757575757
-39.4,-3.0,97,2.9393939393939394
-39.2,-3.0,86,2.606060606060606
-39.0,-3.0,86,2.606060606060606
-38.8,-3.0,85,2.5757575757575757
-41.6,-2.8,94,2.8484848484848486
-41.4,-2.8,87,2.6363636363636362
-41.2,-2.8,85,2.5757575757575757
-41.0,-2.8,84,2.5454545454545454
-40.8,-2.8,86,2.606060606060606
-40.6,-2.8,87,2.6363636363636362
-40.4,-2.8,87,2.6363636363636362
-40.2,-2.8,88,2.6666666666666665
-40.0,-2.8,81,2.4545454545454546
-39.8,-2.8,86,2.606060606060606
-39.6,-2.8,93,2.8181818181818183
-39.4,-2.8,93,2.8181818181818183
-39.2,-2.8,93,2.8181818181818183
-42.4,-2.6,97,2.9393939393939394
-42.2,-2.6,97,2.9393939393939394
-42.0,-2.6,96,2.909090909090909
-41.8,-2.6,96,2.909090909090909
-41.6,-2.6,96,2.909090909090909
-41.4,-2.6,88,2.6666666666666665
-41.2,-2.6,83,2.515151515151515
-41.0,-2.6,84,2.5454545454545454
-40.8,-2.6,83,2.515151515151515
-40.6,-2.6,78,2.3636363636363638
-40.4,-2.6,79,2.393939393939394
-40.2,-2.6,82,2.484848484848485
-40.0,-2.6,85,2.5757575757575757
-39.8,-2.6,88,2.6666666666666665
-39.6,-2.6,92,2.787878787878788
-44.2,-2.4,93,2.8181818181818183
-44.0,-2.4,95,2.878787878787879
-43.0,-2.4,88,2.6666666666666665
-42.8,-2.4,88,2.6666666666666665
-42.6,-2.4,91,2.757575757575758
-42.4,-2.4,92,2.787878787878788
-42.2,-2.4,91,2.757575757575758
-42.0,-2.4,90,2.727272727272727
-41.8,-2.4,94,2.8484848484848486
-41.6,-2.4,87,2.6363636363636362
-40.8,-2.4,76,2.303030303030303
-40.6,-2.4,76,2.303030303030303
-40.4,-2.4,78,2.3636363636363638
-40.2,-2.4,80,2.4242424242424243
-40.0,-2.4,88,2.6666666666666665
-44.2,-2.2,87,2.6363636363636362
-44.0,-2.2,93,2.8181818181818183
-43.8,-2.2,95,2.878787878787879
-43.6,-2.2,100,3.0303030303030303
-43.4,-2.2,95,2.878787878787879
-43.2,-2.2,93,2.8181818181818183
-43.0,-2.2,86,2.606060606060606
-42.8,-2.2,93,2.8181818181818183
-42.6,-2.2,93,2.8181818181818183
-44.4,-2.0,91,2.757575757575758
-44.2,-2.0,86,2.606060606060606
-44.0,-2.0,94,2.8484848484848486
-43.8,-2.0,94,2.8484848484848486
-43.6,-2.0,91,2.757575757575758
-43.4,-2.0,92,2.787878787878788
-43.2,-2.0,87,2.6363636363636362
-43.0,-2.0,89,2.696969696969697
-44.4,-1.8,96,2.909090909090909
-44.2,-1.8,90,2.727272727272727
-44.6,-1.6,102,3.090909090909091
-44.4,-1.6,103,3.121212121212121
-44.2,-1.6,96,2.909090909090909
-48.6,-1.4,100,3.0303030303030303
-45.2,-1.4,95,2.878787878787879
-45.0,-1.4,93,2.8181818181818183
-44.8,-1.4,104,3.1515151515151514
-44.6,-1.4,102,3.090909090909091
-44.4,-1.4,104,3.1515151515151514
-48.6,-1.2,85,2.5757575757575757
-45.6,-1.2,87,2.6363636363636362
-45.4,-1.2,95,2.878787878787879
-45.2,-1.2,91,2.757575757575758
-45.0,-1.2,91,2.757575757575758
-44.8,-1.2,93,2.8181818181818183
-44.6,-1.2,98,2.9696969696969697
-48.4,-1.0,89,2.696969696969697
-46.0,-1.0,98,2.9696969696969697
-45.8,-1.0,100,3.0303030303030303
-45.6,-1.0,97,2.9393939393939394
-45.4,-1.0,92,2.787878787878788
-45.2,-1.0,91,2.757575757575758
-45.0,-1.0,94,2.8484848484848486
-44.8,-1.0,100,3.0303030303030303
-44.6,-1.0,94,2.8484848484848486
-48.4,-0.8,86,2.606060606060606
-48.2,-0.8,84,2.5454545454545454
-46.6,-0.8,104,3.1515151515151514
-46.4,-0.8,95,2.878787878787879
-46.2,-0.8,98,2.9696969696969697
-46.0,-0.8,96,2.909090909090909
-45.8,-0.8,95,2.878787878787879
-45.6,-0.8,96,2.909090909090909
-45.4,-0.8,90,2.727272727272727
-48.4,-0.6,90,2.727272727272727
-48.2,-0.6,86,2.606060606060606
-48.0,-0.6,89,2.696969696969697
-47.2,-0.6,92,2.787878787878788
-47.0,-0.6,88,2.6666666666666665
-46.8,-0.6,89,2.696969696969697
-46.6,-0.6,103,3.121212121212121
-46.4,-0.6,94,2.8484848484848486
-46.2,-0.6,102,3.090909090909091
-46.0,-0.6,104,3.1515151515151514
-48.2,-0.4,102,3.090909090909091
-48.0,-0.4,99,3.0
-47.8,-0.4,99,3.0
-47.6,-0.4,87,2.6363636363636362
-47.4,-0.4,84,2.5454545454545454
-47.2,-0.4,80,2.4242424242424243
-47.0,-0.4,85,2.5757575757575757
-46.8,-0.4,95,2.878787878787879
-46.6,-0.4,97,2.9393939393939394
-49.6,-0.2,106,3.212121212121212
-48.4,-0.2,99,3.0
-48.2,-0.2,107,3.242424242424242
-48.0,-0.2,89,2.696969696969697
-47.8,-0.2,90,2.727272727272727
-47.6,-0.2,86,2.606060606060606
-47.4,-0.2,83,2.515151515151515
-47.2,-0.2,82,2.484848484848485
-50.4,-0.0,127,3.8484848484848486
-50.2,-0.0,114,3.4545454545454546
-50.0,-0.0,100,3.0303030303030303
-49.2,-0.0,111,3.3636363636363638
-49.0,-0.0,114,3.4545454545454546
-48.8,-0.0,109,3.303030303030303
-48.6,-0.0,109,3.303030303030303
-48.4,-0.0,107,3.242424242424242
-48.2,-0.0,96,2.909090909090909
-50.6,0.2,101,3.0606060606060606
