longitude,latitude,compound_event_count_total,compound_event_rate_per_year
-54.8,-35.0,322,9.757575757575758
-54.6,-35.0,294,8.909090909090908
-54.4,-35.0,291,8.818181818181818
-54.2,-35.0,276,8.363636363636363
-54.0,-35.0,252,7.636363636363637
-54.4,-34.8,302,9.151515151515152
-54.2,-34.8,288,8.727272727272727
-54.0,-34.8,270,8.181818181818182
-53.8,-34.8,247,7.484848484848484
-53.6,-34.8,235,7.121212121212121
-54.0,-34.6,270,8.181818181818182
-53.8,-34.6,259,7.848484848484849
-53.6,-34.6,258,7.818181818181818
-53.4,-34.6,240,7.2727272727272725
-53.8,-34.4,287,8.696969696969697
-53.6,-34.4,253,7.666666666666667
-53.4,-34.4,249,7.545454545454546
-53.6,-34.2,237,7.181818181818182
-53.4,-34.2,251,7.606060606060606
-53.2,-34.2,244,7.393939393939394
-53.4,-34.0,238,7.212121212121212
-53.2,-34.0,252,7.636363636363637
-53.0,-34.0,247,7.484848484848484
-53.4,-33.8,241,7.303030303030303
-53.2,-33.8,252,7.636363636363637
-53.0,-33.8,263,7.96969696969697
-52.8,-33.8,264,8.0
-53.0,-33.6,266,8.06060606060606
-52.8,-33.6,258,7.818181818181818
-52.6,-33.6,260,7.878787878787879
-52.8,-33.4,258,7.818181818181818
-52.6,-33.4,258,7.818181818181818
-52.4,-33.4,252,7.636363636363637
-52.6,-33.2,235,7.121212121212121
-52.4,-33.2,240,7.2727272727272725
-52.2,-33.2,235,7.121212121212121
-52.4,-33.0,202,6.121212121212121
-52.2,-33.0,216,6.545454545454546
-52.4,-32.8,186,5.636363636363637
-52.2,-32.8,195,5.909090909090909
-52.0,-32.8,218,6.606060606060606
-52.2,-32.6,171,5.181818181818182
-52.0,-32.6,199,6.03030303030303
-52.2,-32.4,169,5.121212121212121
-52.0,-32.4,201,6.090909090909091
-51.8,-32.4,226,6.848484848484849
-52.0,-32.2,226,6.848484848484849
-51.8,-32.2,234,7.090909090909091
-51.6,-32.2,242,7.333333333333333
-51.8,-32.0,241,7.303030303030303
-51.6,-32.0,229,6.9393939393939394
-51.4,-32.0,235,7.121212121212121
-51.2,-32.0,233,7.0606060606060606
-51.4,-31.8,238,7.212121212121212
-51.2,-31.8,234,7.090909090909091
-51.0,-31.8,221,6.696969696969697
-51.2,-31.6,228,6.909090909090909
-51.0,-31.6,227,6.878787878787879
-50.8,-31.6,220,6.666666666666667
-50.8,-31.4,201,6.090909090909091
-50.6,-31.4,210,6.363636363636363
-50.8,-31.2,211,6.393939393939394
-50.6,-31.2,222,6.7272727272727275
-50.4,-31.2,209,6.333333333333333
-50.6,-31.0,195,5.909090909090909
-50.4,-31.0,222,6.7272727272727275
-50.2,-31.0,205,6.212121212121212
-50.4,-30.8,207,6.2727272727272725
-50.2,-30.8,222,6.7272727272727275
-50.4,-30.6,122,3.696969696969697
-50.2,-30.6,198,6.0
-50.0,-30.6,216,6.545454545454546
-50.2,-30.4,152,4.606060606060606
-50.0,-30.4,210,6.363636363636363
-49.8,-30.4,214,6.484848484848484
-50.0,-30.2,165,5.0
-49.8,-30.2,208,6.303030303030303
-50.0,-30.0,131,3.9696969696969697
-49.8,-30.0,200,6.0606060606060606
-49.8,-29.8,195,5.909090909090909
-49.6,-29.8,226,6.848484848484849
-49.8,-29.6,168,5.090909090909091
-49.6,-29.6,215,6.515151515151516
-49.4,-29.6,233,7.0606060606060606
-49.6,-29.4,192,5.818181818181818
-49.4,-29.4,231,7.0
-49.2,-29.4,242,7.333333333333333
-49.4,-29.2,227,6.878787878787879
-49.2,-29.2,248,7.515151515151516
-49.0,-29.2,243,7.363636363636363
-49.4,-29.0,203,6.151515151515151
-49.2,-29.0,254,7.696969696969697
-49.0,-29.0,251,7.606060606060606
-48.8,-29.0,242,7.333333333333333
-48.6,-29.0,217,6.575757575757576
-49.0,-28.8,268,8.121212121212121
-48.8,-28.8,258,7.818181818181818
-48.6,-28.8,243,7.363636363636363
-48.4,-28.8,206,6.242424242424242
-48.8,-28.6,277,8.393939393939394
-48.6,-28.6,255,7.7272727272727275
-48.4,-28.6,221,6.696969696969697
-48.6,-28.4,248,7.515151515151516
-48.4,-28.4,241,7.303030303030303
-48.6,-28.2,211,6.393939393939394
-48.4,-28.2,245,7.424242424242424
-48.2,-28.2,220,6.666666666666667
-48.4,-28.0,243,7.363636363636363
-48.2,-28.0,229,6.9393939393939394
-48.4,-27.8,220,6.666666666666667
-48.2,-27.8,231,7.0
-48.4,-27.6,194,5.878787878787879
-48.2,-27.6,220,6.666666666666667
-48.0,-27.6,206,6.242424242424242
-48.4,-27.4,163,4.9393939393939394
-48.2,-27.4,197,5.96969696969697
-48.0,-27.4,210,6.363636363636363
-48.4,-27.2,149,4.515151515151516
-48.2,-27.2,181,5.484848484848484
-48.0,-27.2,201,6.090909090909091
-48.4,-27.0,122,3.696969696969697
-48.2,-27.0,172,5.212121212121212
-48.4,-26.8,148,4.484848484848484
-48.2,-26.8,182,5.515151515151516
-48.6,-26.6,140,4.242424242424242
-48.4,-26.6,161,4.878787878787879
-48.2,-26.6,176,5.333333333333333
-48.4,-26.4,166,5.03030303030303
-48.2,-26.4,178,5.393939393939394
-48.4,-26.2,160,4.848484848484849
-48.2,-26.2,185,5.606060606060606
-48.4,-26.0,152,4.606060606060606
-48.2,-26.0,177,5.363636363636363
-48.2,-25.8,187,5.666666666666667
-48.0,-25.8,199,6.03030303030303
-48.4,-25.6,186,5.636363636363637
-48.2,-25.6,194,5.878787878787879
-48.0,-25.6,196,5.9393939393939394
-47.8,-25.6,203,6.151515151515151
-48.0,-25.4,204,6.181818181818182
-47.8,-25.4,203,6.151515151515151
-47.6,-25.4,204,6.181818181818182
-47.8,-25.2,204,6.181818181818182
-47.6,-25.2,205,6.212121212121212
-47.8,-25.0,197,5.96969696969697
-47.6,-25.0,212,6.424242424242424
-47.4,-25.0,217,6.575757575757576
-47.2,-25.0,206,6.242424242424242
-47.4,-24.8,224,6.787878787878788
-47.2,-24.8,219,6.636363636363637
-47.0,-24.8,211,6.393939393939394
-46.8,-24.8,208,6.303030303030303
-47.2,-24.6,234,7.090909090909091
-47.0,-24.6,232,7.03030303030303
-46.8,-24.6,219,6.636363636363637
-46.6,-24.6,217,6.575757575757576
-46.8,-24.4,237,7.181818181818182
-46.6,-24.4,239,7.242424242424242
-46.4,-24.4,232,7.03030303030303
-46.2,-24.4,233,7.0606060606060606
-46.0,-24.4,223,6.757575757575758
-45.2,-24.4,163,4.9393939393939394
-46.6,-24.2,248,7.515151515151516
-46.4,-24.2,249,7.545454545454546
-46.2,-24.2,245,7.424242424242424
-46.0,-24.2,239,7.242424242424242
-45.8,-24.2,243,7.363636363636363
-45.6,-24.2,232,7.03030303030303
-45.4,-24.2,224,6.787878787878788
-45.2,-24.2,197,5.96969696969697
-45.0,-24.2,166,5.03030303030303
-46.4,-24.0,285,8.636363636363637
-46.2,-24.0,273,8.272727272727273
-46.0,-24.0,264,8.0
-45.8,-24.0,271,8.212121212121213
-45.6,-24.0,254,7.696969696969697
-45.4,-24.0,244,7.393939393939394
-45.2,-24.0,230,6.96969696969697
-45.0,-24.0,206,6.242424242424242
-44.8,-24.0,177,5.363636363636363
-45.8,-23.8,298,9.030303030303031
-45.6,-23.8,300,9.090909090909092
-45.4,-23.8,289,8.757575757575758
-45.2,-23.8,225,6.818181818181818
-45.0,-23.8,217,6.575757575757576
-44.8,-23.8,216,6.545454545454546
-44.6,-23.8,200,6.0606060606060606
-45.2,-23.6,181,5.484848484848484
-45.0,-23.6,218,6.606060606060606
-44.8,-23.6,221,6.696969696969697
-44.6,-23.6,218,6.606060606060606
-44.4,-23.6,214,6.484848484848484
-44.2,-23.6,197,5.96969696969697
-44.0,-23.6,181,5.484848484848484
-44.4,-23.4,232,7.03030303030303
-44.2,-23.4,227,6.878787878787879
-44.0,-23.4,215,6.515151515151516
-43.8,-23.4,207,6.2727272727272725
-43.6,-23.4,196,5.9393939393939394
-43.4,-23.4,187,5.666666666666667
-43.2,-23.4,177,5.363636363636363
-43.0,-23.4,166,5.03030303030303
-42.8,-23.4,146,4.424242424242424
-42.6,-23.4,134,4.0606060606060606
-42.2,-23.4,127,3.8484848484848486
-42.0,-23.4,130,3.9393939393939394
-44.4,-23.2,243,7.363636363636363
-44.2,-23.2,245,7.424242424242424
-44.0,-23.2,238,7.212121212121212
-43.8,-23.2,228,6.909090909090909
-43.6,-23.2,227,6.878787878787879
-43.4,-23.2,218,6.606060606060606
-43.2,-23.2,213,6.454545454545454
-43.0,-23.2,203,6.151515151515151
-42.8,-23.2,190,5.757575757575758
-42.6,-23.2,179,5.424242424242424
-42.4,-23.2,166,5.03030303030303
-42.2,-23.2,160,4.848484848484849
-42.0,-23.2,158,4.787878787878788
-41.8,-23.2,154,4.666666666666667
-44.4,-23.0,269,8.151515151515152
-44.0,-23.0,244,7.393939393939394
-43.4,-23.0,245,7.424242424242424
-43.2,-23.0,236,7.151515151515151
-43.0,-23.0,229,6.9393939393939394
-42.8,-23.0,230,6.96969696969697
-42.6,-23.0,227,6.878787878787879
-42.4,-23.0,218,6.606060606060606
-42.2,-23.0,217,6.575757575757576
-42.0,-23.0,201,6.090909090909091
-41.8,-23.0,183,5.545454545454546
-41.6,-23.0,172,5.212121212121212
-41.8,-22.8,163,4.9393939393939394
-41.6,-22.8,174,5.2727272727272725
-41.8,-22.6,125,3.787878787878788
-41.6,-22.6,170,5.151515151515151
-41.4,-22.6,177,5.363636363636363
-41.6,-22.4,167,5.0606060606060606
-41.4,-22.4,175,5.303030303030303
-41.2,-22.4,175,5.303030303030303
-41.0,-22.4,159,4.818181818181818
-40.8,-22.4,134,4.0606060606060606
-41.4,-22.2,179,5.424242424242424
-41.2,-22.2,177,5.363636363636363
-41.0,-22.2,174,5.2727272727272725
-40.8,-22.2,159,4.818181818181818
-40.6,-22.2,139,4.212121212121212
-40.8,-22.0,163,4.9393939393939394
-40.6,-22.0,151,4.575757575757576
-40.8,-21.8,137,4.151515151515151
-40.6,-21.8,135,4.090909090909091
-40.8,-21.6,110,3.3333333333333335
-40.6,-21.6,116,3.515151515151515
-40.8,-21.4,104,3.1515151515151514
-40.6,-21.4,113,3.4242424242424243
-40.8,-21.2,100,3.0303030303030303
-40.6,-21.2,116,3.515151515151515
-40.4,-21.2,100,3.0303030303030303
-40.8,-21.0,112,3.393939393939394
-40.6,-21.0,121,3.6666666666666665
-40.4,-21.0,110,3.3333333333333335
-40.2,-21.0,86,2.606060606060606
-29.4,-21.0,55,1.6666666666666667
-29.2,-21.0,54,1.6363636363636365
-40.4,-20.8,112,3.393939393939394
-40.2,-20.8,99,3.0
-40.0,-20.8,82,2.484848484848485
-29.6,-20.8,57,1.7272727272727273
-29.4,-20.8,55,1.6666666666666667
-29.2,-20.8,51,1.5454545454545454
-29.0,-20.8,50,1.5151515151515151
-28.8,-20.8,51,1.5454545454545454
-28.6,-20.8,46,1.393939393939394
-40.4,-20.6,118,3.5757575757575757
-40.2,-20.6,109,3.303030303030303
-40.0,-20.6,88,2.6666666666666665
-29.8,-20.6,55,1.6666666666666667
-29.6,-20.6,56,1.696969696969697
-29.4,-20.6,53,1.606060606060606
