grid_lat,grid_lon,municipality,hs_valid_frac,ssh_valid_frac,dist_to_coast_km,thr_hs_pct,thr_hs_abs,thr_ssh_total_pct,thr_ssh_total_abs,n_hs_storms,n_ssh_total_storms,skip_reason_hs,skip_reason_ssh
-29.399999618530273,-49.600006103515625,Passo de Torres,1.0,1.0,13.96,0.9,2.348,0.9,0.526944,525,570,,
-29.399999618530273,-49.399993896484375,,1.0,1.0,31.93,0.9,2.66,0.9,0.490445,557,549,,
-29.399999618530273,-49.20001220703125,,1.0,1.0,45.98,0.9,2.86,0.9,0.463402,562,547,,
-29.200000762939453,-49.399993896484375,Balneário Gaivota,1.0,1.0,17.0,0.9,2.47,0.9,0.51803,540,565,,
-29.200000762939453,-49.20001220703125,,1.0,1.0,33.74,0.9,2.7,0.9,0.48393,558,546,,
-29.200000762939453,-49.0,,1.0,1.0,45.57,0.9,2.9,0.9,0.459714,562,542,,
-29.0,-49.399993896484375,Balneário Arroio do Silva,1.0,1.0,10.18,0.9,2.12,0.9,0.54999,507,590,,
-29.0,-49.20001220703125,Içara/Balneário Rincão,1.0,1.0,16.4,0.9,2.48,0.9,0.508942,546,558,,
-29.0,-49.0,,1.0,1.0,31.74,0.9,2.72,0.9,0.477205,546,546,,
-29.0,-48.79998779296875,,1.0,1.0,40.0,0.9,2.92,0.9,0.458207,555,547,,
-29.0,-48.600006103515625,,1.0,1.0,48.14,0.9,3.06,0.9,0.447448,561,509,,
-28.799999237060547,-49.0,,1.0,1.0,10.64,0.9,2.468,0.9,0.51014,529,555,,
-28.799999237060547,-48.79998779296875,,1.0,1.0,20.69,0.9,2.74,0.9,0.477725,551,555,,
-28.799999237060547,-48.600006103515625,,1.0,1.0,29.84,0.9,2.96,0.9,0.459467,557,548,,
-28.799999237060547,-48.399993896484375,,1.0,1.0,45.75,0.9,3.08,0.9,0.449542,555,503,,
-28.600000381469727,-48.79998779296875,Laguna,1.0,1.0,0.7,0.9,2.45,0.9,0.516036,532,561,,
-28.600000381469727,-48.600006103515625,,1.0,1.0,17.28,0.9,2.71,0.9,0.480004,555,555,,
