grid_lat,grid_lon,municipality,event_id,date_start,date_end,duration_days,peak_value,peak_date,integrated_intensity
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19930409,1993-04-09,1993-04-10,2,0.5947,1993-04-10,0.0978
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19930422,1993-04-22,1993-04-22,1,0.5278,1993-04-22,0.0008
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19930506,1993-05-06,1993-05-06,1,0.6266,1993-05-06,0.0997
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19930527,1993-05-27,1993-05-28,2,0.6935,1993-05-28,0.2571
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19930601,1993-06-01,1993-06-02,2,0.718,1993-06-02,0.3043
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19930610,1993-06-10,1993-06-10,1,0.7858,1993-06-10,0.2589
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19930630,1993-06-30,1993-07-03,4,0.6102,1993-07-03,0.2396
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19930707,1993-07-07,1993-07-07,1,0.5612,1993-07-07,0.0343
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19930715,1993-07-15,1993-07-15,1,0.638,1993-07-15,0.1111
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19930725,1993-07-25,1993-07-25,1,0.6091,1993-07-25,0.0822
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19930801,1993-08-01,1993-08-02,2,0.6745,1993-08-02,0.204
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19930811,1993-08-11,1993-08-12,2,0.6657,1993-08-12,0.2347
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19930818,1993-08-18,1993-08-18,1,0.5863,1993-08-18,0.0594
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19930903,1993-09-03,1993-09-03,1,0.5371,1993-09-03,0.0102
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19930912,1993-09-12,1993-09-12,1,0.5478,1993-09-12,0.0209
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19940110,1994-01-10,1994-01-10,1,0.538,1994-01-10,0.011
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19940127,1994-01-27,1994-01-27,1,0.558,1994-01-27,0.031
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19940206,1994-02-06,1994-02-07,2,0.6668,1994-02-06,0.2223
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19940419,1994-04-19,1994-04-19,1,0.6013,1994-04-19,0.0744
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19940422,1994-04-22,1994-04-24,3,0.7322,1994-04-23,0.3478
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19940608,1994-06-08,1994-06-08,1,0.6068,1994-06-08,0.0798
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19940623,1994-06-23,1994-06-29,6,0.9535,1994-06-28,1.522
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19940708,1994-07-08,1994-07-10,3,0.7979,1994-07-09,0.5635
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19940723,1994-07-23,1994-07-24,2,0.5499,1994-07-23,0.044
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19940804,1994-08-04,1994-08-04,1,0.5904,1994-08-04,0.0634
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19940823,1994-08-23,1994-08-24,2,0.6245,1994-08-24,0.1399
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19940908,1994-09-08,1994-09-09,2,0.6079,1994-09-09,0.1556
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19941029,1994-10-29,1994-10-30,2,0.6056,1994-10-29,0.0946
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19950129,1995-01-29,1995-01-29,1,0.6491,1995-01-29,0.1221
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19950306,1995-03-06,1995-03-06,1,0.5702,1995-03-06,0.0433
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19950421,1995-04-21,1995-04-24,4,0.7315,1995-04-21,0.6365
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19950518,1995-05-18,1995-05-20,3,0.7464,1995-05-19,0.3514
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19950526,1995-05-26,1995-05-26,1,0.5371,1995-05-26,0.0102
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19950613,1995-06-13,1995-06-19,7,0.7189,1995-06-14,0.6641
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19950626,1995-06-26,1995-06-26,1,0.5938,1995-06-26,0.0669
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19950629,1995-06-29,1995-06-30,2,0.5825,1995-06-30,0.1084
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19950708,1995-07-08,1995-07-09,2,0.5411,1995-07-09,0.0166
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19950805,1995-08-05,1995-08-06,2,0.749,1995-08-06,0.4392
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19950903,1995-09-03,1995-09-03,1,0.5926,1995-09-03,0.0656
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19950912,1995-09-12,1995-09-13,2,0.5642,1995-09-13,0.0674
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19950920,1995-09-20,1995-09-21,2,0.6229,1995-09-20,0.1163
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19960418,1996-04-18,1996-04-18,1,0.5772,1996-04-18,0.0503
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19960521,1996-05-21,1996-05-21,1,0.5508,1996-05-21,0.0239
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19960601,1996-06-01,1996-06-03,3,0.581,1996-06-01,0.1277
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19960620,1996-06-20,1996-06-20,1,0.582,1996-06-20,0.055
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19960626,1996-06-26,1996-06-30,5,0.6735,1996-06-30,0.4107
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19960704,1996-07-04,1996-07-05,2,0.5721,1996-07-04,0.0564
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19960715,1996-07-15,1996-07-16,2,0.5433,1996-07-15,0.0184
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19960721,1996-07-21,1996-07-22,2,0.8174,1996-07-21,0.5249
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19970206,1997-02-06,1997-02-06,1,0.5309,1997-02-06,0.004
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19970221,1997-02-21,1997-02-21,1,0.6262,1997-02-21,0.0992
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19970325,1997-03-25,1997-03-25,1,0.5643,1997-03-25,0.0374
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19970404,1997-04-04,1997-04-06,3,1.0436,1997-04-05,1.0091
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19970426,1997-04-26,1997-04-27,2,0.6377,1997-04-27,0.1584
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19970503,1997-05-03,1997-05-03,1,0.5371,1997-05-03,0.0102
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19970523,1997-05-23,1997-05-26,4,0.7346,1997-05-24,0.517
-29.399999618530273,-49.600006103515625,Passo de Torres,ssh_total_-29.40_-49.60_19970608,1997-06-08,1997-06-08,1,0.5752,1997-06-08,0.0482
