grid_lat,grid_lon,municipality,event_id,date_start,date_end,duration_days,peak_value,peak_date,integrated_intensity
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19940723,1994-07-23,1994-07-23,1,2.66,1994-07-23,0.312
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19941012,1994-10-12,1994-10-13,2,2.56,1994-10-13,0.294
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19941028,1994-10-28,1994-10-31,4,2.84,1994-10-29,0.658
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19941219,1994-12-19,1994-12-19,1,2.67,1994-12-19,0.322
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19950119,1995-01-19,1995-01-19,1,2.36,1995-01-19,0.012
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19950122,1995-01-22,1995-01-22,1,2.46,1995-01-22,0.112
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19950412,1995-04-12,1995-04-14,3,3.23,1995-04-13,1.786
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19950507,1995-05-07,1995-05-07,1,2.51,1995-05-07,0.162
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19950518,1995-05-18,1995-05-21,4,2.87,1995-05-21,1.088
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19950526,1995-05-26,1995-05-26,1,2.47,1995-05-26,0.122
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19950721,1995-07-21,1995-07-21,1,2.49,1995-07-21,0.142
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19950816,1995-08-16,1995-08-16,1,2.64,1995-08-16,0.292
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19950903,1995-09-03,1995-09-03,1,2.36,1995-09-03,0.012
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19950912,1995-09-12,1995-09-13,2,2.94,1995-09-13,1.034
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19950920,1995-09-20,1995-09-20,1,2.41,1995-09-20,0.062
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19950929,1995-09-29,1995-09-29,1,2.49,1995-09-29,0.142
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19951004,1995-10-04,1995-10-06,3,2.63,1995-10-05,0.486
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19951028,1995-10-28,1995-10-28,1,2.42,1995-10-28,0.072
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19951110,1995-11-10,1995-11-11,2,2.44,1995-11-10,0.174
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19951210,1995-12-10,1995-12-11,2,2.96,1995-12-11,1.044
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19951224,1995-12-24,1995-12-29,6,3.02,1995-12-27,1.702
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19960303,1996-03-03,1996-03-07,5,2.76,1996-03-05,1.34
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19960417,1996-04-17,1996-04-18,2,2.82,1996-04-17,0.914
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19960621,1996-06-21,1996-06-21,1,2.35,1996-06-21,0.002
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19960626,1996-06-26,1996-06-29,4,2.63,1996-06-27,0.938
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19960709,1996-07-09,1996-07-09,1,2.42,1996-07-09,0.072
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19960721,1996-07-21,1996-07-22,2,4.1,1996-07-21,2.874
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19960908,1996-09-08,1996-09-09,2,2.7,1996-09-08,0.504
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19960925,1996-09-25,1996-09-27,3,2.74,1996-09-25,0.596
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19961010,1996-10-10,1996-10-11,2,2.78,1996-10-10,0.594
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19961014,1996-10-14,1996-10-15,2,2.53,1996-10-14,0.334
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19961022,1996-10-22,1996-10-26,5,3.6,1996-10-23,2.95
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19961106,1996-11-06,1996-11-07,2,2.55,1996-11-06,0.404
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19961211,1996-12-11,1996-12-11,1,2.45,1996-12-11,0.102
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19970123,1997-01-23,1997-01-24,2,2.44,1997-01-24,0.144
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19970127,1997-01-27,1997-01-28,2,2.76,1997-01-27,0.544
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19970212,1997-02-12,1997-02-13,2,2.46,1997-02-12,0.154
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19970405,1997-04-05,1997-04-05,1,2.56,1997-04-05,0.212
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19970421,1997-04-21,1997-04-22,2,2.58,1997-04-22,0.384
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19970529,1997-05-29,1997-05-29,1,2.4,1997-05-29,0.052
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19970601,1997-06-01,1997-06-02,2,4.01,1997-06-01,2.524
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19970606,1997-06-06,1997-06-09,4,3.68,1997-06-08,3.278
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19970720,1997-07-20,1997-07-22,3,2.95,1997-07-20,1.046
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19970804,1997-08-04,1997-08-04,1,2.46,1997-08-04,0.112
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19970808,1997-08-08,1997-08-10,3,3.17,1997-08-08,1.736
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19970823,1997-08-23,1997-08-24,2,2.7,1997-08-24,0.684
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19970910,1997-09-10,1997-09-11,2,2.59,1997-09-11,0.364
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_19971002,1997-10-02,1997-10-08,7,3.65,1997-10-03,4.264
