municipality_code,municipality_name,state,delivered,nearest,distance_nearest_km,distance_delivered_km,n_points_in_radius,radius_fallback,maxcount,exposed,idw,coastline,n_coastal_segments,delivered_mun,delivered_rank,nearest_mun,nearest_rank,maxcount_mun,maxcount_rank,idw_mun,idw_rank,exposed_mun,exposed_rank,coastline_mun,coastline_rank
4317301,Santa Vitória do Palmar,RS,0.9225877636587654,0.8102401662406442,5.435531391361635,11.073408847914159,14,False,0.9225877636587654,0.9778223211166074,0.8220313627694296,0.8408852682101545,49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4315602,Rio Grande,RS,0.6527023299435444,0.7739320325861087,10.10525544636458,10.909442528017706,8,False,0.7767070008643042,0.7428455837731477,0.7207439018704059,0.7435386690765606,42,0.6998942807306694,29.0,0.9534889747150483,5.0,0.8321041976860714,8.5,0.8708430601522624,8.0,0.7583933987308743,5.0,0.8781911556466938,5.0
4318507,São José do Norte,RS,0.7767070008643042,0.7648310928851211,6.142625587985792,8.768802980500903,11,False,0.7767070008643042,0.8143428529395538,0.7740463830912763,0.777363450207314,51,0.8377843122419641,4.0,0.941830594238183,7.0,0.8321041976860714,8.5,0.9388118422667865,3.0,0.8319079619111007,2.0,0.9205157723945915,2.0
4321352,Tavares,RS,0.7245820997076078,0.7245820997076078,4.165455780129597,4.165455780129597,5,False,0.7648310928851211,0.7341593262104856,0.7319002292981072,0.7417831025457132,15,0.7798227515229096,7.0,0.8902712946832935,8.0,0.8184360823007641,10.0,0.8850690768547421,7.0,0.7494620585855072,7.0,0.8759944324718616,6.0
4312500,Mostardas,RS,0.6562597693962743,0.4719588444068482,0.24948562868660765,7.676463354052371,10,False,0.733221464168153,0.7212701594365472,0.49487298494899035,0.6704889598730424,47,0.7038500626749633,28.0,0.566658775057332,65.0,0.7820562068969165,13.0,0.5828232384365637,62.0,0.7362092242298646,8.0,0.7867847712673658,20.0
4313656,Palmares do Sul,RS,0.531091965648504,0.531091965648504,8.062759116584372,8.062759116584372,5,False,0.6737702054101765,0.6737702054101765,0.5403325645574236,0.4888540219044642,21,0.564666657123986,56.0,0.6424088018534683,55.0,0.7136330879294961,32.0,0.6407911264344989,51.0,0.6873690599544687,22.0,0.559506755547741,61.0
4305454,Cidreira,RS,0.5823783078026444,0.531091965648504,18.328442339560237,19.181619373936133,4,False,0.6737702054101765,0.6737702054101765,0.5473888283227792,0.5695567222641094,4,0.6216957616183841,43.5,0.6424088018534683,55.0,0.7136330879294961,32.0,0.6497889374824072,49.0,0.6873690599544687,22.0,0.6604892526713322,41.0
4321600,Tramandaí,RS,0.4730677283510179,0.4730677283510179,11.754081378588056,11.754081378588056,2,False,0.5823783078026444,0.5823783078026444,0.5011350092845136,0.4730677283510179,3,0.5001451850700672,61.5,0.5680792647375806,62.5,0.6084491302926115,58.0,0.5908082732399788,60.0,0.5933985417911465,53.0,0.5397535213158144,63.0
4301057,Arroio do Sal,RS,0.5446762537008772,0.5446762537008772,9.704640359084364,9.704640359084364,4,False,0.6773699406020706,0.6773699406020706,0.5766737682508819,0.5446762537008772,5,0.5797720389913932,49.0,0.659810389362582,48.0,0.7177760634430823,25.5,0.6871316963112547,40.0,0.6910703616025171,16.5,0.6293565664796252,45.5
4321501,Torres,RS,0.6190174515897681,0.6190174515897681,11.640336750249485,11.640336750249485,3,False,0.6773699406020706,0.6773699406020706,0.6056915043351726,0.6004321521175453,4,0.66243755508342,34.5,0.7550420905462054,30.5,0.7177760634430823,25.5,0.7241337295411387,37.0,0.6910703616025171,16.5,0.6991233751042826,36.0
