municipality_name,state,delivered,nearest,maxcount,idw,exposed,coastline,distance_delivered_km,distance_nearest_km,n_points_in_radius
Balneário Camboriú,SC,0.283,0.283,0.36,0.307,0.36,0.283,16.812,16.812,3
Caraguatatuba,SP,0.381,0.778,0.778,0.625,0.685,0.535,7.472,7.215,8
Paraty,RJ,0.639,0.579,0.579,0.612,0.607,0.626,14.803,12.758,5
Angra dos Reis,RJ,0.684,0.684,0.579,0.632,0.625,0.641,0.228,0.228,9
Vigia,PA,0.362,0.29,0.29,0.291,0.307,0.289,61.108,3.654,5
Itapema,SC,0.317,0.317,0.317,0.3,0.283,0.297,19.38,19.38,2
Itajaí,SC,0.283,0.283,0.36,0.323,0.36,0.283,23.091,23.091,3
Navegantes,SC,0.283,0.36,0.36,0.331,0.36,0.329,25.351,22.034,3
São Gonçalo,RJ,0.675,0.675,0.666,0.674,0.676,0.674,10.344,10.344,3
Guapimirim,RJ,0.675,0.675,0.675,0.675,0.675,0.675,30.295,30.295,0
Magé,RJ,0.675,0.666,0.666,0.666,0.666,0.67,34.632,30.644,0
Duque de Caxias,RJ,0.675,0.666,0.662,0.664,0.666,0.666,35.222,22.648,2
Paracuru,CE,0.091,0.074,0.074,0.064,0.062,0.07,89.167,16.39,3
Colares,PA,0.362,0.255,0.29,0.262,0.307,0.28,49.709,0.711,4
