grid_lat,grid_lon,municipality,thr_hs_abs,thr_ssh_total_abs,compound_count_total,compound_count_annual_mean,mean_overlap_duration,p95_overlap_duration,max_overlap_duration,mean_peak_lag_days,mean_compound_intensity_norm,p95_compound_intensity_norm,max_compound_intensity_norm,mean_compound_intensity_norm_abspeak,p95_compound_intensity_norm_abspeak,max_compound_intensity_norm_abspeak
-32.0,-51.8,,1.52,0.634263,241,7.3,1.45,3.0,5,-0.03,0.384,0.7324,1.0,0.1813,0.3174,0.476
-32.0,-51.6,,2.0,0.576889,229,6.94,1.57,3.0,5,0.0,0.4215,0.8265,1.0,0.2795,0.4325,0.604
-32.0,-51.4,,2.56,0.516691,235,7.12,1.62,3.3,5,-0.01,0.438,0.9215,1.0,0.3851,0.5553,0.6105
-32.0,-51.2,,2.88,0.460872,233,7.06,1.67,3.0,5,-0.0,0.4326,0.8833,1.0,0.432,0.5487,0.5896
-31.8,-51.4,,2.02,0.553626,238,7.21,1.55,3.0,5,0.07,0.4142,0.8311,1.0,0.2752,0.4361,0.6031
-31.8,-51.2,,2.63,0.490965,234,7.09,1.62,3.0,5,0.04,0.4399,0.939,1.0,0.3922,0.5607,0.6088
-31.8,-51.0,,2.92,0.439048,221,6.7,1.69,4.0,5,-0.06,0.4313,0.87,1.0,0.4378,0.5431,0.5806
-31.6,-51.2,,2.03,0.530473,228,6.91,1.57,3.0,5,-0.01,0.4072,0.8517,1.0,0.2698,0.4251,0.595
-31.6,-51.0,,2.63,0.471628,227,6.88,1.63,3.7,5,-0.02,0.4254,0.9202,1.0,0.3859,0.5503,0.6016
-31.6,-50.8,,2.97,0.424893,220,6.67,1.64,4.0,5,-0.03,0.3994,0.8496,1.0,0.4358,0.5342,0.569
-31.4,-50.8,,2.73,0.460676,201,6.09,1.65,4.0,5,0.1,0.4365,0.9348,1.0,0.4064,0.5539,0.5951
-31.4,-50.6,,3.0,0.422848,210,6.36,1.62,4.0,6,0.02,0.3981,0.8054,1.0,0.4423,0.5267,0.5617
-31.2,-50.8,,2.41,0.505036,211,6.39,1.57,3.0,5,0.14,0.4189,0.876,1.0,0.3464,0.5222,0.5771
-31.2,-50.6,,2.61,0.453047,222,6.73,1.65,4.0,5,0.06,0.3904,0.831,1.0,0.3765,0.5309,0.5766
-31.2,-50.4,,2.93,0.423346,209,6.33,1.61,4.0,6,0.08,0.3718,0.742,0.9635,0.4295,0.5212,0.5512
-31.0,-50.6,,2.4,0.488978,195,5.91,1.56,3.0,5,0.1,0.3865,0.8258,0.9723,0.3317,0.5201,0.5658
-31.0,-50.4,,2.73,0.448415,222,6.73,1.59,4.0,5,0.06,0.3768,0.815,1.0,0.3942,0.5315,0.5718
-31.0,-50.2,,3.028,0.424028,205,6.21,1.59,4.0,6,0.04,0.3757,0.746,0.9344,0.4433,0.5186,0.5464
-30.8,-50.4,,2.48,0.48453,207,6.27,1.56,3.0,5,0.24,0.3772,0.806,0.9472,0.3451,0.5183,0.5607
-30.8,-50.2,,2.85,0.447775,222,6.73,1.59,3.0,6,0.1,0.3783,0.7975,1.0,0.4147,0.5323,0.5752
-30.6,-50.4,,1.94,0.514421,122,3.7,1.41,2.0,5,0.27,0.3556,0.7571,0.8484,0.231,0.3827,0.5143
-30.6,-50.2,,2.53,0.482518,198,6.0,1.58,3.0,5,0.09,0.3758,0.7638,0.9234,0.3546,0.5224,0.5549
-30.6,-50.0,,2.89,0.448779,216,6.55,1.59,3.25,6,0.05,0.3771,0.7856,1.0,0.4229,0.5278,0.5675
-30.4,-50.2,,2.1,0.507896,152,4.61,1.43,3.0,5,0.14,0.3454,0.7236,0.8906,0.258,0.4022,0.5424
-30.4,-50.0,,2.62,0.475719,210,6.36,1.6,3.0,6,-0.02,0.3689,0.7592,0.9632,0.3711,0.5222,0.5725
-30.4,-49.8,,2.97,0.446608,214,6.49,1.64,3.35,6,-0.06,0.3778,0.767,0.9983,0.4353,0.529,0.5635
-30.2,-50.0,,2.4,0.494976,165,5.0,1.58,3.0,6,0.01,0.3717,0.7714,0.9518,0.3289,0.4984,0.553
-30.2,-49.8,,2.8,0.464896,208,6.3,1.6,3.0,6,-0.07,0.3742,0.7579,1.0,0.4069,0.5293,0.5778
-30.0,-50.0,,2.1,0.517844,131,3.97,1.46,3.0,5,0.05,0.346,0.7185,0.8264,0.2627,0.3971,0.5409
-30.0,-49.8,,2.64,0.484745,200,6.06,1.59,3.0,6,-0.1,0.3736,0.7605,0.9816,0.3783,0.5268,0.5886
-29.8,-49.8,,2.43,0.507395,195,5.91,1.54,3.0,7,-0.05,0.37,0.7806,0.9666,0.3391,0.5065,0.5609
-29.8,-49.6,,2.74,0.475572,226,6.85,1.62,3.0,6,-0.14,0.3734,0.7662,1.0,0.3984,0.5277,0.5844
-29.6,-49.8,,2.14,0.532095,168,5.09,1.46,2.0,6,-0.04,0.3566,0.7043,0.9204,0.2769,0.4066,0.5455
-29.6,-49.6,,2.58,0.497567,215,6.52,1.61,3.0,7,-0.07,0.3769,0.7777,0.9758,0.3713,0.5262,0.5681
-29.6,-49.4,,2.83,0.468765,233,7.06,1.66,3.0,7,-0.17,0.3749,0.7713,1.0,0.4146,0.5279,0.5802
