grid_lat,grid_lon,compound_count_total,mean_overlap_duration,mean_compound_intensity_norm,compound_count_annual_mean,mean_compound_intensity_norm_abspeak,Hazard_Frequency,Hazard_Duration,Hazard_Intensity,Hazard_Index_raw,Hazard_Index
-35.0,-54.8,322,1.58,0.4849,9.76,0.3346,1.0,0.2560000000000001,0.9274596182085167,0.7278198727361723,1.0
-35.0,-54.6,294,1.62,0.5044,8.91,0.3801,0.899641577060932,0.28800000000000014,0.984728340675477,0.7241233059121365,0.9936374073744996
-35.0,-54.4,291,1.56,0.4842,8.82,0.4033,0.8888888888888888,0.24000000000000007,0.9254038179148312,0.6847642356012399,0.9258919174571136
-35.0,-54.2,276,1.55,0.4766,8.36,0.4207,0.8351254480286738,0.23200000000000007,0.9030837004405285,0.6567363828230675,0.8776499086192173
-35.0,-54.0,252,1.58,0.4762,7.64,0.4337,0.7491039426523297,0.2560000000000001,0.9019089574155654,0.6356709666892985,0.8413917621481942
-34.8,-54.4,302,1.52,0.4938,9.15,0.3554,0.9283154121863799,0.20800000000000005,0.95359765051395,0.6966376875667767,0.9463287015087214
-34.8,-54.2,288,1.56,0.5048,8.73,0.4043,0.8781362007168458,0.24000000000000007,0.9859030837004404,0.7013464281390954,0.9544334645136873
-34.8,-54.0,270,1.6,0.5017,8.18,0.4299,0.8136200716845878,0.27200000000000013,0.976798825256975,0.6874729656471876,0.9305542289031711
-34.8,-53.8,247,1.61,0.4975,7.49,0.4482,0.7311827956989247,0.28000000000000014,0.9644640234948605,0.6585489397312617,0.8807697118762259
-34.8,-53.6,235,1.6,0.4702,7.12,0.4587,0.6881720430107527,0.27200000000000013,0.8842878120411161,0.6148199516839563,0.8055026464842859
-34.6,-54.0,270,1.58,0.497,8.18,0.3838,0.8136200716845878,0.2560000000000001,0.9629955947136563,0.6775385554660814,0.913454955992424
-34.6,-53.8,259,1.62,0.5096,7.85,0.4182,0.7741935483870968,0.28800000000000014,1.0,0.6873978494623656,0.930424937669885
-34.6,-53.6,258,1.6,0.4984,7.82,0.4508,0.7706093189964157,0.27200000000000013,0.967107195301028,0.6699055047658146,0.9003168214996826
-34.6,-53.4,240,1.58,0.4788,7.27,0.464,0.7060931899641577,0.2560000000000001,0.9095447870778266,0.6238793256806615,0.821095792483512
-34.4,-53.8,287,1.49,0.4182,8.7,0.2233,0.8745519713261649,0.18400000000000002,0.7315712187958884,0.5967077300406843,0.7743275877488147
-34.4,-53.6,253,1.57,0.4759,7.67,0.3721,0.7526881720430108,0.24800000000000008,0.9010279001468428,0.6339053573966179,0.8383527659119895
-34.4,-53.4,249,1.56,0.4891,7.55,0.4435,0.7383512544802867,0.24000000000000007,0.9397944199706312,0.6393818914836393,0.8477790679522542
-34.2,-53.6,237,1.43,0.4371,7.18,0.3062,0.6953405017921147,0.13599999999999995,0.7870778267254038,0.5394727761725062,0.675813828161225
