grid_lat,grid_lon,Hazard_Frequency_mhws,Hazard_Severity_mhws,Hazard_Index_mhws,Hazard_Frequency_hat_q90,Hazard_Severity_hat_q90,Hazard_Index_hat_q90,Hazard_Frequency_hat_final,Hazard_Severity_hat_final,Hazard_Index_hat_final
-35.0,-54.8,1.0,0.8378651685393258,0.9962108534544586,1.0,1.0,1.0,0.9591836734693877,1.0,1.0
-35.0,-54.6,0.9373134328358209,0.8552808988764043,0.9713896908733151,0.8982558139534884,0.9676277187658068,0.9329417663596475,0.9693877551020408,0.9564483813139302,0.9829788612956518
-35.0,-54.4,0.9194029850746268,0.8312359550561796,0.9483863256036337,0.8343023255813954,0.8818917551846233,0.8580970403830093,0.9693877551020408,0.8719814404724243,0.9398655269077999
-35.0,-54.2,0.8895522388059701,0.8112359550561796,0.9210540833777744,0.7325581395348837,0.8215730905412242,0.7770656150380539,1.0,0.770853105557313,0.9038729392948784
-35.0,-54.0,0.8537313432835821,0.8222471910112359,0.9074514058735909,0.622093023255814,0.8028578654527062,0.71247544435426,0.9897959183673469,0.7231888642834545,0.8743359828113466
-34.8,-54.4,0.9432835820895522,0.8557303370786516,0.9749094319498335,0.9331395348837209,0.9607991906929693,0.9469693627883451,0.9591836734693877,0.974164293999789,0.9868130250623923
-34.8,-54.2,0.9134328358208955,0.8899999999999999,0.9773322422258592,0.8546511627906976,0.9441072331815884,0.899379197986143,0.9693877551020408,0.9492776547506063,0.979318802945622
-34.8,-54.0,0.8626865671641791,0.898876404494382,0.9543757700582947,0.7325581395348837,0.9108497723823977,0.8217039559586408,0.9489795918367347,0.882421174733734,0.9347774746036768
-34.8,-53.8,0.835820895522388,0.8775280898876403,0.9279409330807847,0.6482558139534884,0.8265048052604957,0.7373803096069921,0.9693877551020408,0.7758093430349046,0.8907776855073992
-34.8,-53.6,0.8208955223880597,0.8189887640449437,0.8876615973077843,0.561046511627907,0.7163631765300962,0.6387048440790015,0.9285714285714286,0.7208689233364969,0.841901846286337
-34.6,-54.0,0.8417910447761194,0.8961797752808988,0.9414406296548299,0.8023255813953488,0.9151492159838139,0.8587373986895814,0.9897959183673469,0.8826320784561846,0.9557184567120109
-34.6,-53.8,0.8298507462686567,0.9338202247191011,0.9555315471045809,0.7296511627906976,0.9142640364188164,0.821957599604757,0.9693877551020408,0.8840029526521144,0.94600150708285
-34.6,-53.6,0.817910447761194,0.9528089887640447,0.959396090402545,0.6656976744186046,0.8581183611532626,0.7619080177859336,0.9387755102040817,0.8414004007170727,0.9086314545326726
-34.6,-53.4,0.8029850746268656,0.8904494382022471,0.9170221960683352,0.5813953488372093,0.7616337885685381,0.6715145687028737,0.9591836734693877,0.7347885690182431,0.8646316654363949
-34.4,-53.8,0.8955223880597015,0.7717977528089888,0.9027041688887254,0.8313953488372093,0.7602427921092565,0.7958190704732329,0.9897959183673469,0.7509227037857218,0.8884917967239623
-34.4,-53.6,0.8149253731343283,0.8798876404494381,0.9177780025377443,0.7063953488372093,0.8152503793626709,0.7608228640999402,0.9693877551020408,0.7974269745861015,0.9018116849449893
-34.4,-53.4,0.8149253731343283,0.9157303370786516,0.9374298902149727,0.6308139534883721,0.8296661608497724,0.7302400571690723,0.9591836734693877,0.7827691658757776,0.8891217617490949
-34.2,-53.6,0.7313432835820896,0.7848314606741572,0.8198339432501517,0.6337209302325582,0.7250885179564999,0.679404724094529,0.9693877551020408,0.6969313508383423,0.8505170436570706
-34.2,-53.4,0.7970149253731343,0.923258426966292,0.9317374354070505,0.6511627906976745,0.8069044006069803,0.7290335956523274,0.9693877551020408,0.7676895497205525,0.8866332076698653
-34.2,-53.2,0.8,0.9370786516853931,0.9409514702366721,0.6133720930232558,0.806272129489125,0.7098221112561904,0.9387755102040817,0.7929979964146366,0.8839260606699708
-34.0,-53.4,0.7522388059701492,0.878314606741573,0.8825456518141195,0.627906976744186,0.7454476479514417,0.6866773123478138,0.9795918367346939,0.6990403880628493,0.8568018647404126
-34.0,-53.2,0.8029850746268656,0.9287640449438201,0.938029386343993,0.6308139534883721,0.7855336368234699,0.708173795155921,0.9795918367346939,0.742275651165243,0.8788698636155928
-34.0,-53.0,0.8119402985074626,0.970449438202247,0.9657947001599881,0.622093023255814,0.7859129994941833,0.7040030113749987,0.9591836734693877,0.766951386691975,0.881048103624029
-33.8,-53.4,0.7432835820895523,0.7553932584269661,0.8102401662406442,0.627906976744186,0.6322711178553364,0.6300890472997612,0.9489795918367347,0.6172097437519772,0.7994091400400718
-33.8,-53.2,0.8029850746268656,0.9014606741573032,0.9230594530977031,0.6424418604651163,0.761254425897825,0.7018481431814707,0.9591836734693877,0.7287778129283982,0.8615636753488699
-33.8,-53.0,0.844776119402985,0.9595505617977527,0.9778223211166074,0.6627906976744186,0.785786545270612,0.7242886214725153,0.9489795918367347,0.7913107666350311,0.8882732038032972
-33.8,-52.8,0.844776119402985,1.0,1.0,0.6395348837209303,0.8189175518462316,0.7292262177835809,0.9897959183673469,0.7558789412633132,0.8910215429364828
