municipality_code,municipality_name,state,grid_lat,grid_lon,Risk_Hazard_mhws,Hazard_Index_mhws,Risk_Hazard_hat_q90,Hazard_Index_hat_q90,Risk_Hazard_hat_final,Hazard_Index_hat_final,compound_count_mhws,compound_count_hat_q90,compound_count_hat_final,rank_mhws,rank_hat_q90,rank_hat_final
4318507,São José do Norte,RS,-32.0,-51.8,0.8671644724074848,0.7767070008643042,1.0,0.6625127924621519,1.0,0.8116272760026715,268.0,232.0,93.0,4.0,1.0,1.0
3302502,Magé,RJ,-23.0,-43.0,0.8311769497275548,0.6754877802092718,0.9511252086537705,0.5527483208055428,0.94475226449293,0.6620322770571901,245.0,149.0,56.0,6.0,2.0,2.0
4321352,Tavares,RS,-31.2,-50.8,0.7733834406487985,0.7245820997076078,0.936058372362695,0.6730180506052159,0.9383920252638264,0.8261153731238358,229.0,219.0,88.0,14.0,3.0,3.0
3302700,Maricá,RJ,-23.0,-42.8,0.8226889414890534,0.6756909836517773,0.9316358663313126,0.5353623354624696,0.9342472438414754,0.657469836373862,242.0,147.0,55.0,7.0,4.0,4.0
4312500,Mostardas,RS,-31.0,-50.6,0.7523630972497837,0.6562597693962743,0.9031910696318568,0.5873703109009423,0.9163269847442943,0.7433268744068333,206.0,185.0,80.0,21.0,7.0,5.0
3301702,Duque de Caxias,RJ,-23.0,-43.0,0.7959584058348145,0.6754877802092718,0.9164028789833952,0.5527483208055428,0.9111937567334754,0.6620322770571901,245.0,149.0,56.0,11.0,6.0,6.0
3305505,Saquarema,RJ,-23.0,-42.6,0.814373963889131,0.6747751889516174,0.9013739233058972,0.5005366952512028,0.9064616852200288,0.6179435129530036,244.0,130.0,48.0,10.0,8.0,7.0
3550704,São Sebastião,SP,-23.8,-45.6,0.7856893885032386,0.7777046286250207,0.9304173165985032,0.6866640787662773,0.895274667531243,0.7513434127737354,323.0,234.0,76.0,13.0,5.0,8.0
3303807,Paraty,RJ,-23.2,-44.4,0.7617268596095137,0.6386629029588627,0.8958254462782468,0.5428672465916176,0.8882540158286476,0.6440109933565328,256.0,173.0,68.0,17.0,10.0,9.0
3506359,Bertioga,SP,-23.8,-45.8,0.754164244951947,0.7673136688795307,0.9001543928596512,0.6804082706943807,0.871934388086368,0.7566055704945692,313.0,229.0,77.0,20.0,9.0,10.0
