latitude_band,surge_q90_anomaly_cm,surge_q99_anomaly_cm,springneap_swing_cm,surge_q99_over_swing,zos_seasonal_amplitude_cm,zos_synoptic_residual_std_cm,seasonal_over_synoptic
RS,21.3221104445324,48.77256700883492,46.26290885513866,1.0708651760493544,15.885507405980174,15.554741711789545,1.0386266624076677
SC/PR,16.01938724327926,35.469178517243215,55.90602728579916,0.6775614683752823,11.641138241926873,11.491191717193056,1.0063381498256547
SP/RJ,12.407070730591455,26.517057096961217,65.73666354689078,0.4087194574612072,10.503333618046778,8.58356973269836,1.2989496809619852
ES/BA-S,9.431207431621884,19.6845386808422,116.84225564985944,0.17177369122832492,9.084802924218671,6.157400845862657,1.4857514084010204
BA-N,6.614672559645075,12.528769711951549,111.61428275016638,0.11223464811520723,6.487787080411829,4.328952555190733,1.490273040063188
NE,5.801302159616986,10.285078455955706,118.1194644781851,0.08719702710238557,3.566693354098202,3.985291672661599,0.8786565407662054
N_equatorial,6.490208704498953,11.773940184317565,162.55985763855278,0.07378470207347575,6.73913959246073,4.3103283827087076,1.5093765751159969
AP,8.567991927433637,15.752001104874573,162.74242243080428,0.10493644091187991,9.65678291283459,5.707656835419239,1.7484453856608866
