municipality_code,municipality_name,state,state_name_before,compound_c_before,mean_overl_before,mean_compo_before,grid_lat_before,grid_lon_before,PC1_before,pop_house_before,pop_rent_before,pop_poverty_before,pop_agevul_before,pop_nonwhite_before,pop_illiterate_before,pop_nowater_before,pop_nosewage_before,pop_nogarbage_before,pop_nopaving_before,SVI_Coast_2022_before,pop_10km_before,pop_municipality_before,Hazard_Frequency_before,Hazard_Severity_before,Hazard_Index_raw_before,Hazard_Index_before,Hazard_Index_mun_before,Exposure_Index_before,Exposure_absolute_before,Exposure_relative_before,Risk_Hazard_raw_before,Risk_Hazard_before,state_name_after,compound_c_after,mean_overl_after,mean_compo_after,grid_lat_after,grid_lon_after,PC1_after,pop_house_after,pop_rent_after,pop_poverty_after,pop_agevul_after,pop_nonwhite_after,pop_illiterate_after,pop_nowater_after,pop_nosewage_after,pop_nogarbage_after,pop_nopaving_after,SVI_Coast_2022_after,pop_1km,pop_2km,pop_5km,pop_10km_after,pop_municipality_after,Vulnerability_CDF_PC1,Hazard_Frequency_after,Hazard_Severity_after,Hazard_Index_raw_after,Hazard_Index_after,Hazard_Index_mun_after,pop_eff,Exposure_Index_after,Exposure_absolute_after,Exposure_relative_after,Risk_Hazard_raw_after,Risk_Hazard_after,coverage_status,risk_zero_cause,rank_before,rank_after,rank_change,absolute_rank_change
2304400,Fortaleza,CE,Ceará,88.0,1.64,0.381,-3.8,-38.2,-2.086217,0.206008,0.345528,0.314771,0.271889,0.673088,0.0562,0.091013,0.290548,0.025534,0.061948,27.469572,1675622,2427546,0.0,0.0,0.0,0.0,0.0,0.830815,1.0,0.690253,0.131659,0.145821,Ceará,88.0,1.64,0.381,-3.8,-38.2,-2.086217,0.206008,0.345528,0.314771,0.271889,0.673088,0.0562,0.091013,0.290548,0.025534,0.061948,27.469572,161450,363289,898169,1675622,2427546,0.176602,0.0,0.0,0.0,0.0,0.0,520762.7,0.446459,0.92916,0.214522,0.0,0.0,associated_no_accepted_event_1993_2025,hazard_zero_no_accepted_event_1993_2025,270.0,197.0,-73.0,73.0
4201406,Araranguá,SC,Santa Catarina,254.0,1.67,0.3479,-29.0,-49.2,-2.61795,0.139609,0.243768,0.109176,0.292358,0.151581,0.0275,0.301506,0.623051,0.013851,0.275455,22.549432,57934,71984,0.806122,0.642518,0.72432,0.73941,0.882559,0.745597,0.690733,0.804818,0.529413,0.791532,Santa Catarina,254.0,1.67,0.3479,-29.0,-49.2,-2.61795,0.139609,0.243768,0.109176,0.292358,0.151581,0.0275,0.301506,0.623051,0.013851,0.275455,22.549432,1074,2059,4006,57934,71984,0.122006,0.79798,0.6093,0.70364,0.70364,0.70364,7641.9,0.223564,0.4708,0.106161,0.267738,0.267738,associated_with_hazard,nonzero,34.0,106.0,72.0,72.0
2800308,Aracaju,SE,Sergipe,53.0,2.11,0.2736,-11.0,-37.0,-2.497869,0.17385,0.360007,0.285846,0.270504,0.70255,0.0522,0.02604,0.127066,0.024464,0.063286,23.660544,603813,603825,0.0,0.0,0.0,0.0,0.0,0.972217,0.945226,0.99998,0.132007,0.146385,Sergipe,53.0,2.11,0.2736,-11.0,-37.0,-2.497869,0.17385,0.360007,0.285846,0.270504,0.70255,0.0522,0.02604,0.127066,0.024464,0.063286,23.660544,36851,81327,317186,603813,603825,0.133159,0.0,0.0,0.0,0.0,0.0,162957.0,0.465526,0.803018,0.269875,0.0,0.0,associated_no_accepted_event_1993_2025,hazard_zero_no_accepted_event_1993_2025,269.0,197.0,-72.0,72.0
2706505,Passo de Camaragibe,AL,Alagoas,51.0,2.02,0.325,-9.6,-35.6,2.039436,0.420704,0.3193,0.574122,0.26543,0.755361,0.2375,0.66906,0.961424,0.247154,0.150224,65.64441,5034,13661,0.0,0.0,0.0,0.0,0.0,0.395963,0.425478,0.368494,0.137494,0.155293,Alagoas,51.0,2.02,0.325,-9.6,-35.6,2.039436,0.420704,0.3193,0.574122,0.26543,0.755361,0.2375,0.66906,0.961424,0.247154,0.150224,65.64441,1471,2789,4323,5034,13661,0.817948,0.0,0.0,0.0,0.0,0.0,2793.1,0.271875,0.361522,0.204458,0.0,0.0,associated_no_accepted_event_1993_2025,hazard_zero_no_accepted_event_1993_2025,268.0,197.0,-71.0,71.0
1504406,Marapanim,PA,Pará,87.0,1.76,0.5393,-0.4,-47.6,2.012571,0.376631,0.08852,0.62035,0.296429,0.843224,0.0728,0.317444,0.947841,0.388474,0.383365,65.395821,19274,26801,0.05102,0.162396,0.106708,0.108931,0.13002,0.640945,0.571243,0.719152,0.379135,0.547572,Pará,87.0,1.76,0.5393,-0.4,-47.6,2.012571,0.376631,0.08852,0.62035,0.296429,0.843224,0.0728,0.317444,0.947841,0.388474,0.383365,65.395821,14343,17012,18746,19274,26801,0.814772,0.050505,0.154,0.102253,0.102253,0.102253,16517.4,0.584575,0.554485,0.616298,0.365189,0.365189,associated_with_hazard,nonzero,104.0,33.0,-71.0,71.0
2800605,Barra dos Coqueiros,SE,Sergipe,56.0,2.12,0.3192,-10.8,-36.8,-1.557203,0.222089,0.293344,0.33216,0.251548,0.760184,0.0606,0.08168,0.267239,0.051927,0.063561,32.36456,41447,41447,0.0,0.0,0.0,0.0,0.0,0.808933,0.654373,1.0,0.137825,0.15583,Sergipe,56.0,2.12,0.3192,-10.8,-36.8,-1.557203,0.222089,0.293344,0.33216,0.251548,0.760184,0.0606,0.08168,0.267239,0.051927,0.063561,32.36456,7841,20502,41447,41447,41447,0.244163,0.0,0.0,0.0,0.0,0.0,21721.1,0.553328,0.58422,0.524069,0.0,0.0,associated_no_accepted_event_1993_2025,hazard_zero_no_accepted_event_1993_2025,267.0,197.0,-70.0,70.0
2917904,Jandaíra,BA,Bahia,64.0,1.89,0.4012,-11.6,-37.4,1.615826,0.287916,0.1505,0.598749,0.282606,0.886807,0.1882,0.235148,0.974833,0.182383,0.072687,61.724727,4137,9161,0.0,0.0,0.0,0.0,0.0,0.427222,0.404171,0.451588,0.138156,0.156368,Bahia,64.0,1.89,0.4012,-11.6,-37.4,1.615826,0.287916,0.1505,0.598749,0.282606,0.886807,0.1882,0.235148,0.974833,0.182383,0.072687,61.724727,785,963,1494,4137,9161,0.763949,0.0,0.0,0.0,0.0,0.0,1315.4,0.200426,0.279764,0.143587,0.0,0.0,associated_no_accepted_event_1993_2025,hazard_zero_no_accepted_event_1993_2025,266.0,197.0,-69.0,69.0
2312403,São Gonçalo do Amarante,CE,Ceará,88.0,1.64,0.381,-3.8,-38.2,0.686898,0.300206,0.230786,0.482887,0.266258,0.805552,0.1227,0.55932,0.715265,0.110923,0.111559,53.129316,22668,53955,0.0,0.0,0.0,0.0,0.0,0.497387,0.588853,0.420128,0.138254,0.156526,Ceará,88.0,1.64,0.381,-3.8,-38.2,0.686898,0.300206,0.230786,0.482887,0.266258,0.805552,0.1227,0.55932,0.715265,0.110923,0.111559,53.129316,3827,8891,17576,22668,53955,0.620075,0.0,0.0,0.0,0.0,0.0,9980.1,0.304048,0.499784,0.184971,0.0,0.0,associated_no_accepted_event_1993_2025,hazard_zero_no_accepted_event_1993_2025,265.0,197.0,-68.0,68.0
4212304,Paulo Lopes,SC,Santa Catarina,243.0,1.51,0.3374,-28.0,-48.4,-1.481005,0.169771,0.189624,0.146474,0.316672,0.137482,0.0625,0.439006,0.977238,0.087845,0.35688,33.06963,8316,9090,0.734694,0.562164,0.648429,0.661938,0.790089,0.662653,0.479979,0.914851,0.557353,0.83689,Santa Catarina,243.0,1.51,0.3374,-28.0,-48.4,-1.481005,0.169771,0.189624,0.146474,0.316672,0.137482,0.0625,0.439006,0.977238,0.087845,0.35688,33.06963,0,10,658,8316,9090,0.254927,0.727273,0.5331,0.630186,0.630186,0.630186,966.2,0.161791,0.246267,0.106293,0.296219,0.296219,associated_with_hazard,nonzero,19.0,86.0,67.0,67.0
2310258,Paraipaba,CE,Ceará,84.0,1.62,0.3899,-3.2,-39.0,1.01062,0.285675,0.197533,0.536755,0.28253,0.757791,0.142,0.381536,0.758562,0.260615,0.182343,56.124732,13540,32235,0.0,0.0,0.0,0.0,0.0,0.473119,0.532905,0.42004,0.138476,0.156887,Ceará,84.0,1.62,0.3899,-3.2,-39.0,1.01062,0.285675,0.197533,0.536755,0.28253,0.757791,0.142,0.381536,0.758562,0.260615,0.182343,56.124732,0,439,3376,13540,32235,0.67355,0.0,0.0,0.0,0.0,0.0,2160.9,0.149556,0.333659,0.067036,0.0,0.0,associated_no_accepted_event_1993_2025,hazard_zero_no_accepted_event_1993_2025,264.0,197.0,-67.0,67.0
