municipality_code,municipality_name,state,pop_eff_old_comparison,pop_eff_new
3300100,Angra dos Reis,RJ,116953.29999999999,116465.1
3302601,Mangaratiba,RJ,33990.7,34162.5
3304557,Rio de Janeiro,RJ,1814000.9,1384424.0
3303302,Niterói,RJ,338595.3,316690.0
3302700,Maricá,RJ,81290.4,65836.2
3305505,Saquarema,RJ,41854.0,34078.0
3300209,Araruama,RJ,18629.3,10795.7
3300258,Arraial do Cabo,RJ,25877.0,26032.1
3300704,Cabo Frio,RJ,141792.4,133800.4
3300233,Armação dos Búzios,RJ,29595.499999999996,30382.8
3301306,Casimiro de Abreu,RJ,17707.9,16893.5
3302403,Macaé,RJ,190764.30000000002,192370.9
3304151,Quissamã,RJ,2853.7000000000003,2193.3
3301009,Campos dos Goytacazes,RJ,9211.2,8825.1
3305000,São João da Barra,RJ,20732.9,19362.6
3304755,São Francisco de Itabapoana,RJ,15950.7,13958.5
3204302,Presidente Kennedy,ES,2227.3,1728.3
3203320,Marataízes,ES,35586.3,34979.3
3202405,Guarapari,ES,88774.9,86802.5
3205309,Vitória,ES,225533.0,214480.8
3202207,Fundão,ES,3971.8999999999996,4410.8
3200607,Aracruz,ES,16336.900000000001,15602.5
3203205,Linhares,ES,3600.0999999999995,3622.9
3204906,São Mateus,ES,15883.2,14554.9
3201605,Conceição da Barra,ES,12270.999999999998,11700.7
2922003,Mucuri,BA,8404.1,8490.6
2923001,Nova Viçosa,BA,8900.0,8974.9
2906907,Caravelas,BA,3460.7,2609.2
2900801,Alcobaça,BA,8863.599999999999,8684.4
2925501,Prado,BA,14325.5,13064.8
2925303,Porto Seguro,BA,69140.9,47241.9
2927705,Santa Cruz Cabrália,BA,13218.1,11379.4
2903409,Belmonte,BA,5595.8,6304.0
2906303,Canavieiras,BA,13874.599999999999,10617.5
2932507,Una,BA,3618.6,2505.9
2913606,Ilhéus,BA,123273.20000000001,125671.9
2932705,Uruçuca,BA,3257.2000000000003,3358.0
2920700,Maraú,BA,13496.199999999999,13447.6
2905800,Camamu,BA,8068.300000000001,5330.1
2905404,Cairu,BA,14944.5,15352.2
2932903,Valença,BA,38808.0,36514.0
2917805,Jaguaripe,BA,5898.9,5654.2
2927408,Salvador,BA,1391558.3,1223554.9
2919207,Lauro de Freitas,BA,91589.5,68911.9
2905701,Camaçari,BA,58915.9,44085.8
2921005,Mata de São João,BA,8646.6,6530.3
2910503,Entre Rios,BA,6779.400000000001,6360.5
2910602,Esplanada,BA,1533.1,1124.7
2908606,Conde,BA,8094.4,6375.1
2917904,Jandaíra,BA,1668.1000000000001,1315.4
2802106,Estância,SE,13987.100000000002,8651.8
2803203,Itaporanga d'Ajuda,SE,9992.400000000001,6927.2
2800308,Aracaju,SE,234343.90000000002,162957.0
2800605,Barra dos Coqueiros,SE,24644.0,21721.1
2805307,Pirambu,SE,6017.5,5680.0
2804904,Pacatuba,SE,2804.0,2270.6
2706802,Piaçabuçu,AL,4326.200000000001,3098.0
2702306,Coruripe,AL,15866.400000000001,12306.6
2703759,Jequiá da Praia,AL,4009.1,3876.4
2704708,Marechal Deodoro,AL,46232.99999999999,47422.3
2704302,Maceió,AL,485475.1,414659.3
2707404,Porto de Pedras,AL,5673.6,5927.0
2704500,Maragogi,AL,18105.4,18930.6
2601409,Barreiros,PE,8427.2,4597.5
2602902,Cabo de Santo Agostinho,PE,37778.7,25491.6
2611606,Recife,PE,821913.9,702323.1
2609600,Olinda,PE,167424.40000000002,131579.2
2606804,Igarassu,PE,43195.7,27137.7
2606200,Goiana,PE,27102.0,19952.4
2511905,Pitimbu,PB,12022.6,11293.5
2503209,Cabedelo,PB,64021.0,64536.0
2512903,Rio Tinto,PB,1761.6,1567.3
2509305,Mataraca,PB,1374.4,1067.7
2401404,Baía Formosa,RN,7894.6,7739.1
2414209,Tibau do Sul,RN,13856.0,14068.6
2408102,Natal,RN,227978.5,142714.7
2403608,Extremoz,RN,13149.4,9307.2
2407500,Maxaranguape,RN,6019.3,6219.4
2414407,Touros,RN,15040.0,15234.7
2407203,Macau,RN,14812.2,11117.7
2404101,Galinhos,RN,1282.5,1283.1
2412559,São Miguel do Gostoso,RN,4040.1000000000004,4361.8
2404408,Grossos,RN,2596.3,1454.2
2401107,Areia Branca,RN,13001.5,9264.7
2410256,Porto do Mangue,RN,2264.3,2419.7
2411601,São Bento do Norte,RN,1655.0,1504.0
2409506,Pedra Grande,RN,1590.6,1364.3
2305357,Icapuí,CE,10944.6,9203.2
2301109,Aracati,CE,17534.7,12692.0
2302206,Beberibe,CE,20502.5,16255.7
2303501,Cascavel,CE,12189.8,9668.3
2301000,Aquiraz,CE,26436.1,19629.6
2303709,Caucaia,CE,86087.1,60440.5
2313500,Trairi,CE,20260.3,16119.8
2310258,Paraipaba,CE,3720.8,2160.9
2306405,Itapipoca,CE,5610.200000000001,5332.5
2205706,Luís Correia,PI,12339.300000000001,12014.8
2202083,Cajueiro da Praia,PI,6024.0,5852.0
2302057,Barroquinha,CE,3269.8999999999996,3011.4
2302602,Camocim,CE,26111.4,17732.0
2307254,Jijoca de Jericoacoara,CE,4283.4,3582.6
2304251,Cruz,CE,6929.0,5272.3
2300200,Acaraú,CE,20331.300000000003,14923.8
2306553,Itarema,CE,20896.4,17136.0
2300754,Amontada,CE,9129.8,8124.4
2112506,Tutóia,MA,24889.399999999998,21715.8
2100907,Araioses,MA,6388.3,5200.5
2109452,Raposa,MA,19518.0,18280.9
2105104,Icatu,MA,12291.4,10838.7
2101707,Barreirinhas,MA,1347.7,1055.7
2105005,Humberto de Campos,MA,6648.8,4742.9
2109403,Primeira Cruz,MA,3783.1000000000004,3601.5
2104909,Guimarães,MA,5894.3,5767.2
2103109,Cedral,MA,5329.3,4861.2
1508209,Vigia,PA,36574.2,35191.1
2101301,Bacuri,MA,2872.8999999999996,2020.5
2100832,Apicum-Açu,MA,5748.1,3258.9
2103703,Cururupu,MA,8609.7,6042.0
2104305,Godofredo Viana,MA,1678.9,1614.9
1508308,Viseu,PA,14436.1,11112.9
2106201,Luís Domingues,MA,1939.2,1073.0
1506302,Salvaterra,PA,16514.1,16145.2
1501709,Bragança,PA,41313.5,27537.6
1500909,Augusto Corrêa,PA,7900.200000000001,4604.8
1507102,São Caetano de Odivelas,PA,8043.9,7432.5
1507474,São João de Pirabas,PA,11270.0,10117.9
1506112,Quatipuru,PA,4876.0,2980.9
1508035,Tracuateua,PA,1258.4,773.0
1502905,Curuçá,PA,15254.3,11662.0
1504307,Maracanã,PA,14633.4,14408.6
1507904,Soure,PA,16889.3,17497.7
1502509,Chaves,PA,12281.3,11737.6
1600303,Macapá,AP,190130.1,142918.7
1600105,Amapá,AP,3429.9,2655.1
1600204,Calçoene,AP,32.6,27.3
1600501,Oiapoque,AP,206.60000000000002,124.3
4310330,Imbé,RS,15009.5,14892.4
4313508,Osório,RS,2504.1,2610.4
4301636,Balneário Pinhal,RS,7926.200000000001,8493.6
4323804,Xangri-lá,RS,12246.1,11677.9
4321436,Terra de Areia,RS,347.9,372.5
4304630,Capão da Canoa,RS,31747.1,24681.5
4212254,Passo de Torres,SC,9104.4,9145.9
4220000,Balneário Rincão,SC,8398.599999999999,7574.7
4212304,Paulo Lopes,SC,1860.6000000000001,966.2
4205407,Florianópolis,SC,380296.10000000003,369250.6
4218004,Tijucas,SC,28684.5,22976.4
4213500,Porto Belo,SC,24800.4,24723.5
4208302,Itapema,SC,50560.7,49681.2
4208203,Itajaí,SC,63156.9,36339.8
4211306,Navegantes,SC,36706.0,29056.1
4212809,Balneário Piçarras,SC,14813.4,12351.7
4216602,São José,SC,132653.59999999998,114391.3
4202305,Biguaçu,SC,43075.9,40350.3
4202107,Barra Velha,SC,32593.700000000004,32621.0
4201307,Araquari,SC,9436.800000000001,6006.9
4115705,Matinhos,PR,28347.199999999997,28354.3
3522109,Itanhaém,SP,56975.8,45350.7
3551009,São Vicente,SP,228794.10000000003,221981.3
3548500,Santos,SP,318760.0,331392.3
3302007,Itaguaí,RJ,36339.0,24218.9
3304904,São Gonçalo,RJ,336225.4,255878.7
3301900,Itaboraí,RJ,5983.200000000001,2991.6
3301850,Guapimirim,RJ,6518.200000000001,5556.4
3302502,Magé,RJ,75961.9,62216.9
3301702,Duque de Caxias,RJ,237778.0,154241.2
3304524,Rio das Ostras,RJ,114277.6,115664.1
3300936,Carapebus,RJ,2582.1000000000004,1329.9
3202801,Itapemirim,ES,21321.199999999997,19327.6
3204203,Piúma,ES,18884.2,19077.5
3200409,Anchieta,ES,21377.0,21392.9
3205200,Vila Velha,ES,330088.6,326484.8
3205002,Serra,ES,206965.6,167914.6
2914901,Itacaré,BA,13172.0,12884.8
2913457,Igrapiúna,BA,2827.9,2271.6
2917300,Ituberá,BA,16634.3,16256.0
2922607,Nilo Peçanha,BA,4870.5,4734.8
2933208,Vera Cruz,BA,30216.0,30538.2
2800704,Brejo Grande,SE,1355.2,789.3
2702702,Feliz Deserto,AL,1753.0,1779.8
2707800,Roteiro,AL,1385.7000000000003,708.0
2700607,Barra de São Miguel,AL,3605.8,2909.2
2706448,Paripueira,AL,7039.6,6930.0
2700508,Barra de Santo Antônio,AL,10909.7,11807.5
2706505,Passo de Camaragibe,AL,3039.2,2793.1
2708709,São Miguel dos Milagres,AL,5296.0,5827.6
2703601,Japaratinga,AL,5813.0,5879.6
2613404,São José da Coroa Grande,PE,14643.3,14967.6
2614857,Tamandaré,PE,13274.5,13869.4
2614204,Sirinhaém,PE,9989.2,8161.2
2607208,Ipojuca,PE,32827.2,25217.2
2607901,Jaboatão dos Guararapes,PE,220096.3,161386.2
2610707,Paulista,PE,142034.40000000002,114006.1
2607604,Ilha de Itamaracá,PE,19553.0,20043.1
2507507,João Pessoa,PB,414143.5,335138.5
2504603,Conde,PB,7593.5,6988.7
2513703,Santa Rita,PB,36835.100000000006,20612.9
2508604,Lucena,PB,10217.0,10246.9
2509057,Marcação,PB,3294.8999999999996,2701.3
2501401,Baía da Traição,PB,7256.9,6928.2
2402204,Canguaretama,RN,1360.6,1087.5
2413201,Senador Georgino Avelino,RN,2577.0,2045.7
2408201,Nísia Floresta,RN,10042.0,7665.6
2403251,Parnamirim,RN,28760.7,16558.9
2402600,Ceará-Mirim,RN,4266.7,3693.1
2408953,Rio do Fogo,RN,5848.9,5796.8
2401859,Caiçara do Norte,RN,5690.5,5689.1
2404507,Guamaré,RN,4786.1,3813.0
2411056,Tibau,RN,2438.2,1597.4
2304459,Fortim,CE,5136.8,3652.1
2304400,Fortaleza,CE,685300.1000000001,520762.7
2312403,São Gonçalo do Amarante,CE,11719.900000000001,9980.1
2310209,Paracuru,CE,12423.900000000001,7218.5
2207702,Parnaíba,PI,25749.300000000003,13803.3
2204659,Ilha Grande,PI,1847.1,964.8
2108058,Paulino Neves,MA,4132.700000000001,2516.2
2110278,Santo Amaro do Maranhão,MA,438.79999999999995,314.8
2101103,Axixá,MA,4415.5,2808.0
2109601,Rosário,MA,4602.0,2449.4
2101251,Bacabeira,MA,1176.6,591.9
2110203,Santa Rita,MA,0.8,0.4
2107506,Paço do Lumiar,MA,38992.8,21676.1
2111201,São José de Ribamar,MA,99621.29999999999,76530.8
2111300,São Luís,MA,446209.80000000005,343827.2
2102408,Cajapió,MA,4062.0,3762.4
2111003,São João Batista,MA,381.5,222.9
2101350,Bacurituba,MA,905.3,663.4
2100204,Alcântara,MA,11797.5,10567.7
2101905,Bequimão,MA,3026.7999999999997,1790.7
2109056,Porto Rico do Maranhão,MA,2386.7,2114.9
2111789,Serrano do Maranhão,MA,1163.4,686.7
2112407,Turiaçu,MA,14750.900000000001,13302.5
2102606,Cândido Mendes,MA,1542.3,1328.1
2102903,Carutapera,MA,10577.7,11066.3
1506203,Salinópolis,PA,38972.4,39025.9
1504109,Magalhães Barata,PA,1773.9,1532.0
1504406,Marapanim,PA,16650.1,16517.4
1502608,Colares,PA,8215.300000000001,7438.4
2605459,Fernando de Noronha,PE,2997.5,3030.2
4207007,Içara,SC,1981.2,991.8
