municipality_code,municipality_name,state,pop_eff_old_comparison,pop_eff_new
4317301,Santa Vitória do Palmar,RS,2424.9,2410.3
4315602,Rio Grande,RS,146450.9,148524.3
4318507,São José do Norte,RS,21676.2,21003.5
4321352,Tavares,RS,1326.3000000000002,796.1
4312500,Mostardas,RS,5022.0,3176.0
4313656,Palmares do Sul,RS,5887.5,5423.5
4305454,Cidreira,RS,11212.3,12075.9
4321600,Tramandaí,RS,27856.9,23556.6
4301057,Arroio do Sal,RS,6974.5,7100.7
4321501,Torres,RS,27427.1,26347.9
4202073,Balneário Gaivota,SC,12827.599999999999,12272.7
4201950,Balneário Arroio do Silva,SC,12892.5,13398.3
4201406,Araranguá,SC,13325.6,7641.9
4208807,Jaguaruna,SC,7890.800000000001,6723.9
4209409,Laguna,SC,35713.0,35887.2
4207304,Imbituba,SC,25158.1,22381.7
4205704,Garopaba,SC,15331.2,11436.8
4211900,Palhoça,SC,102759.6,77559.9
4206009,Governador Celso Ramos,SC,11300.5,10594.9
4202453,Bombinhas,SC,18260.0,19346.3
4202008,Balneário Camboriú,SC,69432.7,61825.8
4212502,Penha,SC,17833.8,15401.0
4202057,Balneário Barra do Sul,SC,12104.0,12428.6
4216206,São Francisco do Sul,SC,36892.9,36380.3
4208450,Itapoá,SC,19950.9,20664.0
4109609,Guaratuba,PR,26727.4,26822.0
4119954,Pontal do Paraná,PR,29324.4,29345.0
4118204,Paranaguá,PR,94383.0,84817.5
4109500,Guaraqueçaba,PR,4421.4,4318.4
3509908,Cananéia,SP,7635.299999999999,7916.8
3520426,Ilha Comprida,SP,13076.0,13143.6
3520301,Iguape,SP,20376.0,20723.6
3537602,Peruíbe,SP,37658.4,30612.8
3531100,Mongaguá,SP,31707.5,27696.1
3541000,Praia Grande,SP,207984.2,184587.2
3518701,Guarujá,SP,234832.99999999997,231730.9
3506359,Bertioga,SP,39512.2,36670.6
3550704,São Sebastião,SP,50998.0,50646.7
3520400,Ilhabela,SP,25900.800000000003,26324.4
3510500,Caraguatatuba,SP,89357.1,87958.7
3555406,Ubatuba,SP,44997.9,34857.8
3303807,Paraty,RJ,24728.4,23457.2
