grid_lat,grid_lon,compound_count_total,reference_driver_overlap_days,opt1_full_criterion_days,opt2_integrated_intensity,opt3_integrated_excess_m_days,opt4_p95_full_criterion_days
-35.0,-54.8,344,1.555232558139535,1.555232558139535,0.8788525454753461,0.8622766772582467,3.0
-35.0,-54.6,323,1.5913312693498451,1.5913312693498451,0.894443185755491,0.8300861778383448,3.0
-35.0,-54.4,317,1.5678233438485805,1.5678233438485805,0.8730349915162606,0.7604288297629552,3.0
-35.0,-54.2,307,1.5635179153094463,1.5635179153094463,0.8551869355392364,0.7147126030830607,3.0
-35.0,-54.0,295,1.6271186440677967,1.6271186440677967,0.8649674167463374,0.7037576570196233,3.0
-34.8,-54.4,325,1.5353846153846153,1.5353846153846153,0.8947825902650179,0.903628092561443,3.0
-34.8,-54.2,315,1.5777777777777777,1.5777777777777777,0.9253422384488996,0.8759452031324447,3.0
-34.8,-54.0,298,1.6208053691275168,1.6208053691275168,0.9331810712218457,0.8278077554445941,3.0
-34.8,-53.8,289,1.6262975778546713,1.6262975778546713,0.9141690348828373,0.7659226982078832,3.0
-34.8,-53.6,284,1.602112676056338,1.602112676056338,0.8620573840767193,0.6923086883504207,3.0
-34.6,-54.0,291,1.5670103092783505,1.5670103092783505,0.9307601593413607,0.947052168528822,3.0
-34.6,-53.8,287,1.6202090592334495,1.6202090592334495,0.9642802904669024,0.9189251090769485,3.0
-34.6,-53.6,283,1.6784452296819787,1.6784452296819787,0.9811693372151982,0.8703224349611217,3.0
-34.6,-53.4,278,1.6654676258992807,1.6654676258992807,0.9256958912797504,0.7734116145223234,3.0
-34.4,-53.8,309,1.4951456310679612,1.4951456310679612,0.8201404109025217,0.9525027097963439,3.0
-34.4,-53.6,282,1.570921985815603,1.570921985815603,0.9163249834460244,0.9522088982771797,3.0
-34.4,-53.4,282,1.6134751773049645,1.6134751773049645,0.9482440602292392,0.8870856981573205,3.0
-34.2,-53.6,254,1.437007874015748,1.437007874015748,0.8317295414703603,0.9550890495821436,3.0
-34.2,-53.4,276,1.5724637681159421,1.5724637681159421,0.954946254066295,0.9766587693275282,3.0
-34.2,-53.2,277,1.6173285198555956,1.6173285198555956,0.9671589669596492,0.9071366672367602,3.0
-34.0,-53.4,261,1.5057471264367817,1.5057471264367817,0.9149230358991547,1.0262552659797213,3.0
-34.0,-53.2,278,1.5611510791366907,1.5611510791366907,0.9597810655489962,0.9852341991059163,3.0
-34.0,-53.0,281,1.6370106761565837,1.6370106761565837,0.9969344387823997,0.9380792892462164,3.0
-33.8,-53.4,258,1.4069767441860466,1.4069767441860466,0.8055047339649416,1.0272096175381047,3.0
-33.8,-53.2,278,1.5287769784172662,1.5287769784172662,0.9354803007529071,1.0619250392960988,3.0
-33.8,-53.0,292,1.5993150684931507,1.5993150684931507,0.9871548017165979,1.0220506736341226,3.0
-33.8,-52.8,292,1.6575342465753424,1.6575342465753424,1.0232059249337846,0.9680240020392138,3.0
-33.6,-53.0,298,1.5335570469798658,1.5335570469798658,0.8816351292486749,1.0765309489778048,3.0
-33.6,-52.8,289,1.602076124567474,1.602076124567474,0.9689611257610623,1.0478377583920946,3.0
-33.6,-52.6,289,1.657439446366782,1.657439446366782,1.0117460454650142,0.980223322231646,3.0
-33.4,-52.8,294,1.534013605442177,1.534013605442177,0.9129302615219613,1.092853515155674,3.0
-33.4,-52.6,292,1.5856164383561644,1.5856164383561644,0.9525972491438608,1.0343089238313208,3.0
-33.4,-52.4,283,1.6360424028268552,1.6360424028268552,0.9589375236136493,0.9273131970869458,3.0
-33.2,-52.6,268,1.4813432835820894,1.4813432835820894,0.8550198444919944,1.0359809136471783,3.0
-33.2,-52.4,265,1.5660377358490567,1.5660377358490567,0.9139960327524204,0.9804966646219289,3.0
-33.2,-52.2,271,1.5867158671586716,1.5867158671586716,0.8875291913962232,0.840217985059608,3.0
-33.0,-52.4,227,1.4581497797356828,1.4581497797356828,0.8042761000453895,0.9597166310817449,3.0
-33.0,-52.2,246,1.5365853658536586,1.5365853658536586,0.8678786991266744,0.8854906935817127,3.0
-32.8,-52.4,196,1.403061224489796,1.403061224489796,0.772522754515596,0.9492642387160842,3.0
-32.8,-52.2,218,1.4862385321100917,1.4862385321100917,0.8203956744295856,0.9105389341226344,3.0
-32.8,-52.0,242,1.5661157024793388,1.5661157024793388,0.8723556659288224,0.8460890666590289,3.0
-32.6,-52.2,186,1.4193548387096775,1.4193548387096775,0.7673837535721539,0.8803925542921199,3.0
-32.6,-52.0,226,1.5442477876106195,1.5442477876106195,0.8619505543741335,0.8712080910073625,3.0
-32.4,-52.2,180,1.4,1.4,0.7570449458904588,0.9061655372179402,2.049999999999983
-32.4,-52.0,221,1.4615384615384615,1.4615384615384615,0.794377644059441,0.87000327825397,3.0
-32.4,-51.8,245,1.5673469387755101,1.5673469387755101,0.8698425601421453,0.8552987813729998,3.0
-32.2,-52.0,245,1.4285714285714286,1.4285714285714286,0.7810772786301504,0.8956551090135013,3.0
-32.2,-51.8,256,1.515625,1.515625,0.824135819616364,0.8770294846788029,3.0
-32.2,-51.6,266,1.593984962406015,1.593984962406015,0.8445037890695337,0.8209874088997671,3.0
-32.0,-51.8,268,1.421641791044776,1.421641791044776,0.7244657020627112,0.864877632726848,3.0
-32.0,-51.6,251,1.5338645418326693,1.5338645418326693,0.7930229471723415,0.8556149456552206,3.0
-32.0,-51.4,256,1.59375,1.59375,0.8252064667184293,0.7920401805450528,3.25
-32.0,-51.2,254,1.6653543307086613,1.6653543307086613,0.8260647582582509,0.7060716680619012,4.0
-31.8,-51.4,255,1.5294117647058822,1.5294117647058822,0.7783105051248742,0.8425764935467056,3.0
-31.8,-51.2,252,1.626984126984127,1.626984126984127,0.8280658333079912,0.7790881556249137,3.0
-31.8,-51.0,245,1.6979591836734693,1.6979591836734693,0.8220139732779254,0.6733443308166854,4.0
-31.6,-51.2,249,1.5301204819277108,1.5301204819277108,0.7556940509700333,0.8084707571405014,3.0
-31.6,-51.0,246,1.6097560975609757,1.6097560975609757,0.7941668922676431,0.7328961793001958,3.0
-31.6,-50.8,241,1.6887966804979253,1.6887966804979253,0.7678104314321762,0.6061824243753342,4.0
-31.4,-50.8,221,1.6063348416289593,1.6063348416289593,0.7803186692516187,0.6923145945136902,3.0
-31.4,-50.6,243,1.683127572016461,1.683127572016461,0.7413006684704646,0.5532938178165856,4.0
-31.2,-50.8,229,1.519650655021834,1.519650655021834,0.7435385574790314,0.7338727324948903,3.0
-31.2,-50.6,240,1.625,1.625,0.7283181521594487,0.6360537940395823,3.0
-31.2,-50.4,250,1.628,1.628,0.6799905070119057,0.4909151129310684,3.549999999999983
-31.0,-50.6,206,1.5242718446601942,1.5242718446601942,0.693705826485514,0.6787046993761213,3.0
-31.0,-50.4,234,1.641025641025641,1.641025641025641,0.7169494584627034,0.5980449505499205,3.0
-31.0,-50.2,245,1.6408163265306122,1.6408163265306122,0.6833258697301736,0.4750406495781178,3.799999999999983
-30.8,-50.4,216,1.5555555555555556,1.5555555555555556,0.70418212044859,0.6632171636092067,3.0
-30.8,-50.2,240,1.625,1.625,0.7089010309517678,0.5723688226234863,4.0
-30.6,-50.4,129,1.4186046511627908,1.4186046511627908,0.5990992797884428,0.6508593349834967,3.0
-30.6,-50.2,214,1.5700934579439252,1.5700934579439252,0.6939212509042089,0.6393269723079137,3.0
-30.6,-50.0,235,1.6595744680851063,1.6595744680851063,0.7169433793867506,0.5568094135773104,3.299999999999983
-30.4,-50.2,157,1.484076433121019,1.484076433121019,0.6207016299113854,0.6408023579925107,3.0
-30.4,-50.0,217,1.6175115207373272,1.6175115207373272,0.6929332762305463,0.6091446935862116,3.0
-30.4,-49.8,238,1.6638655462184875,1.6638655462184875,0.7051275387809374,0.5285828801149025,4.0
-30.2,-50.0,172,1.5872093023255813,1.5872093023255813,0.6640744575687154,0.6308967852850765,3.0
-30.2,-49.8,220,1.6363636363636365,1.6363636363636365,0.6934903420159653,0.5644543042625676,3.0
-30.0,-50.0,129,1.4728682170542635,1.4728682170542635,0.6008841982347657,0.6157364635574957,3.0
-30.0,-49.8,206,1.6310679611650485,1.6310679611650485,0.6982023637551503,0.5966581270649473,3.0
-29.8,-49.8,199,1.5728643216080402,1.5728643216080402,0.6696180246548562,0.6131823544720155,3.0
-29.8,-49.6,230,1.708695652173913,1.708695652173913,0.7211787621991561,0.5790219774642024,3.0
-29.6,-49.8,172,1.4825581395348837,1.4825581395348837,0.6029082474483336,0.613034453439352,3.0
-29.6,-49.6,216,1.6527777777777777,1.6527777777777777,0.701437948340508,0.6064315660378227,3.0
-29.6,-49.4,234,1.7435897435897436,1.7435897435897436,0.7269429929863183,0.5498700681247424,4.0
-29.4,-49.6,198,1.5757575757575757,1.5757575757575757,0.6544875342610018,0.6192976846228814,3.0
-29.4,-49.4,232,1.7025862068965518,1.7025862068965518,0.6947007601968308,0.5771668673984193,3.0
-29.4,-49.2,249,1.783132530120482,1.783132530120482,0.7072743342242451,0.5112844526617163,4.0
-29.2,-49.4,221,1.6561085972850678,1.6561085972850678,0.6735861982076242,0.6165131058831538,3.0
-29.2,-49.2,250,1.744,1.744,0.6988765368238016,0.5514830582319794,4.0
-29.2,-49.0,255,1.7843137254901962,1.7843137254901962,0.6891782867274981,0.463294237471833,4.0
-29.0,-49.4,202,1.504950495049505,1.504950495049505,0.6002181783631215,0.6010871940010288,3.0
-29.0,-49.2,249,1.7068273092369477,1.7068273092369477,0.679026667724204,0.6011625953684848,3.0
-29.0,-49.0,260,1.7692307692307692,1.7692307692307692,0.6934110285924878,0.5111792833189047,4.0
-29.0,-48.8,260,1.8,1.8,0.6796149173493427,0.417015651106939,4.0
-29.0,-48.6,263,1.7718631178707225,1.768060836501901,0.6405652007731057,0.3233669092266596,3.0
-28.8,-49.0,261,1.7509578544061302,1.7509578544061302,0.6931259871982072,0.6050616483696393,4.0
-28.8,-48.8,269,1.762081784386617,1.762081784386617,0.687952289909907,0.48078098347190945,4.0
-28.8,-48.6,273,1.7655677655677655,1.7655677655677655,0.6485906296107151,0.36946362025972174,4.0
-28.8,-48.4,254,1.7992125984251968,1.7755905511811023,0.6398376214130186,0.2859094825351323,3.0
-28.6,-48.8,278,1.7805755395683454,1.7805755395683454,0.6995233393441772,0.5943173215393154,4.0
-28.6,-48.6,265,1.7849056603773585,1.7849056603773585,0.6563610322304945,0.43985392195202627,4.0
-28.6,-48.4,267,1.7790262172284643,1.7715355805243447,0.619324033754484,0.31718712448105035,4.0
-28.4,-48.6,248,1.653225806451613,1.653225806451613,0.558480347548637,0.4668002437343615,3.0
-28.4,-48.4,271,1.7564575645756457,1.7490774907749078,0.592801966505641,0.35266984324715317,4.0
-28.2,-48.6,203,1.4729064039408868,1.4729064039408868,0.4779999026103012,0.43687496726169606,3.0
-28.2,-48.4,259,1.6756756756756757,1.6718146718146718,0.537980497116399,0.37047271594158193,3.0
-28.2,-48.2,271,1.7306273062730628,1.6937269372693726,0.5589309597221819,0.2802225076044371,3.5
