grid_lat_mhws,grid_lon_mhws,compound_count_total_mhws,mean_integrated_severity_mhws,compound_count_annual_mean_mhws,mean_overlap_duration_mhws,mean_full_criterion_duration_mhws,mean_compound_intensity_norm_mhws,thr_hs_abs_mhws,thr_zos_abs_mhws,mhws_m,Hazard_Frequency_mhws,Hazard_Severity_mhws,Hazard_Index_raw_mhws,Hazard_Index_mhws,Hazard_Duration_mhws,Hazard_Peak_Intensity_mhws,grid_lat_hat,grid_lon_hat,compound_count_total_hat,mean_integrated_severity_hat,compound_count_annual_mean_hat,mean_overlap_duration_hat,mean_full_criterion_duration_hat,mean_compound_intensity_norm_hat,thr_hs_abs_hat,thr_zos_abs_hat,Hazard_Frequency_hat,Hazard_Severity_hat,Hazard_Index_raw_hat,Hazard_Index_hat,Hazard_Duration_hat,Hazard_Peak_Intensity_hat,latitude_band
-35.0,-54.8,344,0.8789,10.43,1.56,1.56,0.5544,2.14,0.398495,0.099642,1.0,0.8378651685393258,0.918932584269663,0.9962108534544586,0.03769633507853404,0.8752941176470589,-35.0,-54.8,344,0.7908,10.43,1.56,1.56,0.5117,2.14,0.398495,1.0,1.0,1.0,1.0,0.03183673469387755,1.0,RS
-35.0,-54.6,323,0.8944,9.79,1.59,1.59,0.5567,2.34,0.359741,0.11343,0.9373134328358209,0.8552808988764043,0.8962971658561126,0.9713896908733151,0.04083769633507854,0.8798039215686274,-35.0,-54.6,309,0.7652,9.36,1.61,1.59,0.4939,2.34,0.359741,0.8982558139534884,0.9676277187658068,0.9329417663596475,0.9329417663596475,0.03285714285714286,0.9652139925737736,RS
-35.0,-54.4,317,0.873,9.61,1.57,1.57,0.5493,2.498,0.321151,0.12276,0.9194029850746268,0.8312359550561796,0.8753194700654032,0.9483863256036337,0.03874345549738221,0.8652941176470589,-35.0,-54.4,287,0.6974,8.7,1.62,1.53,0.4649,2.498,0.321151,0.8343023255813954,0.8818917551846233,0.8580970403830093,0.8580970403830093,0.03306122448979592,0.9085401602501465,RS
-35.0,-54.2,307,0.8552,9.3,1.56,1.56,0.5441,2.6,0.293137,0.128753,0.8895522388059701,0.8112359550561796,0.8503940969310748,0.9210540833777744,0.03769633507853404,0.8550980392156864,-35.0,-54.2,252,0.6497,7.64,1.66,1.5,0.4507,2.6,0.293137,0.7325581395348837,0.8215730905412242,0.7770656150380539,0.7770656150380539,0.03387755102040816,0.8807895251123704,RS
-35.0,-54.0,295,0.865,8.94,1.63,1.63,0.5363,2.67,0.27192,0.132173,0.8537313432835821,0.8222471910112359,0.837989267147409,0.9074514058735909,0.04502617801047119,0.8398039215686275,-35.0,-54.0,214,0.6349,6.49,1.79,1.53,0.4362,2.67,0.27192,0.622093023255814,0.8028578654527062,0.71247544435426,0.71247544435426,0.03653061224489796,0.8524526089505569,RS
-34.8,-54.4,325,0.8948,9.85,1.54,1.54,0.5741,2.19,0.401081,0.121316,0.9432835820895522,0.8557303370786516,0.8995069595841019,0.9749094319498335,0.035602094240837705,0.9139215686274511,-34.8,-54.4,321,0.7598,9.73,1.54,1.53,0.5039,2.19,0.401081,0.9331395348837209,0.9607991906929693,0.9469693627883451,0.9469693627883451,0.03142857142857143,0.9847566933750244,RS
-34.8,-54.2,315,0.9253,9.55,1.58,1.58,0.5813,2.43,0.36329,0.127185,0.9134328358208955,0.8899999999999999,0.9017164179104478,0.9773322422258592,0.03979057591623038,0.9280392156862746,-34.8,-54.2,294,0.7466,8.91,1.62,1.57,0.4926,2.43,0.36329,0.8546511627906976,0.9441072331815884,0.899379197986143,0.899379197986143,0.03306122448979592,0.962673441469611,RS
-34.8,-54.0,298,0.9332,9.03,1.62,1.62,0.5776,2.58,0.324033,0.130959,0.8626865671641791,0.898876404494382,0.8807814858292806,0.9543757700582947,0.04397905759162305,0.9207843137254902,-34.8,-54.0,252,0.7203,7.64,1.69,1.59,0.4779,2.58,0.324033,0.7325581395348837,0.9108497723823977,0.8217039559586408,0.8217039559586408,0.034489795918367344,0.9339456712917724,RS
-34.8,-53.8,289,0.9142,8.76,1.63,1.63,0.5653,2.7,0.285091,0.132435,0.835820895522388,0.8775280898876403,0.8566744927050142,0.9279409330807847,0.04502617801047119,0.8966666666666667,-34.8,-53.8,223,0.6536,6.76,1.74,1.52,0.4522,2.7,0.285091,0.6482558139534884,0.8265048052604957,0.7373803096069921,0.7373803096069921,0.035510204081632656,0.883720930232558,RS
-34.8,-53.6,284,0.8621,8.61,1.6,1.6,0.5437,2.85,0.25258,0.131122,0.8208955223880597,0.8189887640449437,0.8199421432165017,0.8876615973077843,0.04188481675392671,0.854313725490196,-34.8,-53.6,193,0.5665,5.85,1.76,1.42,0.4102,2.85,0.25258,0.561046511627907,0.7163631765300962,0.6387048440790015,0.6387048440790015,0.035918367346938776,0.801641586867305,RS
-34.6,-54.0,291,0.9308,8.82,1.57,1.57,0.5926,2.3,0.386609,0.130876,0.8417910447761194,0.8961797752808988,0.868985410028509,0.9414406296548299,0.03874345549738221,0.9501960784313725,-34.6,-54.0,276,0.7237,8.36,1.59,1.53,0.4871,2.3,0.386609,0.8023255813953488,0.9151492159838139,0.8587373986895814,0.8587373986895814,0.032448979591836735,0.951924956028923,RS
-34.6,-53.8,287,0.9643,8.7,1.62,1.62,0.5966,2.47,0.349696,0.131571,0.8298507462686567,0.9338202247191011,0.8818354854938789,0.9555315471045809,0.04397905759162305,0.9580392156862746,-34.6,-53.8,251,0.723,7.61,1.68,1.58,0.484,2.47,0.349696,0.7296511627906976,0.9142640364188164,0.821957599604757,0.821957599604757,0.03428571428571429,0.9458667187805354,RS
-34.6,-53.6,283,0.9812,8.58,1.68,1.68,0.592,2.69,0.30852,0.130563,0.817910447761194,0.9528089887640447,0.8853597182626194,0.959396090402545,0.05026178010471204,0.9490196078431372,-34.6,-53.6,229,0.6786,6.94,1.78,1.55,0.4614,2.69,0.30852,0.6656976744186046,0.8581183611532626,0.7619080177859336,0.7619080177859336,0.036326530612244896,0.9017002149697086,RS
-34.6,-53.4,278,0.9257,8.43,1.67,1.67,0.563,2.85,0.268576,0.127997,0.8029850746268656,0.8904494382022471,0.8467172564145564,0.9170221960683352,0.04921465968586387,0.892156862745098,-34.6,-53.4,200,0.6023,6.06,1.78,1.47,0.427,2.85,0.268576,0.5813953488372093,0.7616337885685381,0.6715145687028737,0.6715145687028737,0.036326530612244896,0.8344733242134063,RS
-34.4,-53.8,309,0.8201,9.36,1.5,1.5,0.5394,1.59,0.399249,0.13174,0.8955223880597015,0.7717977528089888,0.8336600704343451,0.9027041688887254,0.03141361256544503,0.8458823529411764,-34.4,-53.8,286,0.6012,8.67,1.53,1.47,0.4175,1.59,0.399249,0.8313953488372093,0.7602427921092565,0.7958190704732329,0.7958190704732329,0.031224489795918367,0.815907758452218,RS
