municipality_code,municipality_name,state,grid_lat,grid_lon,Hazard_Index_mhws,Hazard_Index_mun_mhws,Risk_Hazard_mhws,Hazard_Index_hat,Hazard_Index_mun_hat,Risk_Hazard_hat,Exposure_Index,SVI_Coast_2022,compound_count_total_mhws,compound_count_total_hat,rank_mhws,rank_hat,rank_change_hat_minus_mhws
4318507,São José do Norte,RS,-32.0,-51.8,0.7767070008643042,0.8377843122419641,0.8671644724074848,0.6625127924621519,0.9452527257202676,1.0,0.7741153542984256,37.959069,268.0,232.0,4.0,1.0,3.0
3302502,Magé,RJ,-23.0,-43.0,0.6754877802092718,0.7252311203175257,0.8311769497275548,0.5527483208055428,0.7886441783817918,0.9511252086537707,0.765403576106481,40.132702,245.0,149.0,6.0,2.0,4.0
4321352,Tavares,RS,-31.2,-50.8,0.7245820997076078,0.7798227515229096,0.7733834406487985,0.6730180506052159,0.9602413025554744,0.936058372362695,0.6498582726947408,37.170627,229.0,219.0,14.0,3.0,11.0
3302700,Maricá,RJ,-23.0,-42.8,0.6756909836517773,0.7254570773631936,0.8226889414890534,0.5353623354624696,0.7638383931624649,0.9316358663313126,0.9018539919058961,33.24067,242.0,147.0,7.0,4.0,3.0
3550704,São Sebastião,SP,-23.8,-45.6,0.7777046286250207,0.8388936488688855,0.7856893885032386,0.6866640787662773,0.9797110327422099,0.9304173165985035,0.8529838105934214,27.303847,323.0,234.0,13.0,5.0,8.0
3301702,Duque de Caxias,RJ,-23.0,-43.0,0.6754877802092718,0.7252311203175257,0.7959584058348145,0.5527483208055428,0.7886441783817918,0.9164028789833953,0.8755686950256317,31.709625,245.0,149.0,11.0,6.0,5.0
4312500,Mostardas,RS,-31.0,-50.6,0.6562597693962743,0.7038500626749633,0.7523630972497837,0.5873703109009423,0.8380417611604006,0.9031910696318568,0.7077484820212753,35.490701,206.0,185.0,21.0,7.0,14.0
3305505,Saquarema,RJ,-23.0,-42.6,0.6747751889516174,0.724438737012582,0.814373963889131,0.5005366952512028,0.7141502487082069,0.9013739233058972,0.8487545260584812,34.539612,244.0,130.0,10.0,8.0,2.0
3506359,Bertioga,SP,-23.8,-45.8,0.7673136688795307,0.8273391666376977,0.754164244951947,0.6804082706943807,0.9707854396082767,0.9001543928596512,0.8377678695115731,25.647745,313.0,229.0,20.0,9.0,11.0
3303807,Paraty,RJ,-23.2,-44.4,0.6386629029588627,0.684282795978169,0.7617268596095137,0.5428672465916176,0.7745461678376547,0.8958254462782468,0.812395799789206,32.719805,256.0,173.0,17.0,10.0,7.0
3518701,Guarujá,SP,-24.0,-46.2,0.6847790507364976,0.7355627761839229,0.7584099341398537,0.5850206149792381,0.8346892878196966,0.8933417538899002,0.9298680297383769,26.327825,287.0,199.0,18.0,11.0,7.0
3304904,São Gonçalo,RJ,-23.0,-43.0,0.6754877802092718,0.7252311203175257,0.7318502045792445,0.5527483208055428,0.7886441783817918,0.8531979348678748,0.9577576597011417,23.894201,245.0,149.0,26.0,12.0,14.0
3300100,Angra dos Reis,RJ,-23.2,-44.2,0.6841354199231321,0.7348470751342961,0.7209836843627657,0.5701181317711825,0.8134268865005255,0.8480635130821995,0.8971806793453304,24.331508,258.0,173.0,28.0,13.0,15.0
4109500,Guaraqueçaba,PR,-25.4,-48.0,0.5944307545192078,0.6350977749876797,0.8337955145945329,0.3512707179070944,0.5011821769258366,0.8472366408558424,0.6547415098773727,53.971081,256.0,112.0,5.0,14.0,-9.0
4202073,Balneário Gaivota,SC,-29.2,-49.4,0.6684271501866529,0.7173798798031208,0.7002519833220651,0.5781391525802543,0.8248710304764582,0.839291713979614,0.7409983780943111,28.249471,221.0,185.0,34.0,15.0,19.0
4208807,Jaguaruna,SC,-28.8,-49.0,0.7459065080269957,0.8035349497271133,0.689962142396951,0.6594845078872147,0.9409320631137723,0.8345978003423025,0.7130407515146059,25.350729,261.0,223.0,38.0,16.0,22.0
4209409,Laguna,SC,-28.6,-48.8,0.7776724470843525,0.8388578638164043,0.6757506541419579,0.7008842973262284,1.0,0.8257125402523467,0.8110753253756267,20.375638,278.0,242.0,45.0,17.0,28.0
3302601,Mangaratiba,RJ,-23.0,-44.0,0.5453152871512901,0.5804826278906654,0.698328819928698,0.4501821823058193,0.6423059897663549,0.8254756763669496,0.8064305708554615,31.880772,252.0,165.0,35.0,18.0,17.0
4212254,Passo de Torres,SC,-29.4,-49.6,0.6190174515897681,0.66243755508342,0.6803671172328272,0.5402153838914965,0.7707625722995073,0.8229389061501732,0.7262948793004312,29.256007,198.0,168.0,40.0,19.0,21.0
3555406,Ubatuba,SP,-23.6,-45.0,0.5212719983817282,0.5537471039668241,0.6712830030164408,0.4580319017538907,0.6535057262678244,0.8180949024902984,0.8611746545384382,28.643555,218.0,152.0,46.0,20.0,26.0
4315602,Rio Grande,RS,-32.4,-52.2,0.6527023299435444,0.6998942807306694,0.7132482749814247,0.5021078154591759,0.7163918743430895,0.8162524639821794,0.9005744797291246,24.835359,180.0,143.0,32.0,21.0,11.0
3300209,Araruama,RJ,-23.0,-42.4,0.6725776494602697,0.7219951291431422,0.7381479615636448,0.4787343696698074,0.6830433660678509,0.8160330471732248,0.6770545984073242,34.622273,234.0,115.0,24.0,22.0,2.0
4212304,Paulo Lopes,SC,-28.0,-48.4,0.5990281174718181,0.640209925342156,0.6793632490115155,0.4998757513733517,0.7132072344612441,0.8087097873603669,0.6626531170207797,33.06963,243.0,169.0,41.0,23.0,18.0
3551009,São Vicente,SP,-24.0,-46.4,0.711372036999577,0.7651334986943567,0.6769465733575342,0.5983600651680372,0.8537216020542817,0.8067832674110733,0.9377071420543162,19.398694,297.0,201.0,43.0,24.0,19.0
3302007,Itaguaí,RJ,-23.0,-44.0,0.5453152871512901,0.5804826278906654,0.6783561415792589,0.4501821823058193,0.6423059897663549,0.8056699947682486,0.8356705674957089,28.825207,252.0,165.0,42.0,25.0,17.0
