municipality_name,state,Risk_Hazard,rank_published,rank_median,rank_ci_low,rank_ci_high,share_of_draws_at_zero_risk,ci_width
Axixá,MA,0.306858,77,78.0,64.0,133.0,0.34,69.0
Biguaçu,SC,0.306858,77,73.0,63.0,84.0,0.0,21.0
Tramandaí,RS,0.305599,79,74.0,64.0,83.0,0.0,19.0
Guaratuba,PR,0.304095,80,75.0,62.0,89.04999999999995,0.0,27.049999999999955
Santa Cruz Cabrália,BA,0.302006,81,81.0,65.0,195.0,0.365,130.0
Quatipuru,PA,0.301001,82,76.0,57.0,113.0,0.019,56.0
Caraguatatuba,SP,0.299897,83,78.0,67.0,88.0,0.0,21.0
Pontal do Paraná,PR,0.298846,84,78.5,66.0,94.0,0.0,28.0
Capão da Canoa,RS,0.297574,85,80.0,69.0,89.0,0.0,20.0
Paulo Lopes,SC,0.296219,86,81.0,70.0,90.0,0.0,20.0
Praia Grande,SP,0.294167,87,83.0,71.0,90.0,0.0,19.0
Balneário Barra do Sul,SC,0.287834,88,86.0,72.0,103.0,0.0,31.0
Ituberá,BA,0.287083,89,91.0,75.0,133.0,0.34,58.0
Piúma,ES,0.28702,90,86.0,72.0,105.04999999999995,0.0,33.049999999999955
Casimiro de Abreu,RJ,0.286142,91,87.0,74.95,102.0,0.0,27.049999999999997
Guarapari,ES,0.285058,92,87.0,72.95,107.04999999999995,0.0,34.09999999999995
Carapebus,RJ,0.281632,93,91.0,78.0,104.04999999999995,0.0,26.049999999999955
São Luís,MA,0.280474,94,96.0,83.0,133.0,0.34,50.0
Mucuri,BA,0.280322,95,95.0,43.0,152.0,0.04,109.0
Porto Belo,SC,0.280167,96,91.0,77.0,108.0,0.0,31.0
Barra Velha,SC,0.279626,97,92.0,78.0,110.0,0.0,32.0
Niterói,RJ,0.279088,98,93.0,80.0,102.0,0.0,22.0
Nilo Peçanha,BA,0.274842,99,100.0,84.0,133.0,0.34,49.0
Rio de Janeiro,RJ,0.274833,100,97.0,83.0,107.0,0.0,24.0
Bombinhas,SC,0.273927,101,96.0,81.0,112.04999999999995,0.0,31.049999999999955
Bequimão,MA,0.269085,102,105.0,92.95,133.0,0.34,40.05
Paço do Lumiar,MA,0.269005,103,106.0,94.0,133.0,0.34,39.0
Jaguaripe,BA,0.26884,104,105.0,88.0,133.0,0.34,45.0
Vera Cruz,BA,0.26839,105,106.5,89.95,133.0,0.34,43.05
Araranguá,SC,0.267738,106,102.0,84.0,113.0,0.0,29.0
Bacurituba,MA,0.264216,107,111.0,99.0,133.0,0.34,34.0
Magalhães Barata,PA,0.263611,108,104.0,72.0,140.0,0.005,68.0
Florianópolis,SC,0.261843,109,106.0,87.0,118.0,0.0,31.0
Santos,SP,0.261002,110,107.0,88.0,117.0,0.0,29.0
Cururupu,MA,0.258674,111,114.0,101.0,133.0,0.34,32.0
Quissamã,RJ,0.258615,112,109.0,89.0,120.0,0.0,31.0
Tutóia,MA,0.258183,113,114.0,95.0,133.0,0.34,38.0
Porto Seguro,BA,0.255039,114,115.0,69.0,188.0,0.123,119.0
Presidente Kennedy,ES,0.254609,115,109.0,89.0,128.0,0.0,39.0
Bragança,PA,0.254169,116,105.0,80.0,188.0,0.043,108.0
Matinhos,PR,0.253096,117,111.0,90.0,129.0,0.0,39.0
Itaboraí,RJ,0.252394,118,113.0,92.0,123.0,0.0,31.0
Tijucas,SC,0.250529,119,113.0,91.0,129.0,0.0,38.0
Belmonte,BA,0.249754,120,113.0,84.0,188.0,0.123,104.0
Baía Formosa,RN,0.249045,121,120.0,104.0,133.0,0.34,29.0
São José,SC,0.248551,122,116.0,93.0,128.0,0.0,35.0
Canavieiras,BA,0.248111,123,122.0,98.0,195.0,0.365,97.0
Conceição da Barra,ES,0.245541,124,116.0,91.0,157.0,0.04,66.0
Caravelas,BA,0.24388,125,117.0,62.0,186.0,0.039,124.0
Rosário,MA,0.239519,126,126.0,115.0,133.0,0.34,18.0
Turiaçu,MA,0.238291,127,121.0,95.0,148.0,0.112,53.0
Maraú,BA,0.237973,128,126.0,110.0,133.0,0.34,23.0
Igrapiúna,BA,0.236491,129,128.0,116.0,134.0,0.34,18.0
Araquari,SC,0.23612,130,123.0,97.0,140.0,0.0,43.0
Santa Vitória do Palmar,RS,0.234787,131,126.0,100.0,138.0,0.0,38.0
Balneário Piçarras,SC,0.234542,132,124.0,97.0,140.0,0.0,43.0
Fundão,ES,0.234379,133,123.0,97.0,142.0,0.0,45.0
Camamu,BA,0.233191,134,130.0,119.0,136.0,0.34,17.0
Terra de Areia,RS,0.231011,135,128.0,100.0,141.0,0.0,41.0
Penha,SC,0.229737,136,129.0,100.0,144.0,0.0,44.0
Cairu,BA,0.22785,137,131.0,119.0,139.0,0.34,20.0
Humberto de Campos,MA,0.227714,138,131.0,121.0,140.0,0.34,19.0
Itapema,SC,0.226699,139,131.0,101.95,146.0,0.0,44.05
Valença,BA,0.223137,140,133.0,124.0,143.0,0.34,19.0
Augusto Corrêa,PA,0.222441,141,126.0,99.0,182.0,0.043,83.0
Aracruz,ES,0.221748,142,133.0,105.0,150.0,0.0,45.0
Baía da Traição,PB,0.217754,143,133.0,117.0,145.0,0.34,28.0
Soure,PA,0.217272,144,135.0,103.0,195.0,0.377,92.0
Pitimbu,PB,0.216984,145,134.0,120.0,147.0,0.34,27.0
Serra,ES,0.216402,146,138.0,106.0,155.0,0.0,49.0
Lauro de Freitas,BA,0.2145,147,138.0,127.0,149.0,0.34,22.0
Vila Velha,ES,0.213452,148,141.0,108.0,158.0,0.0,50.0
Navegantes,SC,0.213029,149,141.0,107.0,157.0,0.0,50.0
Amapá,AP,0.204642,150,146.0,111.0,195.0,0.377,84.0
Paulino Neves,MA,0.201468,151,144.0,127.0,153.0,0.34,26.0
Senador Georgino Avelino,RN,0.200653,152,143.0,127.0,153.0,0.34,26.0
Amontada,CE,0.200118,153,145.0,127.0,154.0,0.34,27.0
Tibau do Sul,RN,0.200063,154,145.0,127.0,155.0,0.34,28.0
Serrano do Maranhão,MA,0.199824,155,149.0,127.0,158.0,0.34,31.0
Osório,RS,0.197916,156,151.0,112.0,164.0,0.0,52.0
Salvador,BA,0.196715,157,151.0,127.0,160.0,0.34,33.0
Extremoz,RN,0.193027,158,154.0,127.0,162.0,0.34,35.0
Campos dos Goytacazes,RJ,0.191218,159,156.0,115.0,169.0,0.0,54.0
Itarema,CE,0.191149,160,149.0,127.0,162.0,0.34,35.0
Nísia Floresta,RN,0.189369,161,155.0,127.0,163.0,0.34,36.0
Bacabeira,MA,0.18871,162,159.0,127.0,167.0,0.34,40.0
Tracuateua,PA,0.188675,163,156.0,115.0,173.0,0.019,58.0
Luís Correia,PI,0.188008,164,152.0,127.0,165.0,0.34,38.0
Marcação,PB,0.184029,165,158.0,127.0,167.0,0.34,40.0
Bacuri,MA,0.182223,166,160.0,117.0,175.0,0.112,58.0
Cajueiro da Praia,PI,0.181598,167,153.0,126.95,169.0,0.34,42.05
Conde,PB,0.180449,168,161.0,127.0,170.0,0.34,43.0
Macapá,AP,0.178303,169,161.0,117.0,196.0,0.384,79.0
Araioses,MA,0.177877,170,163.0,127.0,172.0,0.34,45.0
Vitória,ES,0.175936,171,165.0,119.0,175.0,0.0,56.0
Apicum-Açu,MA,0.175136,172,165.0,127.0,173.0,0.34,46.0
São Mateus,ES,0.173327,173,167.0,120.0,183.0,0.04,63.0
Vigia,PA,0.171897,174,160.0,113.0,192.04999999999995,0.119,79.04999999999995
Itajaí,SC,0.170952,175,168.0,119.0,177.0,0.0,58.0
Colares,PA,0.162545,176,167.0,117.0,193.0,0.119,76.0
Ceará-Mirim,RN,0.16213,177,170.0,127.0,177.0,0.34,50.0
Cândido Mendes,MA,0.161167,178,171.0,122.0,182.0,0.112,60.0
Goiana,PE,0.157852,179,170.0,127.0,178.0,0.34,51.0
Mataraca,PB,0.157728,180,173.0,127.0,179.0,0.34,52.0
São João Batista,MA,0.155519,181,175.0,127.0,181.0,0.34,54.0
Itacaré,BA,0.148018,182,173.0,127.0,181.0,0.34,54.0
Barreirinhas,MA,0.141982,183,177.0,127.0,183.0,0.34,56.0
Natal,RN,0.141256,184,178.0,127.0,184.0,0.34,57.0
Santo Amaro do Maranhão,MA,0.134754,185,181.0,127.0,186.0,0.34,59.0
Balneário Camboriú,SC,0.130837,186,183.0,124.0,192.0,0.0,68.0
Camaçari,BA,0.130631,187,181.0,127.0,187.0,0.34,60.0
Linhares,ES,0.129568,188,184.0,124.0,191.04999999999995,0.0,67.04999999999995
Ilha Grande,PI,0.127285,189,182.0,127.0,189.0,0.34,62.0
Canguaretama,RN,0.12689,190,184.0,127.0,190.0,0.34,63.0
Rio Tinto,PB,0.122854,191,185.0,127.0,191.0,0.34,64.0
João Pessoa,PB,0.121934,192,185.0,127.0,192.0,0.34,65.0
Parnaíba,PI,0.118977,193,187.0,127.0,193.0,0.34,66.0
Parnamirim,RN,0.11765,194,190.0,127.0,194.0,0.34,67.0
Uruçuca,BA,0.108079,195,190.0,127.0,195.0,0.34,68.0
Oiapoque,AP,0.071752,196,192.0,126.0,196.0,0.119,70.0
Una,BA,0.0,197,193.0,127.0,197.0,1.0,70.0
Ilhéus,BA,0.0,197,193.0,127.0,197.0,1.0,70.0
Paracuru,CE,0.0,197,193.0,127.0,197.0,1.0,70.0
Rio do Fogo,RN,0.0,197,193.0,127.0,197.0,1.0,70.0
Caucaia,CE,0.0,197,193.0,127.0,197.0,1.0,70.0
Trairi,CE,0.0,197,193.0,127.0,197.0,1.0,70.0
Paraipaba,CE,0.0,197,193.0,127.0,197.0,1.0,70.0
Itapipoca,CE,0.0,197,193.0,127.0,197.0,1.0,70.0
Barroquinha,CE,0.0,197,193.0,127.0,197.0,1.0,70.0
Camocim,CE,0.0,197,193.0,127.0,197.0,1.0,70.0
Porto do Mangue,RN,0.0,197,193.0,127.0,197.0,1.0,70.0
São Bento do Norte,RN,0.0,197,193.0,127.0,197.0,1.0,70.0
Pedra Grande,RN,0.0,197,193.0,127.0,197.0,1.0,70.0
Icapuí,CE,0.0,197,193.0,127.0,197.0,1.0,70.0
Aracati,CE,0.0,197,193.0,127.0,197.0,1.0,70.0
Beberibe,CE,0.0,197,193.0,127.0,197.0,1.0,70.0
Cascavel,CE,0.0,197,193.0,127.0,197.0,1.0,70.0
Aquiraz,CE,0.0,197,193.0,127.0,197.0,1.0,70.0
Maxaranguape,RN,0.0,197,193.0,127.0,197.0,1.0,70.0
Touros,RN,0.0,197,193.0,127.0,197.0,1.0,70.0
Macau,RN,0.0,197,193.0,127.0,197.0,1.0,70.0
Galinhos,RN,0.0,197,193.0,127.0,197.0,1.0,70.0
São Miguel do Gostoso,RN,0.0,197,193.0,127.0,197.0,1.0,70.0
Grossos,RN,0.0,197,193.0,127.0,197.0,1.0,70.0
Salvaterra,PA,0.0,197,193.0,127.0,197.0,1.0,70.0
Jijoca de Jericoacoara,CE,0.0,197,193.0,127.0,197.0,1.0,70.0
Cruz,CE,0.0,197,193.0,127.0,197.0,1.0,70.0
Acaraú,CE,0.0,197,193.0,127.0,197.0,1.0,70.0
Areia Branca,RN,0.0,197,193.0,127.0,197.0,1.0,70.0
Cabedelo,PB,0.0,197,193.0,127.0,197.0,1.0,70.0
Maceió,AL,0.0,197,193.0,127.0,197.0,1.0,70.0
Porto de Pedras,AL,0.0,197,193.0,127.0,197.0,1.0,70.0
Maragogi,AL,0.0,197,193.0,127.0,197.0,1.0,70.0
Barreiros,PE,0.0,197,193.0,127.0,197.0,1.0,70.0
Cabo de Santo Agostinho,PE,0.0,197,193.0,127.0,197.0,1.0,70.0
Recife,PE,0.0,197,193.0,127.0,197.0,1.0,70.0
Olinda,PE,0.0,197,193.0,127.0,197.0,1.0,70.0
Igarassu,PE,0.0,197,193.0,127.0,197.0,1.0,70.0
Aracaju,SE,0.0,197,193.0,127.0,197.0,1.0,70.0
Barra dos Coqueiros,SE,0.0,197,193.0,127.0,197.0,1.0,70.0
Pirambu,SE,0.0,197,193.0,127.0,197.0,1.0,70.0
Pacatuba,SE,0.0,197,193.0,127.0,197.0,1.0,70.0
Piaçabuçu,AL,0.0,197,193.0,127.0,197.0,1.0,70.0
Coruripe,AL,0.0,197,193.0,127.0,197.0,1.0,70.0
Jequiá da Praia,AL,0.0,197,193.0,127.0,197.0,1.0,70.0
Marechal Deodoro,AL,0.0,197,193.0,127.0,197.0,1.0,70.0
Mata de São João,BA,0.0,197,193.0,127.0,197.0,1.0,70.0
Entre Rios,BA,0.0,197,193.0,127.0,197.0,1.0,70.0
Esplanada,BA,0.0,197,193.0,127.0,197.0,1.0,70.0
Conde,BA,0.0,197,193.0,127.0,197.0,1.0,70.0
Jandaíra,BA,0.0,197,193.0,127.0,197.0,1.0,70.0
Estância,SE,0.0,197,193.0,127.0,197.0,1.0,70.0
Itaporanga d'Ajuda,SE,0.0,197,193.0,127.0,197.0,1.0,70.0
Santa Rita,PB,0.0,197,193.0,127.0,197.0,1.0,70.0
São Caetano de Odivelas,PA,0.0,197,193.0,127.0,197.0,1.0,70.0
Godofredo Viana,MA,0.0,197,193.0,127.0,197.0,1.0,70.0
Viseu,PA,0.0,197,193.0,127.0,197.0,1.0,70.0
Luís Domingues,MA,0.0,197,193.0,127.0,197.0,1.0,70.0
Lucena,PB,0.0,197,193.0,127.0,197.0,1.0,70.0
Tamandaré,PE,0.0,197,193.0,127.0,197.0,1.0,70.0
Sirinhaém,PE,0.0,197,193.0,127.0,197.0,1.0,70.0
Ipojuca,PE,0.0,197,193.0,127.0,197.0,1.0,70.0
Jaboatão dos Guararapes,PE,0.0,197,193.0,127.0,197.0,1.0,70.0
Paulista,PE,0.0,197,193.0,127.0,197.0,1.0,70.0
Ilha de Itamaracá,PE,0.0,197,193.0,127.0,197.0,1.0,70.0
Roteiro,AL,0.0,197,193.0,127.0,197.0,1.0,70.0
Barra de São Miguel,AL,0.0,197,193.0,127.0,197.0,1.0,70.0
Paripueira,AL,0.0,197,193.0,127.0,197.0,1.0,70.0
Barra de Santo Antônio,AL,0.0,197,193.0,127.0,197.0,1.0,70.0
Passo de Camaragibe,AL,0.0,197,193.0,127.0,197.0,1.0,70.0
São Miguel dos Milagres,AL,0.0,197,193.0,127.0,197.0,1.0,70.0
Japaratinga,AL,0.0,197,193.0,127.0,197.0,1.0,70.0
São José da Coroa Grande,PE,0.0,197,193.0,127.0,197.0,1.0,70.0
Brejo Grande,SE,0.0,197,193.0,127.0,197.0,1.0,70.0
Feliz Deserto,AL,0.0,197,193.0,127.0,197.0,1.0,70.0
Caiçara do Norte,RN,0.0,197,193.0,127.0,197.0,1.0,70.0
Guamaré,RN,0.0,197,193.0,127.0,197.0,1.0,70.0
Tibau,RN,0.0,197,193.0,127.0,197.0,1.0,70.0
Fortim,CE,0.0,197,193.0,127.0,197.0,1.0,70.0
Fortaleza,CE,0.0,197,193.0,127.0,197.0,1.0,70.0
São Gonçalo do Amarante,CE,0.0,197,193.0,127.0,197.0,1.0,70.0
Calçoene,AP,0.0,197,193.0,127.0,197.0,1.0,70.0
Santa Rita,MA,0.0,197,193.0,127.0,197.0,1.0,70.0
Carutapera,MA,0.0,197,193.0,127.0,197.0,1.0,70.0
