municipality_name,state,Risk_Hazard,rank_published,rank_median,rank_ci_low,rank_ci_high,share_of_draws_at_zero_risk,ci_width
São José do Norte,RS,0.566342,1,1.0,1.0,1.0,0.0,0.0
Guaraqueçaba,PR,0.505445,2,2.0,2.0,2.0,0.0,0.0
Magé,RJ,0.468027,3,3.0,3.0,3.0,0.0,0.0
Mangaratiba,RJ,0.444282,4,4.0,4.0,9.0,0.0,5.0
Paraty,RJ,0.440631,5,5.0,4.0,7.0499999999999545,0.0,3.0499999999999545
Guarujá,SP,0.438005,6,6.0,4.0,9.0,0.0,5.0
Balneário Gaivota,SC,0.434647,7,7.0,4.0,10.0,0.0,6.0
São Sebastião,SP,0.432443,8,9.0,7.0,11.0,0.0,4.0
Saquarema,RJ,0.430434,9,9.0,6.0,14.0,0.0,8.0
Passo de Torres,SC,0.429505,10,10.0,6.0,12.0,0.0,6.0
Maricá,RJ,0.426837,11,11.0,8.0,14.0,0.0,6.0
Rio Grande,RS,0.421935,12,12.0,7.0,16.0,0.0,9.0
Palmares do Sul,RS,0.418606,13,13.0,10.0,16.0,0.0,6.0
Arroio do Sal,RS,0.41496,14,14.0,12.0,18.0,0.0,6.0
Iguape,SP,0.408137,15,16.0,12.0,21.0,0.0,9.0
Bertioga,SP,0.406928,16,17.0,14.0,21.0,0.0,7.0
Arraial do Cabo,RJ,0.406446,17,17.0,13.0,23.0,0.0,10.0
Mostardas,RS,0.402897,18,19.0,15.0,22.0,0.0,7.0
Angra dos Reis,RJ,0.401956,19,19.0,16.0,23.0,0.0,7.0
Balneário Arroio do Silva,SC,0.395732,20,21.0,18.0,26.0,0.0,8.0
Guimarães,MA,0.393606,21,24.0,15.0,133.0,0.34,118.0
Alcântara,MA,0.393562,22,24.0,15.0,133.0,0.34,118.0
Balneário Pinhal,RS,0.392858,23,23.0,20.0,27.0,0.0,7.0
São Francisco de Itabapoana,RJ,0.386642,24,24.0,16.0,39.049999999999955,0.0,23.049999999999955
Duque de Caxias,RJ,0.385615,25,25.0,21.0,29.049999999999955,0.0,8.049999999999955
Laguna,SC,0.38399,26,26.0,22.0,31.0,0.0,9.0
Cabo Frio,RJ,0.382092,27,26.0,21.0,34.0,0.0,13.0
Raposa,MA,0.373527,28,32.0,24.0,133.0,0.34,109.0
Ubatuba,SP,0.372571,29,30.0,26.0,37.0,0.0,11.0
Maracanã,PA,0.371047,30,31.0,10.0,75.0,0.005,65.0
Imbituba,SC,0.371014,31,31.0,26.0,37.0,0.0,11.0
Icatu,MA,0.368353,32,35.0,26.0,133.0,0.34,107.0
Marapanim,PA,0.365189,33,34.0,13.0,79.0,0.005,66.0
Itapemirim,ES,0.365047,34,33.0,26.0,49.0,0.0,23.0
Ilhabela,SP,0.36105,35,36.0,30.0,43.049999999999955,0.0,13.049999999999955
Tavares,RS,0.3607,36,37.0,30.0,44.0,0.0,14.0
Cidreira,RS,0.360356,37,37.0,30.0,44.0,0.0,14.0
Cajapió,MA,0.35798,38,42.0,30.0,133.0,0.34,103.0
Paranaguá,PR,0.35772,39,38.0,29.0,51.0,0.0,22.0
Marataízes,ES,0.356014,40,39.0,30.0,54.049999999999955,0.0,24.049999999999955
Cedral,MA,0.356003,41,44.0,32.0,133.0,0.34,101.0
São Vicente,SP,0.355414,42,40.0,33.0,47.0,0.0,14.0
Balneário Rincão,SC,0.353047,43,42.0,34.0,49.0,0.0,15.0
Cananéia,SP,0.35142,44,43.0,34.0,53.0,0.0,19.0
Jaguaruna,SC,0.350641,45,44.0,37.0,51.0,0.0,14.0
Armação dos Búzios,RJ,0.350561,46,43.0,34.0,53.0,0.0,19.0
Anchieta,ES,0.349391,47,44.0,33.0,60.0,0.0,27.0
São Gonçalo,RJ,0.347431,48,46.0,39.0,51.0,0.0,12.0
Salinópolis,PA,0.346147,49,45.0,29.0,80.0,0.019,51.0
Xangri-lá,RS,0.342145,50,50.0,41.0,58.0,0.0,17.0
Itanhaém,SP,0.34147,51,50.0,42.0,56.0,0.0,14.0
Chaves,PA,0.339802,52,49.0,28.0,85.0,0.001,57.0
Guapimirim,RJ,0.337326,53,53.0,46.0,59.0,0.0,13.0
Garopaba,SC,0.337077,54,53.0,44.0,61.0,0.0,17.0
Macaé,RJ,0.336096,55,53.0,45.0,62.0,0.0,17.0
Ilha Comprida,SP,0.335069,56,54.0,44.0,65.0,0.0,21.0
São João da Barra,RJ,0.334953,57,54.0,42.0,70.0,0.0,28.0
Mongaguá,SP,0.333962,58,55.0,47.0,62.0,0.0,15.0
Peruíbe,SP,0.325475,59,61.0,53.0,68.0,0.0,15.0
Itaguaí,RJ,0.325045,60,61.0,52.0,71.0,0.0,19.0
Imbé,RS,0.323694,61,62.0,52.0,70.04999999999995,0.0,18.049999999999955
Curuçá,PA,0.32354,62,63.0,29.0,100.0,0.019,71.0
Itapoá,SC,0.323122,63,62.0,51.0,76.0,0.0,25.0
Palhoça,SC,0.321724,64,63.0,54.0,71.0,0.0,17.0
Governador Celso Ramos,SC,0.321647,65,63.0,54.0,73.04999999999995,0.0,19.049999999999955
São João de Pirabas,PA,0.320293,66,63.0,45.0,99.0,0.019,54.0
Araruama,RJ,0.32018,67,65.0,56.0,74.0,0.0,18.0
Porto Rico do Maranhão,MA,0.318293,68,70.0,53.95,133.0,0.34,79.05
São Francisco do Sul,SC,0.317983,69,66.0,56.0,78.0,0.0,22.0
Alcobaça,BA,0.315952,70,72.0,24.0,188.0,0.123,164.0
Nova Viçosa,BA,0.315626,71,67.0,27.0,140.0,0.014,113.0
Prado,BA,0.314029,72,74.0,27.0,188.0,0.123,161.0
Rio das Ostras,RJ,0.31141,73,70.0,60.0,83.0,0.0,23.0
São José de Ribamar,MA,0.310467,74,75.0,61.0,133.0,0.34,72.0
Primeira Cruz,MA,0.308729,75,76.0,61.0,133.0,0.34,72.0
Torres,RS,0.307212,76,73.0,64.0,80.0,0.0,16.0
