w_frequency,w_severity,spearman_vs_published,top10_overlap
0.0,1.0,0.9738577002505298,4
0.1,0.9,0.9835118029568485,4
0.2,0.8,0.9895157084590332,6
0.3,0.7,0.9953089308972292,7
0.4,0.6,0.9987287383919,9
0.5,0.5,0.999999859544634,10
0.6,0.4,0.9982565274178125,9
0.7,0.3,0.993032430163139,9
0.8,0.2,0.9838129392829768,9
0.9,0.1,0.9690491128908777,8
1.0,0.0,0.9396107897258112,8
