grid_lat,grid_lon,n_compound_ssh_total,n_storm_corroborated,storm_corroborated_fraction,latitude_band,q_storm_over_tide,branch,selected_locked
-35.0,-54.8,335,326,0.9731343283582089,RS,4.285396438303056,keep_tide_SSH_total,False
-35.0,-54.6,308,296,0.961038961038961,RS,3.8314769087392935,keep_tide_SSH_total,False
-35.0,-54.4,301,286,0.9501661129568106,RS,3.474439194422724,keep_tide_SSH_total,False
-35.0,-54.2,288,269,0.9340277777777778,RS,3.1939250506650114,keep_tide_SSH_total,False
-35.0,-54.0,263,245,0.9315589353612167,RS,2.970351602901748,keep_tide_SSH_total,True
-34.8,-54.4,314,301,0.9585987261146497,RS,3.692309612517595,keep_tide_SSH_total,False
-34.8,-54.2,301,284,0.9435215946843853,RS,3.4205557455709346,keep_tide_SSH_total,False
-34.8,-54.0,281,262,0.9323843416370107,RS,3.1348719265773206,keep_tide_SSH_total,False
-34.8,-53.8,259,244,0.9420849420849421,RS,2.934788868767797,keep_tide_SSH_total,False
-34.8,-53.6,245,230,0.9387755102040817,RS,2.803662878028573,keep_tide_SSH_total,True
-34.6,-54.0,286,267,0.9335664335664335,RS,3.130003579494125,keep_tide_SSH_total,False
-34.6,-53.8,274,252,0.9197080291970803,RS,2.969905173206252,keep_tide_SSH_total,False
-34.6,-53.6,273,251,0.9194139194139194,RS,2.821256053764277,keep_tide_SSH_total,True
-34.6,-53.4,253,234,0.924901185770751,RS,2.7592155314285853,keep_tide_SSH_total,True
-34.4,-53.8,299,276,0.9230769230769231,RS,2.410373006242471,keep_tide_SSH_total,False
-34.4,-53.6,267,250,0.9363295880149812,RS,2.5434083923868664,keep_tide_SSH_total,False
-34.4,-53.4,264,245,0.928030303030303,RS,2.627177743760964,keep_tide_SSH_total,False
-34.2,-53.6,248,222,0.8951612903225806,RS,2.2405144178580505,keep_tide_SSH_total,False
-34.2,-53.4,265,245,0.9245283018867925,RS,2.408820768056014,keep_tide_SSH_total,False
-34.2,-53.2,257,239,0.9299610894941635,RS,2.492186711729941,keep_tide_SSH_total,True
-34.0,-53.4,248,225,0.907258064516129,RS,2.182883961526642,keep_tide_SSH_total,False
-34.0,-53.2,263,245,0.9315589353612167,RS,2.29090907138052,keep_tide_SSH_total,False
-34.0,-53.0,258,243,0.9418604651162791,RS,2.444964890386148,keep_tide_SSH_total,False
-33.8,-53.4,251,227,0.9043824701195219,RS,1.8889816399974364,keep_tide_SSH_total,False
-33.8,-53.2,261,239,0.9157088122605364,RS,2.083452319467783,keep_tide_SSH_total,False
-33.8,-53.0,274,253,0.9233576642335767,RS,2.275773816549441,keep_tide_SSH_total,False
-33.8,-52.8,274,252,0.9197080291970803,RS,2.423586014608793,keep_tide_SSH_total,False
-33.6,-53.0,275,253,0.92,RS,1.851548271049354,keep_tide_SSH_total,False
-33.6,-52.8,269,247,0.9182156133828996,RS,2.152901162523088,keep_tide_SSH_total,False
-33.6,-52.6,270,249,0.9222222222222223,RS,2.377167348737024,keep_tide_SSH_total,False
-33.4,-52.8,269,245,0.9107806691449815,RS,1.9465097421556896,keep_tide_SSH_total,False
-33.4,-52.6,269,250,0.929368029739777,RS,2.103956128915476,keep_tide_SSH_total,False
-33.4,-52.4,262,239,0.9122137404580153,RS,2.3163943282293973,keep_tide_SSH_total,False
-33.2,-52.6,243,220,0.9053497942386831,RS,1.8901622391127009,keep_tide_SSH_total,False
-33.2,-52.4,252,231,0.9166666666666666,RS,2.13351025898143,keep_tide_SSH_total,False
-33.2,-52.2,245,225,0.9183673469387755,RS,2.3895284672682897,keep_tide_SSH_total,False
-33.0,-52.4,208,189,0.9086538461538461,RS,1.8612622932324767,keep_tide_SSH_total,False
-33.0,-52.2,226,208,0.9203539823008849,RS,2.217744250479757,keep_tide_SSH_total,False
-32.8,-52.4,192,167,0.8697916666666666,RS,1.8771647235859128,keep_tide_SSH_total,False
-32.8,-52.2,200,183,0.915,RS,2.047634704811361,keep_tide_SSH_total,False
-32.8,-52.0,229,210,0.9170305676855895,RS,2.3284964046899512,keep_tide_SSH_total,False
-32.6,-52.2,177,159,0.8983050847457628,RS,1.9523645031786343,keep_tide_SSH_total,False
-32.6,-52.0,208,192,0.9230769230769231,RS,2.234665064106565,keep_tide_SSH_total,False
-32.4,-52.2,173,154,0.8901734104046243,RS,1.917494949223257,keep_tide_SSH_total,False
-32.4,-52.0,208,191,0.9182692307692307,RS,2.1242549083693287,keep_tide_SSH_total,False
-32.4,-51.8,234,220,0.9401709401709402,RS,2.394169849994758,keep_tide_SSH_total,False
-32.2,-52.0,234,211,0.9017094017094017,RS,2.1237826948837752,keep_tide_SSH_total,False
-32.2,-51.8,245,226,0.9224489795918367,RS,2.284902862978328,keep_tide_SSH_total,False
-32.2,-51.6,253,238,0.9407114624505929,RS,2.6006816869299487,keep_tide_SSH_total,False
-32.0,-51.8,253,231,0.9130434782608695,RS,2.0930555316124195,keep_tide_SSH_total,False
-32.0,-51.6,240,227,0.9458333333333333,RS,2.497666784595435,keep_tide_SSH_total,False
-32.0,-51.4,247,236,0.9554655870445344,RS,2.931538273113041,keep_tide_SSH_total,False
-32.0,-51.2,247,229,0.9271255060728745,RS,3.277617044501407,keep_tide_SSH_total,False
