grid_lat,grid_lon,zos_q90_m,ssh_total_q90_m,tide_range_proxy_m,n_episodes_zos,n_episodes_ssh_total,rayleigh_R_zos_springneap,rayleigh_p_zos_springneap,rayleigh_R_ssh_total_springneap,rayleigh_p_ssh_total_springneap,rayleigh_R_zos_annual,rayleigh_p_zos_annual,zos_annual_peak_doy,var_tide,var_zos,var_ssh_total,var_ratio_tide_over_ssh,latitude_band,sig_zos_springneap_p01,sig_ssh_springneap_p01,sig_zos_annual_p01
-35.0,-54.8,0.3984954118728642,0.5752924323081975,0.30098847299814224,688,656,0.006301275032810122,0.9730710318326422,0.11449460674327173,0.00018022701533203057,0.23660795967329104,1.1307657404160454e-17,136.62524905760404,0.003481053181370765,0.044992369798844516,0.049532667188888324,0.07027792725346457,RS,False,True,True
-35.0,-54.6,0.3597412645816804,0.5685023307800298,0.3354601636528969,689,631,0.016059883101287375,0.8372862408839361,0.13789161482628504,5.868506790301516e-06,0.2519680768434159,5.3696800185654857e-20,132.25910329442462,0.004405363407384477,0.03534328001108125,0.04080992369447932,0.10794833728102327,RS,False,True,True
-35.0,-54.4,0.3211511790752412,0.5619852542877198,0.36422547698020935,698,637,0.013408884132632342,0.8821308495107721,0.17973627220244617,9.924451264008472e-10,0.2646041511837452,2.8906090579206796e-22,125.87199214449359,0.00520395709968192,0.0277076258642145,0.03389013775511934,0.15355373109676504,RS,False,True,True
-35.0,-54.2,0.29313722252845775,0.5559058070182802,0.38768020272254944,693,624,0.022099712531570174,0.7130124179998957,0.2099679863599713,8.48260536675748e-13,0.2698340348561658,5.755413380136759e-23,120.46628553276643,0.005875867712476558,0.022474475129096023,0.029253792928226108,0.20085832038576815,RS,False,True,True
-35.0,-54.0,0.2719199061393738,0.5539866924285889,0.40945547819137573,666,583,0.019241954111919944,0.7815891442919075,0.23887787837815166,2.279891889014038e-15,0.28305929489684856,3.043120200150078e-24,116.19579007054995,0.006438196826607491,0.018637665659541093,0.025918573441807535,0.24840089448065308,RS,False,True,True
-34.8,-54.4,0.4010806262493134,0.6257703304290773,0.3560515306890011,678,644,0.01736178189980196,0.8152705711535024,0.13160043095933563,1.376712279147187e-05,0.23810234593017035,1.2175263839683706e-17,140.70133771817277,0.005023016095778204,0.04576426432093986,0.05208691778306048,0.09643527222514539,RS,False,True,True
-34.8,-54.2,0.36328957676887513,0.6133225083351138,0.38500498980283737,669,625,0.018748835296215783,0.7905621475077748,0.16352429971506194,4.9943175970624324e-08,0.2615192209635095,6.778537228079525e-21,136.857928890013,0.005845908922283878,0.03688656917665195,0.04403957347454864,0.1327421784786891,RS,False,True,True
-34.8,-54.0,0.3240333318710328,0.5972470045089723,0.4111306890845299,676,606,0.024777784528604865,0.6604861000600974,0.2003035751199146,2.1969027081488015e-11,0.26676451408906743,6.201523980154926e-22,132.51372811529717,0.0065479684250566396,0.028405146545455916,0.03614948471407073,0.1811358716963378,RS,False,True,True
-34.8,-53.8,0.2850910365581514,0.5782660007476806,0.4278350919485092,670,573,0.03460716175571968,0.4483995714850211,0.23963161319939436,3.287609914866616e-15,0.282338085144205,2.9045246778509517e-24,129.36444271186429,0.0071377869006404564,0.021770305167341086,0.02996162278150172,0.23823098477320526,RS,False,True,True
-34.8,-53.6,0.2525796711444855,0.555918622016907,0.43983428180217743,636,544,0.03165113525560753,0.528982581771902,0.25474106412126407,2.7342425594751053e-16,0.29444729910215484,5.153394479432826e-25,125.17791192504352,0.0074840392162349115,0.016610702185718956,0.02500184929334104,0.2993394259931085,RS,False,True,True
