band,n_points,mean_zos_q90_m,mean_ssh_total_q90_m,mean_var_ratio_tide_over_ssh,mean_R_ssh_springneap,pct_sig_ssh_springneap,mean_R_zos_springneap,pct_sig_zos_springneap,mean_R_zos_annual,pct_sig_zos_annual,zos_annual_peak_month
RS,77,0.32180694059118065,0.5962282717227937,0.2197118434805501,0.15245553697866743,83.11688311688312,0.02091150224919795,0.0,0.27860686637480164,100.0,5.901252358375697
SC/PR,67,0.2586806073562424,0.6375495814565405,0.45833416062625026,0.4529852535078152,100.0,0.015783044107293902,0.0,0.30590176426436627,100.0,6.21977877512015
SP/RJ,156,0.23290915729907846,0.7484327525664599,0.7308016462945637,0.7150419424793503,100.0,0.04024372775854108,0.0,0.383559785334629,100.0,5.796947540436375
ES/BA-S,57,0.2577348815767389,1.2568119632570367,0.9372067391291201,0.86802029702745,100.0,0.03852094624939594,0.0,0.4265572027682097,100.0,6.044876388127343
BA-N,65,0.26572085596047923,1.2621991483981794,0.9623040932552605,0.8747587197005712,100.0,0.05244365346482635,0.0,0.4225750941592626,100.0,5.284870197877228
NE,62,0.23741130982675865,1.3428130445941804,0.97585937707385,0.8811808416532466,100.0,0.05070526258271959,0.0,0.2409833901142631,72.58064516129032,6.3267713329350475
N_equatorial,192,0.2466870114672929,1.9826307475566864,0.9847280431616238,0.8950545189141534,100.0,0.06121704820719595,0.0,0.3456321046386859,80.72916666666666,9.602330180029801
AP,132,0.26438115314778055,2.254928958777225,0.9666516485161489,0.8766394424313396,100.0,0.05240638788666352,0.0,0.3987220966070657,88.63636363636364,4.257814946174449
